V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 3.350402e-10 -1.200000e+00 1.272183e-09 -1.200000e+00 9.257124e-10 7.566434e-10 1.012114e-09 6.631777e-10 8.985060e-10 9.698109e-10
-2.000000e-01 3.995874e-07 -1.100000e+00 1.296159e-09 -1.000000e+00 1.117634e-09 8.925368e-10 1.143345e-09 7.285887e-10 1.005178e-09 1.069103e-09
0.000000e+00 2.037069e-07 -9.000000e-01 1.350782e-09 -8.000000e-01 1.239392e-09 9.893008e-10 1.311565e-09 8.206680e-10 1.135032e-09 1.194041e-09
1.000000e-01 3.247064e-07 -8.000000e-01 1.401308e-09 -6.000000e-01 1.427264e-09 1.178903e-09 1.433824e-09 9.482019e-10 1.292368e-09 1.353343e-09
2.000000e-01 2.957770e-07 -7.000000e-01 1.462996e-09 -4.000000e-01 1.768536e-09 1.344482e-09 1.681800e-09 1.134419e-09 1.534469e-09 1.487775e-09
NaN NaN -6.000000e-01 1.524397e-09 -2.000000e-01 2.144971e-09 1.584634e-09 2.227829e-09 1.383295e-09 1.869882e-09 1.778649e-09
NaN NaN -5.000000e-01 1.644118e-09 0.000000e+00 2.794554e-09 2.007674e-09 2.928019e-09 1.785922e-09 2.481764e-09 2.255579e-09
NaN NaN -4.000000e-01 1.737446e-09 2.000000e-01 5.464793e-09 3.003915e-09 1.215267e-08 2.595959e-09 1.069507e-08 3.634260e-09
NaN NaN -3.000000e-01 1.902802e-09 4.000000e-01 8.637129e-09 6.061668e-09 6.547529e-08 1.041149e-08 2.621465e-08 1.351356e-08
NaN NaN -2.000000e-01 2.077934e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 2.344711e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 2.707943e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 3.304592e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 4.483581e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 7.050100e-09 NaN NaN NaN NaN NaN NaN NaN
