V d44s d44b V1 d52a d52b d54a d54b d54c d74a d74b
-1.200000e+00 1.886815e-09 2.763833e-09 -1.200000e+00 1.577252e-09 1.912257e-09 2.948016e-09 2.793695e-09 1.674556e-09 4.344837e-10 6.242375e-10
-1.100000e+00 1.919920e-09 2.872423e-09 -1.000000e+00 1.684164e-09 2.358306e-09 2.614547e-09 2.527612e-09 1.875149e-09 4.874504e-10 6.792534e-10
-1.000000e+00 2.037577e-09 2.997417e-09 -8.000000e-01 1.851372e-09 2.753062e-09 2.373193e-09 3.089265e-09 2.117142e-09 5.505538e-10 7.626041e-10
-9.000000e-01 2.160093e-09 3.117176e-09 -6.000000e-01 2.078545e-09 4.017934e-09 2.207146e-09 5.450333e-09 2.458268e-09 6.222100e-10 8.743071e-10
-8.000000e-01 2.266432e-09 3.012729e-09 -4.000000e-01 2.461395e-09 5.588988e-09 2.449269e-09 1.563507e-08 2.971088e-09 7.662050e-10 1.090890e-09
-7.000000e-01 2.410137e-09 3.201876e-09 -2.000000e-01 3.202366e-09 6.650490e-09 2.786726e-09 8.796332e-08 3.745695e-09 9.115289e-10 1.316365e-09
-6.000000e-01 2.603307e-09 3.258105e-09 0.000000e+00 5.394303e-09 7.710282e-09 3.591661e-09 2.822806e-08 5.329554e-09 1.219479e-09 1.769800e-09
-5.000000e-01 2.771132e-09 3.530346e-09 2.000000e-01 3.895670e-08 3.269336e-09 2.251219e-08 6.253867e-08 1.663097e-08 1.750485e-09 3.177065e-09
-4.000000e-01 3.039243e-09 3.614758e-09 4.000000e-01 1.978356e-06 4.401994e-07 7.536733e-08 4.190592e-08 1.768040e-08 6.359213e-09 1.325322e-08
-3.000000e-01 3.324792e-09 3.802243e-09 NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 3.668723e-09 4.074719e-09 NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 3.997458e-09 4.515355e-09 NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 4.525682e-09 4.982785e-09 NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 1.785537e-08 5.752065e-09 NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.739588e-07 7.831745e-09 NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 4.473206e-08 1.583982e-08 NaN NaN NaN NaN NaN NaN NaN NaN
