Series	Name	Fb
D320	d31	-0.040791
D320	d41	0.397965
D320	d63a	0.080267
D320	d63b	0.137751
D320	d83a	0.133772
D320	d83b	0.144850
D320	d62a	0.143837
D320	d62b	0.262716
D320uP	d42	0.181034
D320uP	d61a	0.185463
D320uP	d61c	0.282030
D320uP	d64a	0.208269
D320uP	d64b	0.244023
D320uR	d84a	0.129926
D320uR	d84b	0.083046
D360	d33a	0.697793
D360	d33b	-0.458072
D360	d35	0.558640
D360uP	d34	0.532358
D520	d43s	-0.223064
D520	d43b	0.341373
D520	d51a	-0.004184
D520	d51b	-1.002355
D520	d51c	-0.151727
D520	d51d	-3.516221
D520	d73a	0.077404
D520	d73b	-0.019441
D520	d73c	0.234822
D520	d82a	0.131237
D520	d82b	-1.947684
D520	d53a	0.131932
D520	d53b	0.204636
D520	d53c	0.265092
D520uP	d44s	0.198792
D520uP	d44b	0.662647
D520uP	d52a	0.150030
D520uP	d52b	-0.088690
D520uP	d54a	4.558855
D520uP	d54b	-0.142368
D520uP	d54c	0.092069
D520uP	d74a	0.132281
D520uP	d74b	0.129382
D520uR	d81a	0.219839
D520uR	d81b	0.351067
D520uR	d81c	0.073507
D560	d71a	-0.220079
D560	d71b	0.695910
D560uP	d72a	0.004470
D560uP	d72b	0.293781
D560uP	d72c	0.233162
