N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+15 295 1.800E-4 1.220220350E+00 1.223949461E+00
1.468000E+10 3.162E+15 295 1.800E-4 1.221371263E+00 1.223999136E+00
2.154000E+10 3.162E+15 295 1.800E-4 1.222234069E+00 1.224071566E+00
3.162000E+10 3.162E+15 295 1.800E-4 1.222898927E+00 1.224176925E+00
4.642000E+10 3.162E+15 295 1.800E-4 1.223443415E+00 1.224329596E+00
6.813000E+10 3.162E+15 295 1.800E-4 1.223935616E+00 1.224549623E+00
1.000000E+11 3.162E+15 295 1.800E-4 1.224438197E+00 1.224864252E+00
1.468000E+11 3.162E+15 295 1.800E-4 1.225012549E+00 1.225309368E+00
2.154000E+11 3.162E+15 295 1.800E-4 1.225722489E+00 1.225930144E+00
3.162000E+11 3.162E+15 295 1.800E-4 1.226628602E+00 1.226775849E+00
4.642000E+11 3.162E+15 295 1.800E-4 1.227806950E+00 1.227912951E+00
6.813000E+11 3.162E+15 295 1.800E-4 1.229319953E+00 1.229397817E+00
1.000000E+12 3.162E+15 295 1.800E-4 1.231229139E+00 1.231287801E+00
1.468000E+12 3.162E+15 295 1.800E-4 1.233581665E+00 1.233627128E+00
2.154000E+12 3.162E+15 295 1.800E-4 1.236389241E+00 1.236425523E+00
3.162000E+12 3.162E+15 295 1.800E-4 1.239714526E+00 1.239743480E+00
4.642000E+12 3.162E+15 295 1.800E-4 1.243473188E+00 1.243497744E+00
6.813000E+12 3.162E+15 295 1.800E-4 1.247609492E+00 1.247630431E+00
1.000000E+13 3.162E+15 295 1.800E-4 1.252049217E+00 1.252067233E+00
