fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00L1 8:36 300.8 38.54 2.64E+00 6.58E-11 3.75E-06 1 2.657 6.80E+02 1.758E-004 0.1096 1.751E-004 4.921E-006 0.2565 
00L2 8:54 303.4 38.21 2.75E+00 1.13E-10 5.28E-06 1 2.749 7.08E+02 1.742E-004 0.1099 1.735E-004 4.934E-006 0.2589 
00L3 9:15 306.3 37.85 2.91E+00 1.85E-10 6.89E-06 1 2.8 7.38E+02 1.760E-004 0.1119 1.753E-004 5.143E-006 0.2622 
00L4 9:33 309 37.52 3.39E+00 2.84E-10 7.85E-06 1 2.786 7.64E+02 1.768E-004 0.1134 1.759E-004 5.280E-006 0.2647 
00L5 9:54 311.6 37.21 3.48E+00 4.23E-10 8.69E-06 1 2.758 7.77E+02 1.750E-004 0.112 1.741E-004 5.183E-006 0.2658 
00L6 10:13 315.2 36.78 4.22E+00 7.40E-10 1.65E-05 1 3.034 8.89E+02 1.756E-004 0.1131 1.746E-004 5.395E-006 0.2732 
00L7 10:34 317.3 36.54 4.29E+00 9.31E-10 8.69E-06 1 2.587 7.54E+02 1.790E-004 0.1103 1.779E-004 5.233E-006 0.2666 
00L8 10:55 319.9 36.24 5.29E+00 1.35E-09 9.44E-06 1 2.546 7.63E+02 1.752E-004 0.1076 1.739E-004 4.988E-006 0.2667 
00L9 11:19 323 35.9 4.22E+00 2.00E-09 7.96E-06 1 2.376 7.14E+02 1.825E-004 0.1072 1.813E-004 5.167E-006 0.2657 
0L10 11:39 326 35.57 4.85E+00 3.44E-09 1.42E-05 1 2.591 8.01E+02 1.763E-004 0.1047 1.751E-004 4.957E-006 0.2704 
0L11 12:1 329.7 35.17 4.20E+00 6.12E-09 2.11E-05 1 2.709 8.94E+02 1.756E-004 0.1034 1.746E-004 5.028E-006 0.2784 
0L12 12:19 333 34.82 4.46E+00 9.13E-09 2.11E-05 1 2.611 8.48E+02 1.781E-004 0.1004 1.770E-004 4.931E-006 0.2775 
0L13 12:39 335.7 34.54 4.73E+00 1.61E-08 5.82E-05 1 3.304 1.40E+03 1.781E-004 0.09956 1.770E-004 5.101E-006 0.2895 
0L14 13:0 338.1 34.29 4.65E+00 1.88E-08 3.07E-05 1 2.704 8.99E+02 1.777E-004 0.09496 1.765E-004 4.702E-006 0.2806 
0L15 13:21 340.4 34.06 5.64E+00 2.38E-08 2.55E-05 1 2.508 8.02E+02 1.808E-004 0.09289 1.792E-004 4.630E-006 0.2782 
