T d154 d184 d214 d244
d 150 180 210 240
290 1.279744000E-02 1.245367200E-02 1.262406800E-02 1.239873500E-02
295 9.108430000E-03 8.260904000E-03 7.690258000E-03 6.727844000E-03
300 7.790510000E-04 -1.628176000E-03 -3.674009000E-03 -5.994570000E-03
305 -1.681157800E-02 -2.216719600E-02 -2.701621000E-02 -3.192358500E-02
310 -5.146216500E-02 -6.199570400E-02 -7.158917200E-02 -8.079830700E-02
315 -1.145007540E-01 -1.315499150E-01 -1.477751890E-01 -1.625443260E-01
320 -1.784287790E-01 -1.739765530E-01 -1.691543800E-01 -1.642581580E-01
325 -1.523063360E-01 -1.431453760E-01 -1.339945270E-01 -1.250716330E-01
330 -9.334813800E-02 -7.600369800E-02 -5.955373700E-02 -4.411411200E-02
335 9.147666000E-03 9.609634000E-03 9.924886000E-03 1.014499700E-02
340 1.561231400E-02 1.595488900E-02 1.617617200E-02 1.631994900E-02
