fname T X01 X02 X03 X04 X05 A1 A2 A3 A4 A5 Sig1 Sig2 Sig3 Sig4 Sig5 Area1 Area2 Area3 Area4 Area5 Eps_ar1 Eps_ar2 Eps_ar3 Eps_ar4 Eps_ar5 ArTotal rmsre
d82b0VT216Nt 215.76 2.1273949E-1 2.3428955E-1 2.7822275E-1 2.9514767E-1 3.2414058E-1 3.3386811E+12 1.5078515E+13 1.5045263E+14 2.2365174E+14 2.6827609E+13 6.9089150E-3 1.5539994E-2 2.0425592E-2 1.4784602E-2 9.0572357E-3 3.1730803E+12 1.4821981E+13 1.4726658E+14 2.1286137E+14 8.3915469E+12 8.2094714E-3 3.8347794E-2 3.8101173E-1 5.5072019E-1 2.1710817E-2 3.8651456E+14 3.5318550E-2
d82b0VT216Nt 215.76 2.1273949E-1 2.3428955E-1 2.7822275E-1 2.9514767E-1 3.2414058E-1 3.3386815E+12 1.5078515E+13 1.5045258E+14 2.2365178E+14 2.6827613E+13 6.9089151E-3 1.5539994E-2 2.0425590E-2 1.4784602E-2 9.0572362E-3 3.1730805E+12 1.4821982E+13 1.4726654E+14 2.1286141E+14 8.3915477E+12 8.2094722E-3 3.8347796E-2 3.8101163E-1 5.5072028E-1 2.1710819E-2 3.8651456E+14 3.5318548E-2
d82b0VT220Nt 220.07 2.1564268E-1 2.3683815E-1 2.9572449E-1 2.9717347E-1 3.2916233E-1 2.3506340E+12 1.7042238E+13 3.3252136E+14 7.0773836E+13 5.4444893E+11 5.9772878E-3 1.5841681E-2 2.3710400E-2 1.1574653E-2 2.3434483E-3 2.2499061E+12 1.6641817E+13 3.0400259E+14 7.0510658E+13 1.8159616E+11 5.7164200E-3 4.2282481E-2 7.7239067E-1 1.7914904E-1 4.6138809E-4 3.9358657E+14 3.0421693E-2
d82b0VT220Nt 220.07 2.1547120E-1 2.3277810E-1 2.9563366E-1 2.9711266E-1 3.3400368E-1 7.6329698E+11 1.7497923E+13 3.2234492E+14 8.3926379E+13 2.1732633E+12 3.7435954E-3 1.7564385E-2 2.4479335E-2 1.2058936E-2 3.9910981E-3 7.6063546E+11 1.6459726E+13 2.9265018E+14 8.3504715E+13 1.5512111E+11 1.9328507E-3 4.1825807E-2 7.4365334E-1 2.1219382E-1 3.9417823E-4 3.9353038E+14 7.1263630E-2
d82b0VT220Nt 220.07 2.1562952E-1 2.3342863E-1 2.9522416E-1 2.9698816E-1 2.9794422E-1 3.6713464E+12 7.7679929E+12 3.0064862E+14 1.1490948E+14 9.8447728E+11 6.6516188E-3 1.0995075E-2 2.6803054E-2 1.3140465E-2 4.1541018E-3 3.4455645E+12 7.7263773E+12 2.6757357E+14 1.1389234E+14 9.8447728E+11 8.7534782E-3 1.9628910E-2 6.7977233E-1 2.8934421E-1 2.5010707E-3 3.9362233E+14 2.3191224E-2
d82b0VT220Nt 220.07 2.1564268E-1 2.3683815E-1 2.9572449E-1 2.9717347E-1 3.2916233E-1 2.3506343E+12 1.7042237E+13 3.3252135E+14 7.0773837E+13 5.4444917E+11 5.9772882E-3 1.5841681E-2 2.3710400E-2 1.1574653E-2 2.3434489E-3 2.2499064E+12 1.6641816E+13 3.0400259E+14 7.0510659E+13 1.8159614E+11 5.7164207E-3 4.2282479E-2 7.7239067E-1 1.7914905E-1 4.6138806E-4 3.9358657E+14 3.0421693E-2
d82b0VT2433Nt 243 2.3536392E-1 2.4588349E-1 2.6603222E-1 3.0348748E-1 3.5280397E-1 4.2276268E+12 1.5413377E+13 4.3952986E+13 3.1615672E+14 1.7640122E+13 5.1544046E-3 1.0033417E-2 1.5963296E-2 2.2079351E-2 1.1330776E-2 4.0259307E+12 1.4975870E+13 4.3647299E+13 3.0972175E+14 6.3772442E+12 1.0629573E-2 3.9540451E-2 1.1524097E-1 8.1775131E-1 1.6837693E-2 3.7874809E+14 1.0979050E-2
d82b0VT2433Nt 243 2.3908358E-1 2.5824875E-1 3.0262918E-1 3.4416561E-1 3.5591053E-1 8.6042485E+12 4.2336986E+13 3.3245155E+14 3.4952163E+12 1.0103424E+13 7.7050515E-3 1.6109182E-2 2.3010852E-2 6.4860257E-3 7.9114184E-3 8.1310631E+12 4.1264086E+13 3.2483221E+14 2.6633212E+12 1.8589832E+12 2.1468173E-2 1.0894818E-1 8.5764356E-1 7.0318775E-3 4.9082110E-3 3.7874966E+14 4.1357526E-2
d82b0VT2432Nt 242.84 2.3408903E-1 2.4243526E-1 2.5988750E-1 3.0154173E-1 3.7938666E-1 2.4467940E+12 9.7966059E+12 3.8954571E+13 3.0094182E+14 1.1265055E+14 4.1972738E-3 7.9867743E-3 1.4626574E-2 2.1873670E-2 5.5391798E-2 2.3548588E+12 9.5630584E+12 3.8507812E+13 3.0053644E+14 4.7525582E+13 5.9094887E-3 2.3998375E-2 9.6634872E-2 7.5419241E-1 1.1926485E-1 3.9848775E+14 8.8137897E-3
d82b0VT2432Nt 242.84 2.3898301E-1 2.5774214E-1 3.0119474E-1 3.1216438E-1 3.7924420E-1 1.1070281E+13 3.5918108E+13 3.1769408E+14 6.9683203E+11 8.6255478E+13 8.0453375E-3 1.3934381E-2 2.2521900E-2 4.2316108E-3 4.2562502E-2 1.0381897E+13 3.5459863E+13 3.1712520E+14 6.9683203E+11 3.4817526E+13 2.6053660E-2 8.8987515E-2 7.9583455E-1 1.7487194E-3 8.7375553E-2 3.9848132E+14 2.9949782E-2
d82b0VT243Nt 243.44 2.3764077E-1 2.5084537E-1 2.9951822E-1 3.0960420E-1 3.7203909E-1 6.0742411E+12 1.5926222E+13 3.5069231E+14 1.4585217E+13 3.5355596E+13 6.0309887E-3 1.1406605E-2 2.6206473E-2 1.0246860E-2 2.0199485E-2 5.8227124E+12 1.5623538E+13 3.4839500E+14 1.4585217E+13 1.6112819E+13 1.4537182E-2 3.9006256E-2 8.6981480E-1 3.6413948E-2 4.0227812E-2 4.0053929E+14 2.2300711E-2
d82b0VT252Nt 252.43 2.4709539E-1 2.6826913E-1 3.0768383E-1 3.5861431E-1 3.7408760E-1 1.2537271E+13 5.3780785E+13 3.2088178E+14 2.2229726E+13 5.4948570E+12 7.3349331E-3 1.5110187E-2 2.2206670E-2 1.5857031E-2 6.3508513E-3 1.1809570E+13 5.2961795E+13 3.1981639E+14 1.6697130E+13 1.2560113E+12 2.9337565E-2 1.3156873E-1 7.9449416E-1 4.1479338E-2 3.1202078E-3 4.0254090E+14 2.5049094E-2
d82b0VT252Nt 252.43 2.4674042E-1 2.6191077E-1 3.0720491E-1 3.5275527E-1 3.7575063E-1 3.0788977E+12 5.3964240E+13 3.3801627E+14 6.8403327E+12 2.0204642E+13 4.2385444E-3 1.7127427E-2 2.3394951E-2 9.0598404E-3 1.1443799E-2 3.0659694E+12 5.0617003E+13 3.3631229E+14 6.6120572E+12 5.8277938E+12 7.6185435E-3 1.2577680E-1 8.3569321E-1 1.6430120E-2 1.4481325E-2 4.0243511E+14 5.8182740E-2
d82b0VT252Nt 252.43 2.4709539E-1 2.6826913E-1 3.0768383E-1 3.5861432E-1 3.7408760E-1 1.2537272E+13 5.3780779E+13 3.2088178E+14 2.2229738E+13 5.4948529E+12 7.3349333E-3 1.5110186E-2 2.2206670E-2 1.5857038E-2 6.3508494E-3 1.1809570E+13 5.2961789E+13 3.1981640E+14 1.6697135E+13 1.2560095E+12 2.9337566E-2 1.3156872E-1 7.9449417E-1 4.1479349E-2 3.1202035E-3 4.0254090E+14 2.5049094E-2
d82b0VT2692Nt 268.59 2.5858673E-1 2.6571950E-1 2.7918072E-1 3.1333762E-1 4.4284379E-1 4.5813394E+12 1.4082181E+13 3.9260232E+13 3.0607536E+14 1.5395501E+14 4.1246550E-3 7.5046115E-3 1.3616554E-2 2.4805122E-2 6.4138490E-2 4.4569095E+12 1.3767890E+13 3.8550739E+13 3.0391687E+14 3.0014690E+13 1.1407291E-2 3.5238394E-2 9.8669154E-2 7.7786370E-1 7.6821462E-2 3.9070710E+14 7.4985891E-3
d82b0VT269Nt 269.27 2.5903140E-1 2.6552639E-1 2.7761611E-1 3.1351788E-1 3.9147959E-1 4.2756986E+12 1.1464399E+13 3.3875387E+13 3.2825122E+14 4.0415228E+13 3.9200131E-3 6.8720863E-3 1.2570158E-2 2.5607530E-2 2.4848052E-2 4.1728193E+12 1.1245293E+13 3.3262408E+13 3.2524944E+14 1.8600482E+13 1.0630562E-2 2.8648207E-2 8.4738416E-2 8.2859673E-1 4.7386089E-2 3.9253044E+14 6.7122165E-3
d82b0VT291Nt 290.47 2.7907533E-1 2.8586744E-1 2.9679041E-1 3.2193221E-1 4.0637991E-1 6.2507626E+12 1.6656467E+13 3.1683414E+13 2.7040356E+14 6.8531012E+13 3.8418052E-3 6.6313353E-3 1.1721542E-2 2.4998196E-2 5.7366865E-2 6.1346746E+12 1.6442973E+13 3.1236606E+13 2.6467234E+14 3.4800125E+13 1.7364578E-2 4.6542857E-2 8.8417153E-2 7.4917150E-1 9.8503915E-2 3.5328672E+14 1.0051399E-2
d82b0VT2902Nt 289.86 2.7860194E-1 2.8561902E-1 2.9667078E-1 3.2209159E-1 4.3213916E-1 6.5669949E+12 1.6765244E+13 2.8606065E+13 2.7469425E+14 1.0571086E+14 3.9001513E-3 6.6759517E-3 1.1587930E-2 2.5463635E-2 6.6032528E-2 6.4430493E+12 1.6568064E+13 2.8264044E+13 2.6872002E+14 3.6993278E+13 1.8048341E-2 4.6410645E-2 7.9173554E-2 7.5274148E-1 1.0362598E-1 3.5698845E+14 1.1019716E-2
d82b0VT290Nt 289.82 2.7914913E-1 2.8703363E-1 2.9978246E-1 3.2536399E-1 3.9986504E-1 8.9000300E+12 2.3672903E+13 4.3814317E+13 2.6463349E+14 3.7231767E+13 4.6394420E-3 8.2207004E-3 1.4146440E-2 2.4931505E-2 2.5484296E-2 8.6279733E+12 2.3154311E+13 4.2977373E+13 2.6085095E+14 2.3225937E+13 2.4044299E-2 6.4526068E-2 1.1976866E-1 7.2693530E-1 6.4725673E-2 3.5883655E+14 1.3547978E-2
