B T nFsrh nFBsrh dnsrh nF nFB dn
1.500000000E+01 290 1.144705994E+00 1.016649822E+0 1.280561720E-01 1.144705994E+00 1.016649822E+0 1.280561720E-01
1.500000000E+01 295 1.136281794E+00 1.016256660E+0 1.200251340E-01 1.136281794E+00 1.016256660E+0 1.200251340E-01
1.500000000E+01 300 1.117960241E+00 1.015889896E+0 1.020703450E-01 1.117960241E+00 1.015889896E+0 1.020703450E-01
1.500000000E+01 305 1.099073754E+00 1.015547260E+0 8.352649400E-02 1.099073754E+00 1.015547260E+0 8.352649400E-02
1.500000000E+01 310 1.072792916E+00 1.015226722E+0 5.756619400E-02 1.072792916E+00 1.015226722E+0 5.756619400E-02
1.500000000E+01 315 1.036994023E+00 1.014926463E+0 2.206756000E-02 1.036994023E+00 1.014926463E+0 2.206756000E-02
1.500000000E+01 320 1.007935876E+00 1.014644854E+0 -6.708978000E-03 1.007935876E+00 1.014644854E+0 -6.708978000E-03
1.500000000E+01 325 1.007190812E+00 1.014380425E+0 -7.189613000E-03 1.007190812E+00 1.014380425E+0 -7.189613000E-03
1.500000000E+01 330 1.008113500E+00 1.014131853E+0 -6.018353000E-03 1.008113500E+00 1.014131853E+0 -6.018353000E-03
1.500000000E+01 335 1.010247930E+00 1.013897941E+0 -3.650011000E-03 1.010247930E+00 1.013897941E+0 -3.650011000E-03
1.500000000E+01 340 1.017530410E+00 1.013677606E+0 3.852804000E-03 1.017530410E+00 1.013677606E+0 3.852804000E-03
1.524993176E+01 290 1.153761008E+00 1.017426040E+0 1.363349680E-01 1.153761008E+00 1.017426040E+0 1.363349680E-01
1.524993176E+01 295 1.149478004E+00 1.017014547E+0 1.324634570E-01 1.149478004E+00 1.017014547E+0 1.324634570E-01
1.524993176E+01 300 1.152146598E+00 1.016630682E+0 1.355159160E-01 1.152146598E+00 1.016630682E+0 1.355159160E-01
1.524993176E+01 305 1.141970151E+00 1.016272070E+0 1.256980810E-01 1.141970151E+00 1.016272070E+0 1.256980810E-01
1.524993176E+01 310 1.119495236E+00 1.015936587E+0 1.035586490E-01 1.119495236E+00 1.015936587E+0 1.035586490E-01
1.524993176E+01 315 1.105831545E+00 1.015622329E+0 9.020921600E-02 1.105831545E+00 1.015622329E+0 9.020921600E-02
1.524993176E+01 320 1.085082030E+00 1.015327589E+0 6.975444100E-02 1.085082030E+00 1.015327589E+0 6.975444100E-02
1.524993176E+01 325 1.025893749E+00 1.015050832E+0 1.084291700E-02 1.025893749E+00 1.015050832E+0 1.084291700E-02
1.524993176E+01 330 1.009925265E+00 1.014790670E+0 -4.865405000E-03 1.009925265E+00 1.014790670E+0 -4.865405000E-03
1.524993176E+01 335 1.006296550E+00 1.014545852E+0 -8.249302000E-03 1.006296550E+00 1.014545852E+0 -8.249302000E-03
1.524993176E+01 340 1.007151512E+00 1.014315243E+0 -7.163731000E-03 1.007151512E+00 1.014315243E+0 -7.163731000E-03
1.549996187E+01 290 1.159638810E+00 1.018567746E+0 1.410710640E-01 1.159638810E+00 1.018567746E+0 1.410710640E-01
1.549996187E+01 295 1.156678752E+00 1.018129301E+0 1.385494510E-01 1.156678752E+00 1.018129301E+0 1.385494510E-01
1.549996187E+01 300 1.161558379E+00 1.017720296E+0 1.438380830E-01 1.161558379E+00 1.017720296E+0 1.438380830E-01
1.549996187E+01 305 1.165091894E+00 1.017338197E+0 1.477536970E-01 1.165091894E+00 1.017338197E+0 1.477536970E-01
1.549996187E+01 310 1.165395714E+00 1.016980740E+0 1.484149740E-01 1.165395714E+00 1.016980740E+0 1.484149740E-01
1.549996187E+01 315 1.144473040E+00 1.016645898E+0 1.278271420E-01 1.144473040E+00 1.016645898E+0 1.278271420E-01
1.549996187E+01 320 1.128916600E+00 1.016331854E+0 1.125847460E-01 1.128916600E+00 1.016331854E+0 1.125847460E-01
1.549996187E+01 325 1.111538649E+00 1.016036969E+0 9.550168000E-02 1.111538649E+00 1.016036969E+0 9.550168000E-02
1.549996187E+01 330 1.087536845E+00 1.015759766E+0 7.177707900E-02 1.087536845E+00 1.015759766E+0 7.177707900E-02
1.549996187E+01 335 1.021772174E+00 1.015498913E+0 6.273261000E-03 1.021772174E+00 1.015498913E+0 6.273261000E-03
1.549996187E+01 340 1.006518595E+00 1.015253199E+0 -8.734604000E-03 1.006518595E+00 1.015253199E+0 -8.734604000E-03
1.574996808E+01 290 1.164815459E+00 1.020123591E+0 1.446918680E-01 1.164815459E+00 1.020123591E+0 1.446918680E-01
1.574996808E+01 295 1.169137075E+00 1.019648432E+0 1.494886430E-01 1.169137075E+00 1.019648432E+0 1.494886430E-01
1.574996808E+01 300 1.168190961E+00 1.019205176E+0 1.489857850E-01 1.168190961E+00 1.019205176E+0 1.489857850E-01
1.574996808E+01 305 1.173575652E+00 1.018791078E+0 1.547845740E-01 1.173575652E+00 1.018791078E+0 1.547845740E-01
1.574996808E+01 310 1.176698578E+00 1.018403685E+0 1.582948930E-01 1.176698578E+00 1.018403685E+0 1.582948930E-01
1.574996808E+01 315 1.176336825E+00 1.018040802E+0 1.582960230E-01 1.176336825E+00 1.018040802E+0 1.582960230E-01
1.574996808E+01 320 1.169561879E+00 1.017700456E+0 1.518614230E-01 1.169561879E+00 1.017700456E+0 1.518614230E-01
1.574996808E+01 325 1.157158915E+00 1.017380873E+0 1.397780420E-01 1.157158915E+00 1.017380873E+0 1.397780420E-01
1.574996808E+01 330 1.138577313E+00 1.017080454E+0 1.214968590E-01 1.138577313E+00 1.017080454E+0 1.214968590E-01
1.574996808E+01 335 1.117927403E+00 1.016797752E+0 1.011296510E-01 1.117927403E+00 1.016797752E+0 1.011296510E-01
1.574996808E+01 340 1.103169308E+00 1.016531458E+0 8.663785000E-02 1.103169308E+00 1.016531458E+0 8.663785000E-02
1.600000000E+01 290 1.169507748E+00 1.022166254E+0 1.473414940E-01 1.169507748E+00 1.022166254E+0 1.473414940E-01
1.600000000E+01 295 1.176644050E+00 1.021642906E+0 1.550011440E-01 1.176644050E+00 1.021642906E+0 1.550011440E-01
1.600000000E+01 300 1.174109258E+00 1.021154694E+0 1.529545640E-01 1.174109258E+00 1.021154694E+0 1.529545640E-01
1.600000000E+01 305 1.180526998E+00 1.020698595E+0 1.598284030E-01 1.180526998E+00 1.020698595E+0 1.598284030E-01
1.600000000E+01 310 1.182228769E+00 1.020271909E+0 1.619568600E-01 1.182228769E+00 1.020271909E+0 1.619568600E-01
1.600000000E+01 315 1.182895856E+00 1.019872216E+0 1.630236400E-01 1.182895856E+00 1.019872216E+0 1.630236400E-01
1.600000000E+01 320 1.186794511E+00 1.019497346E+0 1.672971650E-01 1.186794511E+00 1.019497346E+0 1.672971650E-01
1.600000000E+01 325 1.189255320E+00 1.019145345E+0 1.701099750E-01 1.189255320E+00 1.019145345E+0 1.701099750E-01
1.600000000E+01 330 1.179856041E+00 1.018814450E+0 1.610415910E-01 1.179856041E+00 1.018814450E+0 1.610415910E-01
1.600000000E+01 335 1.165726692E+00 1.018503069E+0 1.472236230E-01 1.165726692E+00 1.018503069E+0 1.472236230E-01
1.600000000E+01 340 1.152191205E+00 1.018209760E+0 1.339814450E-01 1.152191205E+00 1.018209760E+0 1.339814450E-01
1.624993176E+01 290 1.173928586E+00 1.024795035E+0 1.491335510E-01 1.173928586E+00 1.024795035E+0 1.491335510E-01
1.624993176E+01 295 1.181621162E+00 1.024209686E+0 1.574114760E-01 1.181621162E+00 1.024209686E+0 1.574114760E-01
1.624993176E+01 300 1.187391543E+00 1.023663633E+0 1.637279100E-01 1.187391543E+00 1.023663633E+0 1.637279100E-01
1.624993176E+01 305 1.186654981E+00 1.023153495E+0 1.635014860E-01 1.186654981E+00 1.023153495E+0 1.635014860E-01
1.624993176E+01 310 1.189542368E+00 1.022676252E+0 1.668661160E-01 1.189542368E+00 1.022676252E+0 1.668661160E-01
1.624993176E+01 315 1.192851773E+00 1.022229200E+0 1.706225730E-01 1.192851773E+00 1.022229200E+0 1.706225730E-01
1.624993176E+01 320 1.196028670E+00 1.021809909E+0 1.742187610E-01 1.196028670E+00 1.021809909E+0 1.742187610E-01
1.624993176E+01 325 1.200586758E+00 1.021416195E+0 1.791705630E-01 1.200586758E+00 1.021416195E+0 1.791705630E-01
1.624993176E+01 330 1.203829438E+00 1.021046088E+0 1.827833500E-01 1.203829438E+00 1.021046088E+0 1.827833500E-01
1.624993176E+01 335 1.205333355E+00 1.020697806E+0 1.846355490E-01 1.205333355E+00 1.020697806E+0 1.846355490E-01
1.624993176E+01 340 1.193641672E+00 1.020369735E+0 1.732719370E-01 1.193641672E+00 1.020369735E+0 1.732719370E-01
1.649996187E+01 290 1.183111308E+00 1.028148173E+0 1.549631350E-01 1.183111308E+00 1.028148173E+0 1.549631350E-01
1.649996187E+01 295 1.186305004E+00 1.027483764E+0 1.588212400E-01 1.186305004E+00 1.027483764E+0 1.588212400E-01
1.649996187E+01 300 1.194060014E+00 1.026863953E+0 1.671960610E-01 1.194060014E+00 1.026863953E+0 1.671960610E-01
1.649996187E+01 305 1.192147852E+00 1.026284905E+0 1.658629470E-01 1.192147852E+00 1.026284905E+0 1.658629470E-01
1.649996187E+01 310 1.198826111E+00 1.025743191E+0 1.730829200E-01 1.198826111E+00 1.025743191E+0 1.730829200E-01
1.649996187E+01 315 1.201406074E+00 1.025235744E+0 1.761703300E-01 1.201406074E+00 1.025235744E+0 1.761703300E-01
1.649996187E+01 320 1.204243677E+00 1.024759806E+0 1.794838710E-01 1.204243677E+00 1.024759806E+0 1.794838710E-01
1.649996187E+01 325 1.210160669E+00 1.024312898E+0 1.858477710E-01 1.210160669E+00 1.024312898E+0 1.858477710E-01
1.649996187E+01 330 1.215163088E+00 1.023892784E+0 1.912703040E-01 1.215163088E+00 1.023892784E+0 1.912703040E-01
1.649996187E+01 335 1.218955438E+00 1.023497442E+0 1.954579960E-01 1.218955438E+00 1.023497442E+0 1.954579960E-01
1.649996187E+01 340 1.221230428E+00 1.023125041E+0 1.981053870E-01 1.221230428E+00 1.023125041E+0 1.981053870E-01
1.674996808E+01 290 1.193132107E+00 1.032406471E+0 1.607256360E-01 1.193132107E+00 1.032406471E+0 1.607256360E-01
1.674996808E+01 295 1.191301553E+00 1.031641696E+0 1.596598570E-01 1.191301553E+00 1.031641696E+0 1.596598570E-01
1.674996808E+01 300 1.199817388E+00 1.030928249E+0 1.688891390E-01 1.199817388E+00 1.030928249E+0 1.688891390E-01
1.674996808E+01 305 1.208163396E+00 1.030261717E+0 1.779016790E-01 1.208163396E+00 1.030261717E+0 1.779016790E-01
1.674996808E+01 310 1.206403269E+00 1.029638155E+0 1.767651140E-01 1.206403269E+00 1.029638155E+0 1.767651140E-01
1.674996808E+01 315 1.208872029E+00 1.029054032E+0 1.798179970E-01 1.208872029E+00 1.029054032E+0 1.798179970E-01
1.674996808E+01 320 1.212042173E+00 1.028506175E+0 1.835359980E-01 1.212042173E+00 1.028506175E+0 1.835359980E-01
1.674996808E+01 325 1.219006142E+00 1.027991732E+0 1.910144100E-01 1.219006142E+00 1.027991732E+0 1.910144100E-01
1.674996808E+01 330 1.225310956E+00 1.027508128E+0 1.978028280E-01 1.225310956E+00 1.027508128E+0 1.978028280E-01
1.674996808E+01 335 1.230718098E+00 1.027053038E+0 2.036650600E-01 1.230718098E+00 1.027053038E+0 2.036650600E-01
1.674996808E+01 340 1.234958623E+00 1.026624354E+0 2.083342690E-01 1.234958623E+00 1.026624354E+0 2.083342690E-01
1.700000000E+01 290 1.200531131E+00 1.037813349E+0 1.627177820E-01 1.200531131E+00 1.037813349E+0 1.627177820E-01
1.700000000E+01 295 1.209640955E+00 1.036921192E+0 1.727197630E-01 1.209640955E+00 1.036921192E+0 1.727197630E-01
1.700000000E+01 300 1.207950566E+00 1.036088903E+0 1.718616630E-01 1.207950566E+00 1.036088903E+0 1.718616630E-01
1.700000000E+01 305 1.216835834E+00 1.035311334E+0 1.815245000E-01 1.216835834E+00 1.035311334E+0 1.815245000E-01
1.700000000E+01 310 1.215404197E+00 1.034583886E+0 1.808203110E-01 1.215404197E+00 1.034583886E+0 1.808203110E-01
