B T nFsrh nFBsrh dnsrh nF nFB dn
1.500000000E+01 290 1.145376734E+00 1.004948901E+0 1.404278330E-01 1.145376734E+00 1.004948901E+0 1.404278330E-01
1.500000000E+01 295 1.137651868E+00 1.004822622E+0 1.328292460E-01 1.137651868E+00 1.004822622E+0 1.328292460E-01
1.500000000E+01 300 1.118225443E+00 1.004704943E+0 1.135205000E-01 1.118225443E+00 1.004704943E+0 1.135205000E-01
1.500000000E+01 305 1.101335901E+00 1.004595109E+0 9.674079200E-02 1.101335901E+00 1.004595109E+0 9.674079200E-02
1.500000000E+01 310 1.074840380E+00 1.004492446E+0 7.034793400E-02 1.074840380E+00 1.004492446E+0 7.034793400E-02
1.500000000E+01 315 1.041446585E+00 1.004396352E+0 3.705023300E-02 1.041446585E+00 1.004396352E+0 3.705023300E-02
1.500000000E+01 320 1.008175815E+00 1.004306289E+0 3.869526000E-03 1.008175815E+00 1.004306289E+0 3.869526000E-03
1.500000000E+01 325 1.007232045E+00 1.004221771E+0 3.010274000E-03 1.007232045E+00 1.004221771E+0 3.010274000E-03
1.500000000E+01 330 1.008064179E+00 1.004142364E+0 3.921815000E-03 1.008064179E+00 1.004142364E+0 3.921815000E-03
1.500000000E+01 335 1.010104172E+00 1.004067674E+0 6.036498000E-03 1.010104172E+00 1.004067674E+0 6.036498000E-03
1.500000000E+01 340 1.017142405E+00 1.003997345E+0 1.314506000E-02 1.017142405E+00 1.003997345E+0 1.314506000E-02
1.524993176E+01 290 1.153875665E+00 1.005179606E+0 1.486960590E-01 1.153875665E+00 1.005179606E+0 1.486960590E-01
1.524993176E+01 295 1.149644828E+00 1.005047440E+0 1.445973880E-01 1.149644828E+00 1.005047440E+0 1.445973880E-01
1.524993176E+01 300 1.152426357E+00 1.004924275E+0 1.475020820E-01 1.152426357E+00 1.004924275E+0 1.475020820E-01
1.524993176E+01 305 1.142297683E+00 1.004809321E+0 1.374883620E-01 1.142297683E+00 1.004809321E+0 1.374883620E-01
1.524993176E+01 310 1.121336717E+00 1.004701871E+0 1.166348460E-01 1.121336717E+00 1.004701871E+0 1.166348460E-01
1.524993176E+01 315 1.106157093E+00 1.004601298E+0 1.015557950E-01 1.106157093E+00 1.004601298E+0 1.015557950E-01
