N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.000E+16 342 2.300E-4 3.716304E+1 1.514580E+1 5.176170E-1 7.873570E+1
1.468000E+10 1.000E+16 342 2.300E-4 3.713782E+1 1.511540E+1 5.172070E-1 7.869370E+1
2.154000E+10 1.000E+16 342 2.300E-4 3.710119E+1 1.508040E+1 5.166200E-1 7.867780E+1
3.162000E+10 1.000E+16 342 2.300E-4 3.704826E+1 1.503040E+1 5.157910E-1 7.865540E+1
4.642000E+10 1.000E+16 342 2.300E-4 3.697231E+1 1.496010E+1 5.146390E-1 7.862420E+1
6.813000E+10 1.000E+16 342 2.300E-4 3.686442E+1 1.486280E+1 5.130680E-1 7.858120E+1
1.000000E+11 1.000E+16 342 2.300E-4 3.671330E+1 1.473080E+1 5.109840E-1 7.852290E+1
1.468000E+11 1.000E+16 342 2.300E-4 3.650569E+1 1.455610E+1 5.082390E-1 7.845410E+1
2.154000E+11 1.000E+16 342 2.300E-4 3.622780E+1 1.432580E+1 5.048390E-1 7.832950E+1
3.162000E+11 1.000E+16 342 2.300E-4 3.586809E+1 1.405140E+1 5.008660E-1 7.821510E+1
4.642000E+11 1.000E+16 342 2.300E-4 3.542121E+1 1.372840E+1 4.962850E-1 7.809520E+1
6.813000E+11 1.000E+16 342 2.300E-4 3.489135E+1 1.335890E+1 4.914040E-1 7.791410E+1
1.000000E+12 1.000E+16 342 2.300E-4 3.429261E+1 1.296810E+1 4.862520E-1 7.777030E+1
1.468000E+12 1.000E+16 342 2.300E-4 3.364460E+1 1.255500E+1 4.810850E-1 7.756760E+1
2.154000E+12 1.000E+16 342 2.300E-4 3.296481E+1 1.214170E+1 4.758100E-1 7.740990E+1
3.162000E+12 1.000E+16 342 2.300E-4 3.226264E+1 1.171870E+1 4.705680E-1 7.718960E+1
4.642000E+12 1.000E+16 342 2.300E-4 3.153823E+1 1.129800E+1 4.651370E-1 7.701640E+1
6.813000E+12 1.000E+16 342 2.300E-4 3.078636E+1 1.086450E+1 4.596510E-1 7.677550E+1
1.000000E+13 1.000E+16 342 2.300E-4 3.000115E+1 1.042820E+1 4.539090E-1 7.657810E+1
1.468000E+13 1.000E+16 342 2.300E-4 2.917890E+1 9.977200E+0 4.480380E-1 7.631790E+1
2.154000E+13 1.000E+16 342 2.300E-4 2.831849E+1 9.518100E+0 4.419920E-1 7.604420E+1
3.162000E+13 1.000E+16 342 2.300E-4 2.742075E+1 9.056800E+0 4.357450E-1 7.579860E+1
4.642000E+13 1.000E+16 342 2.300E-4 2.648790E+1 8.585000E+0 4.293990E-1 7.548000E+1
6.813000E+13 1.000E+16 342 2.300E-4 2.552327E+1 8.115400E+0 4.228330E-1 7.519740E+1
1.000000E+14 1.000E+16 342 2.300E-4 2.453123E+1 7.639900E+0 4.161210E-1 7.484200E+1
