N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 1.000E+16 342 2.300E-4 3.715585E+1 1.515130E+1 5.182300E-1 7.868650E+1
1.468000E+10 1.000E+16 342 2.300E-4 3.713310E+1 1.513150E+1 5.180860E-1 7.865370E+1
2.154000E+10 1.000E+16 342 2.300E-4 3.709999E+1 1.509690E+1 5.178750E-1 7.857590E+1
3.162000E+10 1.000E+16 342 2.300E-4 3.705199E+1 1.505560E+1 5.175660E-1 7.850900E+1
4.642000E+10 1.000E+16 342 2.300E-4 3.698281E+1 1.499650E+1 5.171130E-1 7.841600E+1
6.813000E+10 1.000E+16 342 2.300E-4 3.688392E+1 1.491320E+1 5.164490E-1 7.828980E+1
1.000000E+11 1.000E+16 342 2.300E-4 3.674421E+1 1.479750E+1 5.154790E-1 7.812460E+1
1.468000E+11 1.000E+16 342 2.300E-4 3.655007E+1 1.464020E+1 5.140650E-1 7.791850E+1
2.154000E+11 1.000E+16 342 2.300E-4 3.628643E+1 1.443230E+1 5.120180E-1 7.767920E+1
3.162000E+11 1.000E+16 342 2.300E-4 3.593923E+1 1.416220E+1 5.090640E-1 7.740840E+1
4.642000E+11 1.000E+16 342 2.300E-4 3.549971E+1 1.384250E+1 5.049420E-1 7.722330E+1
6.813000E+11 1.000E+16 342 2.300E-4 3.496913E+1 1.346810E+1 4.996730E-1 7.707890E+1
1.000000E+12 1.000E+16 342 2.300E-4 3.436092E+1 1.306550E+1 4.935140E-1 7.704830E+1
1.468000E+12 1.000E+16 342 2.300E-4 3.369722E+1 1.263830E+1 4.871540E-1 7.698900E+1
2.154000E+12 1.000E+16 342 2.300E-4 3.299981E+1 1.221100E+1 4.810100E-1 7.692820E+1
3.162000E+12 1.000E+16 342 2.300E-4 3.228163E+1 1.177650E+1 4.750390E-1 7.679480E+1
4.642000E+12 1.000E+16 342 2.300E-4 3.154436E+1 1.134660E+1 4.691830E-1 7.666550E+1
6.813000E+12 1.000E+16 342 2.300E-4 3.078250E+1 1.090570E+1 4.632220E-1 7.648190E+1
1.000000E+13 1.000E+16 342 2.300E-4 2.998922E+1 1.046320E+1 4.571380E-1 7.632240E+1
1.468000E+13 1.000E+16 342 2.300E-4 2.915997E+1 1.000610E+1 4.509320E-1 7.609720E+1
2.154000E+13 1.000E+16 342 2.300E-4 2.829314E+1 9.546400E+0 4.445200E-1 7.590480E+1
3.162000E+13 1.000E+16 342 2.300E-4 2.738938E+1 9.074500E+0 4.380030E-1 7.564250E+1
4.642000E+13 1.000E+16 342 2.300E-4 2.645088E+1 8.597600E+0 4.313490E-1 7.535400E+1
6.813000E+13 1.000E+16 342 2.300E-4 2.548107E+1 8.122200E+0 4.245040E-1 7.508830E+1
1.000000E+14 1.000E+16 342 2.300E-4 2.448446E+1 7.640700E+0 4.175350E-1 7.473970E+1
