T file kT1 TDD TDD
305 001_305 38.014 1.000000E+10 0.000000E+0
305 002_305 38.014 1.468000E+10 0.000000E+0
305 003_305 38.014 2.154000E+10 0.000000E+0
305 004_305 38.014 3.162000E+10 0.000000E+0
305 005_305 38.014 4.642000E+10 0.000000E+0
305 006_305 38.014 6.813000E+10 0.000000E+0
305 007_305 38.014 1.000000E+11 0.000000E+0
305 008_305 38.014 1.468000E+11 0.000000E+0
305 009_305 38.014 2.154000E+11 0.000000E+0
305 010_305 38.014 3.162000E+11 0.000000E+0
305 011_305 38.014 4.642000E+11 0.000000E+0
305 012_305 38.014 6.813000E+11 0.000000E+0
305 013_305 38.014 1.000000E+12 0.000000E+0
305 014_305 38.014 1.468000E+12 0.000000E+0
305 015_305 38.014 2.154000E+12 0.000000E+0
305 016_305 38.014 3.162000E+12 0.000000E+0
305 017_305 38.014 4.642000E+12 0.000000E+0
305 018_305 38.014 6.813000E+12 0.000000E+0
305 019_305 38.014 1.000000E+13 0.000000E+0
