N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.196724910E-01 -1.163498890E-01 -1.108825490E-01 -1.058649800E-01
1.600000000E+01 3.046291400E-02 3.030647000E-02 2.974722300E-02 2.939846000E-02
1.700000000E+01 5.956450400E-02 5.817933600E-02 5.620121700E-02 5.625111800E-02
1.549996187E+01 1.107076800E-02 1.054727500E-02 1.193200700E-02 1.286918000E-02
1.649996187E+01 4.966097800E-02 4.950236200E-02 4.879385700E-02 4.834993900E-02
1.674996808E+01 5.793998000E-02 5.540867900E-02 5.520162300E-02 5.492228400E-02
1.624993176E+01 3.968190500E-02 3.930134800E-02 3.893676800E-02 3.861117900E-02
1.574996808E+01 2.333450900E-02 2.308012800E-02 2.298704200E-02 2.378143100E-02
1.524993176E+01 -2.444139600E-02 -2.350732700E-02 -2.139271400E-02 -1.926196100E-02
