Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.017819021E+00 1.013733174E+0 4.085847000E-03 1.017819021E+00 1.013733174E+0 4.085847000E-03
1.468000E+10 1.017780748E+00 1.013287638E+0 4.493110000E-03 1.017780748E+00 1.013287638E+0 4.493110000E-03
2.154000E+10 1.017725223E+00 1.012857053E+0 4.868170000E-03 1.017725223E+00 1.012857053E+0 4.868170000E-03
3.162000E+10 1.017645102E+00 1.012439910E+0 5.205192000E-03 1.017645102E+00 1.012439910E+0 5.205192000E-03
4.642000E+10 1.017530410E+00 1.012036212E+0 5.494198000E-03 1.017530410E+00 1.012036212E+0 5.494198000E-03
6.813000E+10 1.017368131E+00 1.011645845E+0 5.722286000E-03 1.017368131E+00 1.011645845E+0 5.722286000E-03
1.000000E+11 1.017142405E+00 1.011268052E+0 5.874353000E-03 1.017142405E+00 1.011268052E+0 5.874353000E-03
1.468000E+11 1.016836160E+00 1.010902356E+0 5.933804000E-03 1.016836160E+00 1.010902356E+0 5.933804000E-03
2.154000E+11 1.016435582E+00 1.010548940E+0 5.886642000E-03 1.016435582E+00 1.010548940E+0 5.886642000E-03
3.162000E+11 1.015939040E+00 1.010206565E+0 5.732475000E-03 1.015939040E+00 1.010206565E+0 5.732475000E-03
4.642000E+11 1.014824609E+00 1.009875232E+0 4.949377000E-03 1.014824609E+00 1.009875232E+0 4.949377000E-03
6.813000E+11 1.012144200E+00 1.009554848E+0 2.589352000E-03 1.012144200E+00 1.009554848E+0 2.589352000E-03
1.000000E+12 1.011875603E+00 1.009244791E+0 2.630812000E-03 1.011875603E+00 1.009244791E+0 2.630812000E-03
1.468000E+12 1.011849294E+00 1.008944667E+0 2.904627000E-03 1.011849294E+00 1.008944667E+0 2.904627000E-03
2.154000E+12 1.012141502E+00 1.008654628E+0 3.486874000E-03 1.012141502E+00 1.008654628E+0 3.486874000E-03
3.162000E+12 1.012864406E+00 1.008373655E+0 4.490751000E-03 1.012864406E+00 1.008373655E+0 4.490751000E-03
4.642000E+12 1.014043156E+00 1.008101749E+0 5.941407000E-03 1.014043156E+00 1.008101749E+0 5.941407000E-03
6.813000E+12 1.015716516E+00 1.007838832E+0 7.877684000E-03 1.015716516E+00 1.007838832E+0 7.877684000E-03
1.000000E+13 1.017873104E+00 1.007584395E+0 1.028870900E-02 1.017873104E+00 1.007584395E+0 1.028870900E-02
