fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
DL0 6:59 295.9 39.18 1.468E+000 5.737E-006 1.628E-012 2.752 0.8404 1.467E+004 
DL1 7:2 295.9 39.18 1.468E+000 5.871E-006 2.879E-012 2.77 0.8616 1.467E+004 
DL2 7:5 295.9 39.18 1.468E+000 5.682E-006 1.935E-012 2.747 0.847 1.467E+004 
DL3 7:7 295.9 39.18 1.468E+000 5.934E-006 3.050E-012 2.775 0.8645 1.467E+004 
DL4 7:9 295.9 39.18 1.468E+000 5.754E-006 1.873E-012 2.754 0.8453 1.467E+004 
DL5 7:13 295.9 39.18 1.468E+000 5.933E-006 3.564E-012 2.776 0.8705 1.467E+004 
DL6 7:16 295.9 39.18 1.468E+000 5.804E-006 2.112E-012 2.76 0.8497 1.467E+004 
DL7 7:18 295.9 39.18 1.468E+000 5.718E-006 1.590E-012 2.749 0.8401 1.467E+004 
DL8 7:21 295.9 39.18 1.468E+000 5.787E-006 1.949E-012 2.757 0.8472 1.467E+004 
DL9 7:23 295.9 39.18 1.468E+000 5.689E-006 1.856E-012 2.746 0.8453 1.467E+004 
