fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
DT0 7:11 296.2 39.14 1.945E+000 1.375E-006 5.137E-011 2.461 1.008 7.950E+004 
DT1 7:14 296.2 39.14 1.945E+000 1.399E-006 4.910E-011 2.468 1.006 7.950E+004 
DT2 7:18 296.3 39.13 1.973E+000 1.295E-006 2.470E-011 2.415 0.9706 7.950E+004 
DT3 7:20 296.3 39.13 1.973E+000 1.401E-006 4.294E-011 2.458 0.9981 7.950E+004 
DT4 7:23 296.3 39.13 1.973E+000 1.403E-006 3.942E-011 2.456 0.993 7.950E+004 
DT5 7:25 296.4 39.12 2.002E+000 1.386E-006 3.052E-011 2.442 0.9794 7.950E+004 
DT6 7:28 296.4 39.12 2.002E+000 1.397E-006 3.902E-011 2.446 0.9919 7.950E+004 
DT7 7:30 296.4 39.12 2.002E+000 1.339E-006 2.228E-011 2.416 0.9645 7.950E+004 
DT8 7:33 296.4 39.12 2.002E+000 1.379E-006 2.476E-011 2.431 0.9688 7.950E+004 
DT9 7:35 296.5 39.1 2.030E+000 1.404E-006 2.954E-011 2.441 0.9756 7.950E+004 
