fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B176FE100_T 1317912115 0 555 5.026746436E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 2.096632947E-04 
B176FE101_T 1317912115 0 555 5.088878140E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 3.081395433E-04 
B176FE102_T 1317912115 0 555 5.396672900E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 7.539155749E-04 
B176FE103_T 1317912115 0 555 5.879144460E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 7.285801471E-04 
B176FE140_T 1317912115 0 555 5.030219111E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 2.125220509E-04 
B176FE141_T 1317912115 0 555 5.117011054E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 3.858019567E-04 
B176FE142_T 1317912115 0 555 5.473225177E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 7.517769280E-04 
B176FE210_T 1317912115 0 555 5.035264799E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 2.172824943E-04 
B176FE211_T 1317912115 0 555 5.147357063E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 5.095417340E-04 
B176FE212_T 1317912115 0 555 5.553588971E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 6.335012873E-04 
B176FE310_T 1317912115 0 555 5.042563864E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 2.254295055E-04 
B176FE311_T 1317912115 0 555 5.187164248E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 6.291258493E-04 
B176FE312_T 1317912115 0 555 5.626220215E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 5.514888417E-04 
B176FE460_T 1317912115 0 555 5.053040496E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 2.397013694E-04 
B176FE461_T 1317912115 0 555 5.235351199E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 6.746050379E-04 
B176FE462_T 1317912115 0 555 5.726981360E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 5.656899835E-04 
B176FE680_T 1317912115 0 555 5.067943151E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 2.648088944E-04 
B176FE681_T 1317912115 0 555 5.306114530E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 7.916800135E-04 
B176FE682_T 1317912115 0 555 5.800437263E-07 9.700000000E-01 5.210000000E-13 0.000000000E+00 2.200000000E+00 5.519735397E-04 
