fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0001 8:32:16 296.9 39.05 1.000E+000 9.900E-001 2.481E-006 3.581E+003 3.078E+000 6.846E-009 2.063E-003 
0002 8:35:10 297 39.04 1.000E+000 9.900E-001 2.610E-006 3.552E+003 3.068E+000 6.999E-009 2.057E-003 
0003 8:40:08 297 39.04 1.000E+000 9.900E-001 2.407E-006 3.703E+003 3.126E+000 6.522E-009 2.106E-003 
0004 8:43:12 296.9 39.05 1.000E+000 9.900E-001 2.656E-006 3.581E+003 3.077E+000 6.900E-009 2.097E-003 
0005 8:46:26 296.9 39.05 1.000E+000 9.900E-001 2.545E-006 3.700E+003 3.106E+000 6.594E-009 2.085E-003 
0006 8:49:20 296.9 39.05 1.000E+000 9.900E-001 2.554E-006 3.656E+003 3.099E+000 6.671E-009 1.892E-003 
0007 8:53:32 297 39.04 1.000E+000 9.900E-001 2.542E-006 3.864E+003 3.146E+000 6.313E-009 2.104E-003 
0008 8:56:58 296.9 39.05 1.000E+000 9.900E-001 2.480E-006 3.822E+003 3.132E+000 6.363E-009 2.047E-003 
0009 9:01:08 297 39.04 1.000E+000 9.900E-001 2.435E-006 3.730E+003 3.120E+000 6.533E-009 2.015E-003 
0010 9:04:40 297.1 39.02 1.000E+000 9.900E-001 2.543E-006 3.816E+003 3.126E+000 6.484E-009 2.039E-003 
0011 9:13:00 297 39.04 1.000E+000 9.900E-001 2.508E-006 3.797E+003 3.131E+000 6.445E-009 2.050E-003 
0012 9:15:06 297 39.04 1.000E+000 9.900E-001 2.539E-006 3.748E+003 3.116E+000 6.586E-009 1.990E-003 
0013 9:18:06 297 39.04 1.000E+000 9.900E-001 2.544E-006 3.805E+003 3.129E+000 6.465E-009 2.061E-003 
