N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.014016620E+00 1.138735904E+00 1.203443625E+00 1.229254641E+00 1.242404936E+00 1.250442517E+00 1.256017199E+00 1.259197401E+00 1.261898546E+00
1.016672606E+01 1.014332633E+00 1.139573717E+00 1.204766245E+00 1.231345994E+00 1.245570677E+00 1.255020523E+00 1.262417676E+00 1.267981577E+00 1.273820635E+00
1.033324570E+01 1.014560331E+00 1.140516213E+00 1.205824656E+00 1.232903045E+00 1.247947458E+00 1.258543134E+00 1.267429816E+00 1.274876628E+00 1.283135634E+00
1.049996187E+01 1.014725445E+00 1.141695866E+00 1.206754947E+00 1.234094521E+00 1.249740713E+00 1.261261287E+00 1.271400759E+00 1.280402282E+00 1.290554070E+00
1.066670514E+01 1.014849021E+00 1.143266450E+00 1.207677840E+00 1.235059173E+00 1.251119571E+00 1.263371701E+00 1.274575655E+00 1.284928681E+00 1.296651871E+00
1.083333839E+01 1.014948737E+00 1.145413718E+00 1.208708015E+00 1.235914510E+00 1.252227631E+00 1.265041830E+00 1.277141346E+00 1.288704663E+00 1.301838696E+00
1.100000000E+01 1.015041078E+00 1.148358428E+00 1.209960010E+00 1.236763876E+00 1.253189707E+00 1.266422638E+00 1.279261797E+00 1.291909602E+00 1.306380544E+00
1.116672606E+01 1.015144412E+00 1.152343612E+00 1.211547746E+00 1.237701295E+00 1.254116977E+00 1.267653897E+00 1.281096611E+00 1.294702077E+00 1.310454960E+00
1.133324570E+01 1.015283380E+00 1.157593452E+00 1.213574170E+00 1.238812507E+00 1.255110819E+00 1.268866471E+00 1.282805783E+00 1.297248130E+00 1.314211563E+00
1.149996187E+01 1.026693308E+00 1.164232519E+00 1.216108038E+00 1.240171039E+00 1.256264414E+00 1.270183210E+00 1.284547287E+00 1.299727085E+00 1.317812116E+00
1.166670514E+01 1.047130525E+00 1.172171987E+00 1.219151772E+00 1.241829666E+00 1.257661120E+00 1.271717850E+00 1.286471336E+00 1.302321825E+00 1.321438491E+00
1.183333839E+01 1.070728730E+00 1.181013992E+00 1.222617281E+00 1.243812174E+00 1.259370158E+00 1.273570791E+00 1.288712018E+00 1.305201237E+00 1.325273513E+00
1.200000000E+01 1.095596664E+00 1.190073730E+00 1.226337335E+00 1.246112982E+00 1.261441789E+00 1.275822062E+00 1.291376223E+00 1.308499765E+00 1.329468645E+00
1.216672606E+01 1.119150631E+00 1.198591012E+00 1.230125989E+00 1.248708599E+00 1.263904406E+00 1.278523386E+00 1.294531842E+00 1.312298880E+00 1.334114167E+00
1.233324570E+01 1.139191286E+00 1.206043356E+00 1.233857070E+00 1.251574226E+00 1.266764266E+00 1.281692493E+00 1.298199543E+00 1.316617183E+00 1.339225759E+00
1.249996187E+01 1.154879931E+00 1.212324002E+00 1.237501150E+00 1.254692205E+00 1.270007177E+00 1.285313023E+00 1.302353922E+00 1.321416057E+00 1.344755262E+00
1.266670514E+01 1.166736311E+00 1.217651705E+00 1.241098574E+00 1.258049553E+00 1.273603210E+00 1.289342802E+00 1.306937181E+00 1.326621707E+00 1.350620374E+00
1.283333839E+01 1.175856913E+00 1.222342104E+00 1.244707909E+00 1.261633838E+00 1.277515859E+00 1.293729342E+00 1.311880990E+00 1.332153111E+00 1.356735674E+00
1.300000000E+01 1.183189933E+00 1.226646583E+00 1.248375452E+00 1.265434646E+00 1.281712789E+00 1.298425181E+00 1.317124678E+00 1.337940532E+00 1.363028828E+00
