Isc(A) L(mkm) 
5.98418E-1 2.10000E-4
6.21777E-1 2.56000E-4
2.97639E-1 3.60000E-5
6.23486E-1 2.60000E-4
5.74399E-1 1.75000E-4
3.16860E-1 4.00000E-5
2.59624E-1 2.90000E-5
5.95381E-1 2.05000E-4
4.39645E-1 7.70000E-5
5.97217E-1 2.08000E-4
5.81975E-1 1.85000E-4
5.63509E-1 1.62000E-4
5.71181E-1 1.71000E-4
3.96119E-1 6.10000E-5
4.69933E-1 9.10000E-5
4.86524E-1 1.00000E-4
2.87384E-1 3.40000E-5
6.02481E-1 2.17000E-4
4.73793E-1 9.30000E-5
4.83005E-1 9.80000E-5
4.24613E-1 7.10000E-5
6.17766E-1 2.47000E-4
6.28364E-1 2.72000E-4
3.02600E-1 3.70000E-5
6.07937E-1 2.27000E-4
5.75966E-1 1.77000E-4
4.08084E-1 6.50000E-5
5.11719E-1 1.16000E-4
5.92867E-1 2.01000E-4
6.16842E-1 2.45000E-4
5.66136E-1 1.65000E-4
3.54728E-1 4.90000E-5
5.54203E-1 1.52000E-4
6.05258E-1 2.22000E-4
5.33803E-1 1.33000E-4
5.90930E-1 1.98000E-4
5.13139E-1 1.17000E-4
6.15905E-1 2.43000E-4
1.77379E-1 1.70000E-5
6.23907E-1 2.61000E-4
6.20466E-1 2.53000E-4
5.50225E-1 1.48000E-4
5.55174E-1 1.53000E-4
5.02842E-1 1.10000E-4
6.21343E-1 2.55000E-4
2.92568E-1 3.50000E-5
5.88946E-1 1.95000E-4
2.28372E-1 2.40000E-5
6.03604E-1 2.19000E-4
3.42852E-1 4.60000E-5
6.29911E-1 2.76000E-4
2.34933E-1 2.50000E-5
6.26778E-1 2.68000E-4
5.62617E-1 1.61000E-4
3.79956E-1 5.60000E-5
6.25153E-1 2.64000E-4
5.94134E-1 2.03000E-4
5.88274E-1 1.94000E-4
4.10952E-1 6.60000E-5
2.65435E-1 3.00000E-5
5.52233E-1 1.50000E-4
6.14956E-1 2.41000E-4
6.37459E-1 2.97000E-4
6.04711E-1 2.21000E-4
5.01299E-1 1.09000E-4
6.29142E-1 2.74000E-4
1.15489E-1 1.00000E-5
6.04159E-1 2.20000E-4
4.46662E-1 8.00000E-5
5.99011E-1 2.11000E-4
6.07408E-1 2.26000E-4
4.65965E-1 8.90000E-5
5.05871E-1 1.12000E-4
5.65268E-1 1.64000E-4
5.84831E-1 1.89000E-4
5.42873E-1 1.41000E-4
4.16549E-1 6.80000E-5
6.32164E-1 2.82000E-4
5.38432E-1 1.37000E-4
5.71996E-1 1.72000E-4
5.79021E-1 1.81000E-4
6.24325E-1 2.62000E-4
5.72804E-1 1.73000E-4
4.79393E-1 9.60000E-5
3.58537E-1 5.00000E-5
3.83303E-1 5.70000E-5
6.38131E-1 2.99000E-4
6.38464E-1 3.00000E-4
5.75186E-1 1.76000E-4
4.55549E-1 8.40000E-5
3.50846E-1 4.80000E-5
4.99738E-1 1.08000E-4
6.34337E-1 2.88000E-4
6.31422E-1 2.80000E-4
5.40676E-1 1.39000E-4
5.82698E-1 1.86000E-4
5.81245E-1 1.84000E-4
5.68692E-1 1.68000E-4
6.01341E-1 2.15000E-4
5.64392E-1 1.63000E-4
5.61717E-1 1.60000E-4
6.32531E-1 2.83000E-4
6.08461E-1 2.28000E-4
3.62274E-1 5.10000E-5
5.18656E-1 1.21000E-4
6.05801E-1 2.23000E-4
5.23929E-1 1.25000E-4
5.07359E-1 1.13000E-4
6.28754E-1 2.73000E-4
6.18678E-1 2.49000E-4
5.31414E-1 1.31000E-4
3.07455E-1 3.80000E-5
3.73077E-1 5.40000E-5
2.76661E-1 3.20000E-5
6.15432E-1 2.42000E-4
6.06877E-1 2.25000E-4
1.85258E-1 1.80000E-5
4.88249E-1 1.01000E-4
7.37995E-2 6.00000E-6
5.17300E-1 1.20000E-4
4.34788E-1 7.50000E-5
5.14542E-1 1.18000E-4
4.91635E-1 1.03000E-4
3.30252E-1 4.30000E-5
5.59891E-1 1.58000E-4
6.33980E-1 2.87000E-4
6.22637E-1 2.58000E-4
6.09499E-1 2.30000E-4
6.26376E-1 2.67000E-4
5.89612E-1 1.96000E-4
6.16375E-1 2.44000E-4
6.35396E-1 2.91000E-4
5.41780E-1 1.40000E-4
3.25879E-1 4.20000E-5
6.11028E-1 2.33000E-4
6.01913E-1 2.16000E-4
6.23063E-1 2.59000E-4
4.63940E-1 8.80000E-5
2.47578E-1 2.70000E-5
4.19281E-1 6.90000E-5
6.33260E-1 2.85000E-4
3.92998E-1 6.00000E-5
5.99600E-1 2.12000E-4
5.22632E-1 1.24000E-4
6.36091E-1 2.93000E-4
2.14742E-1 2.20000E-5
5.96610E-1 2.07000E-4
3.65942E-1 5.20000E-5
6.20906E-1 2.54000E-4
6.00765E-1 2.14000E-4
