T(K) J0(mAcm-2)
127 4.25866E+7
433 1.57997E+9
483 2.16333E+9
235 2.64929E+8
331 7.24439E+8
323 6.74473E+8
328 7.05432E+8
387 1.14172E+9
119 3.50687E+7
146 6.45385E+7
185 1.30491E+8
494 2.30747E+9
383 1.10782E+9
249 3.14236E+8
339 7.76728E+8
298 5.32809E+8
300 5.43356E+8
407 1.32116E+9
254 3.33193E+8
225 2.32998E+8
194 1.50237E+8
145 6.32304E+7
308 5.86893E+8
170 1.01511E+8
108 2.62468E+7
493 2.29413E+9
411 1.35907E+9
289 4.86987E+8
184 1.28409E+8
153 7.41979E+7
492 2.28083E+9
177 1.14441E+8
274 4.16435E+8
156 7.86131E+7
162 8.79559E+7
461 1.89237E+9
165 9.28894E+7
240 2.81911E+8
125 4.06162E+7
163 8.95807E+7
362 9.40407E+8
178 1.16372E+8
243 2.92433E+8
263 3.69162E+8
309 5.92489E+8
121 3.68581E+7
402 1.27473E+9
319 6.50347E+8
204 1.74366E+8
486 2.20206E+9
