Isc(A) T(K) L(mkm)
6.24589E-1 294 2.73E-4
3.55416E-1 302 4.90E-5
5.00638E-1 306 1.04E-4
4.48561E-1 311 7.50E-5
5.95970E-1 304 2.01E-4
6.40754E-1 334 2.51E-4
6.32907E-1 313 2.62E-4
5.59688E-1 292 1.66E-4
6.18379E-1 305 2.41E-4
2.45598E-1 317 2.40E-5
4.33940E-1 335 6.10E-5
6.45964E-1 335 2.64E-4
6.41451E-1 307 2.97E-4
6.22011E-1 290 2.73E-4
6.00096E-1 323 1.85E-4
6.34329E-1 306 2.78E-4
2.51204E-1 302 2.70E-5
6.08283E-1 296 2.34E-4
3.91427E-1 305 5.80E-5
5.96635E-1 305 2.01E-4
3.82893E-1 333 4.70E-5
3.41968E-1 305 4.50E-5
5.24280E-1 308 1.20E-4
5.43646E-1 302 1.40E-4
5.28519E-1 313 1.19E-4
5.79596E-1 321 1.60E-4
6.01848E-1 298 2.18E-4
5.86594E-1 335 1.56E-4
6.15550E-1 297 2.48E-4
6.39348E-1 319 2.70E-4
8.00686E-2 318 6.00E-6
5.80115E-1 302 1.80E-4
6.18896E-1 311 2.33E-4
4.48868E-1 300 8.10E-5
5.87572E-1 324 1.67E-4
2.93137E-1 322 3.10E-5
4.45253E-1 332 6.60E-5
6.09660E-1 335 1.88E-4
4.00053E-1 333 5.10E-5
5.31619E-1 325 1.13E-4
6.31919E-1 316 2.56E-4
5.02795E-1 332 9.10E-5
6.36166E-1 317 2.65E-4
5.64914E-1 322 1.44E-4
3.90920E-1 340 4.70E-5
5.66099E-1 333 1.36E-4
5.91456E-1 303 1.95E-4
2.72338E-1 304 3.00E-5
6.57228E-1 336 2.97E-4
1.33436E-1 336 1.00E-5
6.08513E-1 330 1.92E-4
6.34295E-1 318 2.59E-4
5.28096E-1 337 1.03E-4
6.29618E-1 299 2.77E-4
5.63309E-1 299 1.63E-4
1.16107E-1 316 9.00E-6
5.77196E-1 319 1.60E-4
5.88588E-1 319 1.73E-4
6.02684E-1 336 1.76E-4
4.44045E-1 293 8.20E-5
5.61906E-1 300 1.60E-4
