T(K) Nd(cm-3) Mu(cm2/Vs)
176 2.95540E+16 6.83956E+2
295 5.60391E+16 3.29327E+2
163 3.52244E+16 6.85230E+2
394 1.50389E+14 2.54229E+2
329 2.21197E+13 3.81950E+2
285 1.65133E+18 1.57704E+2
245 1.27956E+17 3.36243E+2
300 9.58628E+14 4.55265E+2
458 5.64508E+15 1.75506E+2
96 6.30475E+16 6.71398E+2
423 1.22276E+15 2.13679E+2
201 1.70768E+13 1.15529E+3
384 4.83293E+13 2.69471E+2
320 2.89447E+17 2.10568E+2
346 1.95161E+17 2.08376E+2
279 2.13384E+16 4.21040E+2
397 2.72311E+17 1.62928E+2
304 1.09574E+19 1.22612E+2
376 4.06166E+14 2.80925E+2
381 1.95506E+16 2.43954E+2
400 1.44909E+14 2.45798E+2
260 2.23960E+13 6.47075E+2
470 6.42314E+15 1.65822E+2
490 2.17416E+15 1.54049E+2
439 2.42837E+19 7.85184E+1
322 5.46754E+19 1.30413E+2
472 1.76477E+15 1.67460E+2
282 8.01061E+16 3.25729E+2
113 2.73111E+13 4.08814E+3
382 1.15474E+15 2.68647E+2
104 3.44018E+13 4.75147E+3
291 1.25517E+17 2.83377E+2
213 6.68866E+14 9.56737E+2
262 1.32758E+18 1.75911E+2
367 1.36797E+14 2.97705E+2
458 3.94179E+17 1.24966E+2
279 3.63492E+17 2.27498E+2
233 3.30042E+13 8.26416E+2
412 7.66697E+16 1.85470E+2
291 9.18114E+17 1.75634E+2
89 2.50582E+16 9.73968E+2
184 8.85353E+15 9.07632E+2
477 2.97285E+15 1.62405E+2
215 2.69837E+15 8.54351E+2
429 1.08708E+15 2.07919E+2
404 8.75381E+15 2.26130E+2
292 7.11835E+19 1.50764E+2
308 1.25521E+19 1.21079E+2
202 1.71143E+17 3.58437E+2
173 1.11307E+17 4.49620E+2
158 3.78709E+19 2.65338E+2
224 3.75263E+15 7.65614E+2
423 7.60307E+14 2.14639E+2
494 2.65063E+17 1.17217E+2
473 1.24631E+14 1.68644E+2
302 1.13981E+19 1.23915E+2
320 1.00387E+15 3.96845E+2
417 8.04088E+19 9.21995E+1
108 9.08499E+18 3.98936E+2
488 7.12728E+16 1.37113E+2
325 4.88850E+14 3.87694E+2
457 3.02493E+14 1.81608E+2
426 9.72544E+19 9.06568E+1
445 2.14910E+13 1.93582E+2
132 9.66978E+14 2.24954E+3
445 1.64985E+17 1.48226E+2
122 2.33940E+15 2.05265E+3
422 2.08921E+18 1.03537E+2
263 4.95413E+17 2.20729E+2
258 4.20922E+18 1.49966E+2
345 4.82012E+19 1.16567E+2
363 8.44959E+14 3.02161E+2
387 1.37083E+19 9.22034E+1
469 2.81442E+16 1.57899E+2
229 7.55170E+15 6.78508E+2
197 6.55712E+18 1.95352E+2
305 6.83374E+14 4.41719E+2
378 8.26836E+13 2.78531E+2
165 1.50546E+16 8.88380E+2
477 8.16116E+18 7.41398E+1
225 1.38734E+15 8.21069E+2
199 2.52666E+18 1.95961E+2
135 8.44434E+14 2.21936E+3
400 3.42693E+16 2.12495E+2
321 6.44454E+15 3.68356E+2
199 3.46892E+19 2.31302E+2
283 2.36380E+15 5.01537E+2
398 9.77288E+15 2.33025E+2
425 3.03893E+14 2.13801E+2
189 5.96739E+16 5.21202E+2
362 2.46952E+18 1.18034E+2
422 3.79690E+15 2.11225E+2
275 1.40171E+17 2.94022E+2
198 2.24421E+19 2.25573E+2
150 1.38206E+15 1.73081E+3
267 1.14552E+13 6.10643E+2
315 3.15283E+13 4.21150E+2
225 5.34479E+18 1.69042E+2
423 4.49940E+18 9.13473E+1
227 3.39428E+18 1.70926E+2
