x N
1.7107531E+0 1.3953432E+21
1.7005562E+0 1.4384533E+21
1.6909144E+0 1.4655698E+21
1.6809686E+0 1.4370227E+21
1.6708201E+0 1.4051990E+21
1.6602933E+0 1.3419017E+21
1.6490299E+0 1.2999108E+21
1.6376498E+0 1.2763623E+21
1.6258059E+0 1.2781365E+21
1.6142948E+0 1.3009797E+21
1.6026943E+0 1.2669557E+21
1.5903862E+0 1.2583738E+21
1.5784445E+0 1.2543195E+21
1.5658662E+0 1.2273262E+21
1.5531883E+0 1.2367565E+21
1.5405994E+0 1.2346753E+21
1.5276685E+0 1.2178832E+21
1.5145098E+0 1.2484217E+21
1.5020034E+0 1.2395159E+21
1.4884301E+0 1.2365132E+21
1.4756383E+0 1.2510542E+21
1.4621323E+0 1.2267171E+21
1.4485771E+0 1.2456089E+21
1.4352346E+0 1.2414431E+21
1.4213310E+0 1.2358909E+21
1.4076054E+0 1.2420477E+21
1.3935658E+0 1.2145604E+21
1.3789229E+0 1.1913152E+21
1.3640167E+0 1.1870606E+21
1.3489448E+0 1.2119217E+21
1.3343323E+0 1.2387034E+21
1.3195776E+0 1.2550454E+21
1.3050273E+0 1.2918985E+21
1.2907923E+0 1.2794510E+21
1.2756273E+0 1.2500993E+21
1.2603540E+0 1.2011676E+21
1.2435470E+0 1.1250000E+21
1.2256446E+0 1.0691670E+21
1.2064889E+0 1.0220756E+21
1.1862664E+0 9.9667702E+20
1.1654263E+0 9.9035235E+20
