x N
1.2839645E+0 2.1061880E+21
1.2749588E+0 1.4000399E+21
1.2566736E+0 1.6900766E+21
1.2522310E+0 1.6699590E+21
1.2333285E+0 1.4308153E+21
1.2248419E+0 1.6735416E+21
1.2095844E+0 1.6317453E+21
1.2003113E+0 2.1747670E+21
1.1909904E+0 1.4126327E+21
1.1713365E+0 1.4176309E+21
1.1618874E+0 2.1471998E+21
1.1518766E+0 1.7560032E+21
1.1378495E+0 1.5751690E+21
1.1248077E+0 1.9587811E+21
1.1158600E+0 1.7719973E+21
1.1001866E+0 2.0234811E+21
1.0941526E+0 1.5573039E+21
1.0714832E+0 1.4606997E+21
1.0633500E+0 2.1944560E+21
1.0506381E+0 1.5980618E+21
1.0343929E+0 1.6958372E+21
1.0230339E+0 1.6462064E+21
1.0054853E+0 1.5504041E+21
9.9196098E-1 1.4893088E+21
9.7253304E-1 1.6756500E+21
9.6231740E-1 1.7260881E+21
9.4317630E-1 1.3972322E+21
9.2551567E-1 1.4760814E+21
9.0764379E-1 1.9016237E+21
8.9751412E-1 1.8931060E+21
8.7894250E-1 1.6810865E+21
8.6474686E-1 1.9460366E+21
8.5009251E-1 1.7684999E+21
8.3240427E-1 1.5789696E+21
8.1312871E-1 1.5994245E+21
7.9511266E-1 1.6276835E+21
7.7558964E-1 1.7894993E+21
7.6023548E-1 1.7974705E+21
7.3995521E-1 1.6430652E+21
7.2033138E-1 1.5679535E+21
6.9686641E-1 1.4595533E+21
