X Y Xfit Yfit
8.1830400E+0 4.3037000E+1 8.2333838E+0 4.2281960E+1
9.3573000E+0 4.7482500E+1 9.3573000E+0 4.6841778E+1
1.0781100E+1 5.2351200E+1 1.0714452E+1 5.1840795E+1
1.2450100E+1 5.7702200E+1 1.2346425E+1 5.7306773E+1
1.4412900E+1 6.3548400E+1 1.4299944E+1 6.3265834E+1
1.6725500E+1 6.9910700E+1 1.6626940E+1 6.9741782E+1
1.9443800E+1 7.6818600E+1 1.9384575E+1 7.6755497E+1
2.2635300E+1 8.4295700E+1 2.2635300E+1 8.4324392E+1
2.6396900E+1 9.2372300E+1 2.6447077E+1 9.2461940E+1
3.0704200E+1 1.0111700E+2 3.0893876E+1 1.0117715E+2
3.5782000E+1 1.1042700E+2 3.6056554E+1 1.1047378E+2
4.1703400E+1 1.2036900E+2 4.2024124E+1 1.2034905E+2
4.8538200E+1 1.3084400E+2 4.8895262E+1 1.3079144E+2
5.6429800E+1 1.4191800E+2 5.6779734E+1 1.4177728E+2
6.5501100E+1 1.5347000E+2 6.5799162E+1 1.5326587E+2
7.5847800E+1 1.6544200E+2 7.6086409E+1 1.6519315E+2
8.7660900E+1 1.7771200E+2 8.7782751E+1 1.7746417E+2
1.0103200E+2 1.9019500E+2 1.0103200E+2 1.8994515E+2
1.1607500E+2 2.0259800E+2 1.1597088E+2 2.0245609E+2
1.3288000E+2 2.1476100E+2 1.3271555E+2 2.1476573E+2
1.5156700E+2 2.2644500E+2 1.5134428E+2 2.2659051E+2
1.7204600E+2 2.3726100E+2 1.7187811E+2 2.3759975E+2
1.9438700E+2 2.4697500E+2 1.9426103E+2 2.4742837E+2
2.1842400E+2 2.5511000E+2 2.1834383E+2 2.5569827E+2
2.4384200E+2 2.6136300E+2 2.4387473E+2 2.6204703E+2
2.7027200E+2 2.6548700E+2 2.7050105E+2 2.6616149E+2
2.9738800E+2 2.6723000E+2 2.9778381E+2 2.6781111E+2
3.2472600E+2 2.6638100E+2 3.2522514E+2 2.6687541E+2
3.5172100E+2 2.6297800E+2 3.5230546E+2 2.6336004E+2
3.7787000E+2 2.5714600E+2 3.7852444E+2 2.5739786E+2
4.0279500E+2 2.4899800E+2 4.0343931E+2 2.4923488E+2
4.2609600E+2 2.3920600E+2 4.2669428E+2 2.3920389E+2
4.4743100E+2 2.2780700E+2 4.4803733E+2 2.2769103E+2
4.6698200E+2 2.1513400E+2 4.6732381E+2 2.1510137E+2
4.8419000E+2 2.0202700E+2 4.8450847E+2 2.0182838E+2
4.9938400E+2 1.8834300E+2 4.9962971E+2 1.8823077E+2
5.1259600E+2 1.7470000E+2 5.1278986E+2 1.7461766E+2
5.2408100E+2 1.6122500E+2 5.2413491E+2 1.6124177E+2
5.3384500E+2 1.4841800E+2 5.3383628E+2 1.4829887E+2
5.4207600E+2 1.3593000E+2 5.4207577E+2 1.3593177E+2
5.4905100E+2 1.2425400E+2 5.4903425E+2 1.2423687E+2
5.5495600E+2 1.1329500E+2 5.5488387E+2 1.1327189E+2
5.5982900E+2 1.0295100E+2 5.5978326E+2 1.0306353E+2
5.6387500E+2 9.3614700E+1 5.6387500E+2 9.3614700E+1
5.6744800E+2 8.4910700E+1 5.6728486E+2 8.4910700E+1
5.7027200E+2 7.6921100E+1 5.7012210E+2 7.6924419E+1
5.7269100E+2 6.9537100E+1 5.7248056E+2 6.9620461E+1
5.7466800E+2 6.2900500E+1 5.7444001E+2 6.2958402E+1
5.7642800E+2 5.6880000E+1 5.7606784E+2 5.6895211E+1
5.7785700E+2 5.1450200E+1 5.7742057E+2 5.1387084E+1
5.7884900E+2 4.6331500E+1 5.7854541E+2 4.6390669E+1
5.7984100E+2 4.1790200E+1 5.7948163E+2 4.1864015E+1
