T file kT1 TDD TDD
295 001_295 39.302 1.000000E+10 0.000000E+0
295 002_295 39.302 1.468000E+10 0.000000E+0
295 003_295 39.302 2.154000E+10 0.000000E+0
295 004_295 39.302 3.162000E+10 0.000000E+0
295 005_295 39.302 4.642000E+10 0.000000E+0
295 006_295 39.302 6.813000E+10 0.000000E+0
295 007_295 39.302 1.000000E+11 0.000000E+0
295 008_295 39.302 1.468000E+11 0.000000E+0
295 009_295 39.302 2.154000E+11 0.000000E+0
295 010_295 39.302 3.162000E+11 0.000000E+0
295 011_295 39.302 4.642000E+11 0.000000E+0
295 012_295 39.302 6.813000E+11 0.000000E+0
295 013_295 39.302 1.000000E+12 0.000000E+0
295 014_295 39.302 1.468000E+12 0.000000E+0
295 015_295 39.302 2.154000E+12 0.000000E+0
295 016_295 39.302 3.162000E+12 0.000000E+0
295 017_295 39.302 4.642000E+12 0.000000E+0
295 018_295 39.302 6.813000E+12 0.000000E+0
295 019_295 39.302 1.000000E+13 0.000000E+0
