Method versus Method Nemenyi Holm Shaffer
ADELI versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus GOTLBO 1.434630192E-12 1.403099859E-12 1.229683022E-12
STLBO versus ISCA 1.434630192E-12 1.403099859E-12 1.229683022E-12
STLBO versus MABC 1.616484724E-12 1.545430450E-12 1.385558335E-12
ADELI versus MABC 1.858957432E-12 1.756816914E-12 1.593392085E-12
STLBO versus NNA 2.141842259E-12 2.000621890E-12 1.835864794E-12
ADELI versus GOTLBO 2.162048318E-12 2.000621890E-12 1.853184273E-12
ADELI versus ISCA 2.162048318E-12 2.000621890E-12 1.853184273E-12
EBLSHADE versus CWOA 2.182254377E-12 2.000621890E-12 1.870503752E-12
STLBO versus WW 2.303490731E-12 2.050359882E-12 1.974420627E-12
EBLSHADE versus WW 2.505551322E-12 2.202682481E-12 2.147615419E-12
EBLSHADE versus NNA 2.748024031E-12 2.385647235E-12 2.355449169E-12
EBLSHADE versus DE 9.092726572E-12 7.693845561E-12 6.694644838E-12
ADELI versus NNA 1.171951425E-11 9.787726185E-12 8.628653347E-12
ADELI versus WW 1.277022932E-11 1.052491427E-11 9.402256751E-12
EBLSHADE versus GOTLBO 1.590216847E-11 1.293143370E-11 1.170818997E-11
EBLSHADE versus ISCA 1.590216847E-11 1.293143370E-11 1.170818997E-11
EBLSHADE versus MABC 1.895328339E-11 1.499600444E-11 1.395461524E-11
STLBO versus CWOA 2.485345263E-11 1.939115535E-11 1.829869589E-11
STLBO versus DE 9.525136235E-11 7.222356047E-11 7.013012393E-11
ADELI versus CWOA 1.195390453E-10 8.932588003E-11 8.801226414E-11
ADELI versus DE 4.113549501E-10 2.938249644E-10 2.780922159E-10
TLBO versus PSO 3.834301765E-10 2.780922159E-10 2.780922159E-10
ADELI versus NDE 1.036449593E-09 7.289315818E-10 6.605942460E-10
STLBO versus NDE 5.202736908E-09 3.601894782E-09 3.316030117E-09
TLBO versus DE 5.631954014E-09 3.837155482E-09 3.589597064E-09
TLBO versus CWOA 2.123474951E-08 1.400093375E-08 1.353423595E-08
EBLSHADE versus NDE 4.909969298E-08 3.183386688E-08 3.129430981E-08
TLBO versus WW 1.737243811E-07 1.107254297E-07 1.107254297E-07
TLBO versus NNA 1.869042479E-07 1.170718915E-07 1.150179987E-07
EBLSHADE versus PSO 6.579472700E-07 4.048906277E-07 4.048906277E-07
TLBO versus GOTLBO 7.844537484E-07 4.741203974E-07 4.741203974E-07
