Method versus Method Nemenyi Holm Shaffer
EBLSHADE versus ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
EBLSHADE versus NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
EBLSHADE versus CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
EBLSHADE versus WW 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
TLBO versus PSO 1.374012015E-12 1.223021684E-12 1.177724585E-12
NDE versus CWOA 1.434630192E-12 1.261213356E-12 1.229683022E-12
NDE versus NNA 3.515854274E-12 3.052225139E-12 3.013589378E-12
ADELI versus MABC 6.546763132E-12 5.539568804E-12 5.126565839E-12
NDE versus ISCA 5.980993478E-12 5.126565839E-12 5.126565839E-12
STLBO versus MABC 6.546763132E-12 5.539568804E-12 5.126565839E-12
NDE versus WW 8.345102387E-12 6.877831638E-12 6.144196263E-12
EBLSHADE versus MABC 4.966649314E-11 4.038813728E-11 3.656763781E-11
EBLSHADE versus PSO 2.009694633E-10 1.612172618E-10 1.479665279E-10
TLBO versus GOTLBO 8.750435931E-10 6.923421836E-10 6.442628653E-10
ADELI versus PSO 1.000179717E-09 7.803599988E-10 7.363960552E-10
STLBO versus PSO 1.000179717E-09 7.803599988E-10 7.363960552E-10
NDE versus GOTLBO 1.220829882E-09 9.256841960E-10 8.988527700E-10
ADELI versus DE 1.559160134E-09 1.165086694E-09 1.147953066E-09
STLBO versus DE 1.559160134E-09 1.165086694E-09 1.147953066E-09
EBLSHADE versus DE 9.772902931E-09 7.088039489E-09 7.088039489E-09
ADELI versus WW 1.857692533E-08 1.326923238E-08 1.184023812E-08
STLBO versus WW 1.857692533E-08 1.326923238E-08 1.184023812E-08
TLBO versus MABC 2.293141188E-08 1.587559284E-08 1.461562515E-08
TLBO versus ISCA 3.513298208E-08 2.393675702E-08 2.239245012E-08
TLBO versus NNA 4.805307974E-08 3.221140510E-08 3.062723763E-08
IJAYA versus WW 4.909971318E-08 3.237343726E-08 3.129432269E-08
EBLSHADE versus GOTLBO 6.864879243E-08 4.450855773E-08 4.375417539E-08
TLBO versus CWOA 8.807960561E-08 5.613864973E-08 5.613864973E-08
ADELI versus GOTLBO 2.083105670E-07 1.304802453E-07 1.281911182E-07
STLBO versus GOTLBO 2.083105670E-07 1.304802453E-07 1.281911182E-07
TLBO versus WW 4.670036895E-07 2.822549772E-07 2.822549772E-07
IJAYA versus CWOA 6.812724980E-07 4.042715922E-07 3.818120593E-07
IJAYA versus NNA 1.575072729E-06 9.173500510E-07 8.827330680E-07
NDE versus PSO 1.687535774E-06 9.643061567E-07 9.457618075E-07
TLBO versus DE 2.377600171E-06 1.332501195E-06 1.332501195E-06
IJAYA versus ISCA 2.377600171E-06 1.332501195E-06 1.332501195E-06
IJAYA versus GOTLBO 1.250499363E-04 6.321205573E-05 6.321205573E-05
