Method Method Nemenyi Holm Shaffer 
DE 1 -0.05 -0.05 -0.05
DE 2 0 0 0
DE 3 0 0 0
DE 4 0 0 0
DE 5 0 0 0
DE 6 0 0 0
DE 7 1 1 1
DE 8 0 0 0
DE 9 1 1 1
DE 10 0 0 0
DE 11 1 1 1
DE 12 1 1 1
DE 13 1 1 1
DE 14 0 1 1
EBLSHADE 1 1 1 1
EBLSHADE 2 -0.05 -0.05 -0.05
EBLSHADE 3 0 0 0
EBLSHADE 4 1 1 1
EBLSHADE 5 1 1 1
EBLSHADE 6 0 0 0
EBLSHADE 7 1 1 1
EBLSHADE 8 0 0 0
EBLSHADE 9 1 1 1
EBLSHADE 10 0 0 0
EBLSHADE 11 1 1 1
EBLSHADE 12 1 1 1
EBLSHADE 13 1 1 1
EBLSHADE 14 1 1 1
ADELI 1 1 1 1
ADELI 2 0 0 0
ADELI 3 -0.05 -0.05 -0.05
ADELI 4 1 1 1
ADELI 5 1 1 1
ADELI 6 0 0 0
ADELI 7 1 1 1
ADELI 8 0 0 0
ADELI 9 1 1 1
ADELI 10 0 0 0
ADELI 11 1 1 1
ADELI 12 1 1 1
ADELI 13 1 1 1
ADELI 14 1 1 1
NDE 1 0 0 0
NDE 2 0 0 0
NDE 3 0 0 0
NDE 4 -0.05 -0.05 -0.05
NDE 5 0 0 0
NDE 6 0 0 0
NDE 7 1 1 1
NDE 8 0 0 0
NDE 9 1 1 1
NDE 10 0 0 0
NDE 11 1 1 1
NDE 12 1 1 1
NDE 13 1 1 1
NDE 14 1 1 1
MABC 1 0 0 0
MABC 2 0 0 0
MABC 3 0 0 0
MABC 4 0 0 0
MABC 5 -0.05 -0.05 -0.05
MABC 6 0 0 0
MABC 7 1 1 1
MABC 8 0 0 0
MABC 9 1 1 1
MABC 10 0 0 0
MABC 11 0 1 1
MABC 12 0 1 1
MABC 13 0 0 0
MABC 14 0 0 0
TLBO 1 1 1 1
TLBO 2 0 0 0
TLBO 3 0 0 0
TLBO 4 0 1 1
TLBO 5 1 1 1
TLBO 6 -0.05 -0.05 -0.05
TLBO 7 1 1 1
TLBO 8 0 0 0
TLBO 9 1 1 1
TLBO 10 0 0 0
TLBO 11 1 1 1
TLBO 12 1 1 1
TLBO 13 1 1 1
TLBO 14 1 1 1
GOTLBO 1 0 0 0
GOTLBO 2 0 0 0
GOTLBO 3 0 0 0
GOTLBO 4 0 0 0
GOTLBO 5 0 0 0
GOTLBO 6 0 0 0
GOTLBO 7 -0.05 -0.05 -0.05
GOTLBO 8 0 0 0
GOTLBO 9 0 0 0
GOTLBO 10 0 0 0
GOTLBO 11 0 0 0
GOTLBO 12 0 0 0
GOTLBO 13 0 0 0
GOTLBO 14 0 0 0
STLBO 1 1 1 1
STLBO 2 0 0 0
STLBO 3 0 0 0
STLBO 4 1 1 1
STLBO 5 1 1 1
STLBO 6 0 0 0
STLBO 7 1 1 1
STLBO 8 -0.05 -0.05 -0.05
STLBO 9 1 1 1
STLBO 10 0 0 0
STLBO 11 1 1 1
STLBO 12 1 1 1
STLBO 13 1 1 1
STLBO 14 1 1 1
PSO 1 0 0 0
PSO 2 0 0 0
PSO 3 0 0 0
PSO 4 0 0 0
PSO 5 0 0 0
PSO 6 0 0 0
PSO 7 0 0 0
PSO 8 0 0 0
PSO 9 -0.05 -0.05 -0.05
PSO 10 0 0 0
PSO 11 0 0 0
PSO 12 0 0 0
PSO 13 0 0 0
PSO 14 0 0 0
IJAYA 1 0 0 0
IJAYA 2 0 0 0
IJAYA 3 0 0 0
IJAYA 4 0 0 0
IJAYA 5 0 0 0
IJAYA 6 0 0 0
IJAYA 7 1 1 1
IJAYA 8 0 0 0
IJAYA 9 1 1 1
IJAYA 10 -0.05 -0.05 -0.05
IJAYA 11 1 1 1
IJAYA 12 1 1 1
IJAYA 13 1 1 1
IJAYA 14 1 1 1
ISCA 1 0 0 0
ISCA 2 0 0 0
ISCA 3 0 0 0
ISCA 4 0 0 0
ISCA 5 0 0 0
ISCA 6 0 0 0
ISCA 7 0 0 0
ISCA 8 0 0 0
ISCA 9 0 0 0
ISCA 10 0 0 0
ISCA 11 -0.05 -0.05 -0.05
ISCA 12 0 0 0
ISCA 13 0 0 0
ISCA 14 0 0 0
NNA 1 0 0 0
NNA 2 0 0 0
NNA 3 0 0 0
NNA 4 0 0 0
NNA 5 0 0 0
NNA 6 0 0 0
NNA 7 0 0 0
NNA 8 0 0 0
NNA 9 0 0 0
NNA 10 0 0 0
NNA 11 0 0 0
NNA 12 -0.05 -0.05 -0.05
NNA 13 0 0 0
NNA 14 0 0 0
CWOA 1 0 0 0
CWOA 2 0 0 0
CWOA 3 0 0 0
CWOA 4 0 0 0
CWOA 5 0 0 0
CWOA 6 0 0 0
CWOA 7 0 0 0
CWOA 8 0 0 0
CWOA 9 0 0 0
CWOA 10 0 0 0
CWOA 11 0 0 0
CWOA 12 0 0 0
CWOA 13 -0.05 -0.05 -0.05
CWOA 14 0 0 0
WW 1 0 0 0
WW 2 0 0 0
WW 3 0 0 0
WW 4 0 0 0
WW 5 0 0 0
WW 6 0 0 0
WW 7 0 0 0
WW 8 0 0 0
WW 9 0 0 0
WW 10 0 0 0
WW 11 0 0 0
WW 12 0 0 0
WW 13 0 0 0
WW 14 -0.05 -0.05 -0.05
