Method versus Method Nemenyi Holm Shaffer
EBLSHADE versus WW 9.135615456E-05 9.135615456E-05 9.135615456E-05
EBLSHADE versus CWOA 1.785926623E-04 1.766301056E-04 1.530794248E-04
EBLSHADE versus PSO 2.037938217E-04 1.993148366E-04 1.746804186E-04
EBLSHADE versus NNA 3.510801186E-03 3.395060488E-03 3.009258160E-03
EBLSHADE versus GOTLBO 4.420511928E-03 4.226203712E-03 3.789010224E-03
ADELI versus WW 4.420511928E-03 4.226203712E-03 3.789010224E-03
STLBO versus WW 6.213724645E-03 5.804028514E-03 5.326049696E-03
TLBO versus WW 6.951102833E-03 6.416402615E-03 5.958088142E-03
ADELI versus CWOA 7.770696592E-03 7.087558430E-03 6.660597079E-03
EBLSHADE versus ISCA 8.681022311E-03 7.822459664E-03 7.440876266E-03
ADELI versus PSO 8.681022311E-03 7.822459664E-03 7.440876266E-03
STLBO versus CWOA 1.081200888E-02 9.505062747E-03 9.267436179E-03
TLBO versus PSO 1.342961869E-02 1.136352351E-02 1.033202852E-02
TLBO versus CWOA 1.205403327E-02 1.046449042E-02 1.033202852E-02
STLBO versus PSO 1.205403327E-02 1.046449042E-02 1.033202852E-02
EBLSHADE versus MABC 6.902834485E-02 5.765004624E-02 5.082306708E-02
ADELI versus NNA 9.204490081E-02 7.484969956E-02 6.776932257E-02
ADELI versus GOTLBO 1.111372699E-01 8.915407369E-02 8.182634161E-02
STLBO versus NNA 1.219983417E-01 9.652616044E-02 8.982295485E-02
TLBO versus NNA 1.338313646E-01 1.044178779E-01 9.853518055E-02
STLBO versus GOTLBO 1.467141135E-01 1.128570104E-01 1.080202814E-01
TLBO versus GOTLBO 1.607296970E-01 1.218719681E-01 1.183394472E-01
ADELI versus ISCA 1.925201929E-01 1.438612431E-01 1.417456366E-01
STLBO versus ISCA 2.511189531E-01 1.848897787E-01 1.848897787E-01
TLBO versus ISCA 2.740124959E-01 1.987343377E-01 1.987343377E-01
EBLSHADE versus DE 3.545815397E-01 2.532725283E-01 2.259970253E-01
ADELI versus MABC 1.000000000E+00 7.115238858E-01 6.448185215E-01
NDE versus WW 1.000000000E+00 8.020248524E-01 7.502813135E-01
STLBO versus MABC 1.000000000E+00 8.503456279E-01 8.085253511E-01
TLBO versus MABC 1.000000000E+00 8.857376739E-01 8.707251709E-01
EBLSHADE versus NDE 1.000000000E+00 9.209450819E-01 9.047881506E-01
DE versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus PSO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus NNA 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus CWOA 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus WW 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
