Method versus Method Nemenyi Holm Shaffer
TLBO versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
TLBO versus NNA 1.616484724E-12 1.598721155E-12 1.385558335E-12
ADELI versus MABC 2.970290680E-12 2.905009566E-12 2.545963440E-12
TLBO versus ISCA 3.556266392E-12 3.399946991E-12 3.048228336E-12
NDE versus PSO 3.839151219E-12 3.628208844E-12 3.290701045E-12
STLBO versus MABC 5.475842002E-12 5.114797474E-12 4.693578859E-12
TLBO versus WW 7.152944903E-12 6.602718372E-12 6.131095631E-12
EBLSHADE versus GOTLBO 9.092726572E-12 8.293365994E-12 7.793765633E-12
EBLSHADE versus MABC 1.590216847E-11 1.415467743E-11 1.363043012E-11
STLBO versus GOTLBO 2.485345263E-11 2.157607426E-11 2.130295940E-11
ADELI versus GOTLBO 4.372591178E-11 3.747935295E-11 3.747935295E-11
EBLSHADE versus CWOA 8.823985986E-11 7.466449681E-11 6.496780891E-11
STLBO versus CWOA 2.161644197E-10 1.805329219E-10 1.591540233E-10
TLBO versus CWOA 2.318039094E-10 1.910471781E-10 1.706688124E-10
ADELI versus CWOA 3.572835361E-10 2.905382601E-10 2.630549112E-10
EBLSHADE versus WW 1.484094625E-09 1.190537446E-09 1.092685054E-09
TLBO versus GOTLBO 2.337679383E-09 1.849592479E-09 1.721148557E-09
EBLSHADE versus ISCA 2.475646355E-09 1.931548255E-09 1.822728635E-09
STLBO versus WW 3.178231234E-09 2.444793257E-09 2.340016403E-09
ADELI versus WW 4.875519988E-09 3.696822848E-09 3.589668562E-09
STLBO versus ISCA 5.177923867E-09 3.869217835E-09 3.812317573E-09
ADELI versus DE 5.202736908E-09 3.869217835E-09 3.830586515E-09
ADELI versus ISCA 7.839647820E-09 5.599748443E-09 4.996698610E-09
STLBO versus DE 9.036533521E-09 6.355364235E-09 5.759548838E-09
EBLSHADE versus NNA 1.314889087E-08 9.103078291E-09 8.380611760E-09
EBLSHADE versus DE 2.293141188E-08 1.562359930E-08 1.461562515E-08
STLBO versus NNA 2.550566380E-08 1.709720321E-08 1.625635715E-08
ADELI versus NNA 3.703338214E-08 2.441761460E-08 2.360369411E-08
EBLSHADE versus PSO 8.874551649E-08 5.753830190E-08 5.656307644E-08
STLBO versus PSO 1.215264325E-07 7.745640751E-08 7.745640751E-08
ADELI versus PSO 1.452505483E-07 9.098111264E-08 8.938495277E-08
TLBO versus MABC 3.587794311E-07 2.207873422E-07 2.207873422E-07
DE versus PSO 7.844537484E-07 4.741203974E-07 4.741203974E-07
NDE versus NNA 8.702242185E-05 5.163967890E-05 4.877080785E-05
TLBO versus DE 1.177582006E-04 6.858444650E-05 6.599635418E-05
ADELI versus NDE 1.896940106E-04 1.083965775E-04 1.063120279E-04
MABC versus PSO 2.263157786E-04 1.268363155E-04 1.268363155E-04
STLBO versus NDE 2.858201008E-04 1.570440114E-04 1.507622510E-04
