Method versus Method Nemenyi Holm Shaffer
EBLSHADE versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus ISCA 1.737721078E-12 1.680433570E-12 1.489475210E-12
EBLSHADE versus ISCA 2.505551322E-12 2.395417198E-12 2.147615419E-12
ADELI versus ISCA 5.900169242E-12 5.575984119E-12 5.057287922E-12
TLBO versus GOTLBO 3.822986372E-11 3.570921336E-11 3.276845462E-11
TLBO versus NNA 5.540501391E-11 5.114308976E-11 4.749001192E-11
STLBO versus GOTLBO 2.885829353E-10 2.632130069E-10 2.473568017E-10
TLBO versus CWOA 3.573037421E-10 3.219660094E-10 3.062603504E-10
EBLSHADE versus GOTLBO 4.113549501E-10 3.661511094E-10 3.525899572E-10
NDE versus PSO 4.171338830E-10 3.667111059E-10 3.575433283E-10
ADELI versus MABC 4.534441711E-10 3.936493354E-10 3.886664324E-10
ADELI versus GOTLBO 8.181433309E-10 7.012657122E-10 7.012657122E-10
EBLSHADE versus MABC 1.036449593E-09 8.769958093E-10 7.631002497E-10
STLBO versus MABC 1.559160134E-09 1.302155717E-09 1.147953066E-09
NDE versus WW 1.583508435E-09 1.305089370E-09 1.165879837E-09
DE versus WW 2.746245897E-09 2.233210949E-09 2.021961265E-09
IJAYA versus WW 5.202736908E-09 4.173624113E-09 3.830586515E-09
TLBO versus PSO 7.393679891E-09 5.849944529E-09 5.443698381E-09
TLBO versus ISCA 7.722998241E-09 6.025635990E-09 5.686163540E-09
TLBO versus WW 1.487178070E-08 1.127640514E-08 1.094955282E-08
NDE versus CWOA 1.820145634E-08 1.360108826E-08 1.340107225E-08
ADELI versus DE 2.476034311E-08 1.823014273E-08 1.823014273E-08
EBLSHADE versus DE 5.294496663E-08 3.723602049E-08 3.374514357E-08
STLBO versus DE 7.703408467E-08 5.333128938E-08 4.909864737E-08
STLBO versus NNA 9.719029537E-08 6.621756388E-08 6.194546298E-08
NDE versus NNA 1.202809714E-07 8.062790391E-08 7.666259716E-08
EBLSHADE versus NNA 1.239209717E-07 8.170613519E-08 7.898259735E-08
MABC versus WW 1.294928733E-07 8.395691786E-08 8.253391925E-08
ADELI versus NNA 1.988704983E-07 1.267526253E-07 1.267526253E-07
STLBO versus CWOA 3.139038753E-07 1.966211087E-07 1.931716156E-07
STLBO versus WW 3.766473662E-07 2.317829946E-07 2.317829946E-07
EBLSHADE versus CWOA 3.920259553E-07 2.369387642E-07 2.369387642E-07
EBLSHADE versus WW 4.211556566E-07 2.499165435E-07 2.369387642E-07
ADELI versus WW 5.241502232E-07 3.052743058E-07 2.937545207E-07
ADELI versus CWOA 6.044493039E-07 3.453996023E-07 3.387573022E-07
TLBO versus MABC 1.015325985E-05 5.690288486E-06 5.690288486E-06
NDE versus GOTLBO 8.702242185E-05 4.781451750E-05 4.590193680E-05
ISCA versus WW 1.043823024E-04 5.620585514E-05 5.505879687E-05
TLBO versus DE 2.263157786E-04 1.168883691E-04 1.168883691E-04
DE versus PSO 4.039868548E-04 2.042131354E-04 2.042131354E-04
IJAYA versus PSO 6.359023928E-04 3.144572272E-04 3.144572272E-04
NDE versus ISCA 3.223208283E-03 1.558474335E-03 1.523054464E-03
GOTLBO versus WW 3.765635230E-03 1.779366098E-03 1.779366098E-03
DE versus CWOA 5.120809051E-03 2.363450331E-03 2.363450331E-03
MABC versus PSO 5.960596499E-03 2.685543478E-03 2.620042417E-03
ADELI versus NDE 6.268377595E-03 2.755330811E-03 2.755330811E-03
IJAYA versus CWOA 7.656420389E-03 3.281323024E-03 3.281323024E-03
