Method versus Method Nemenyi Holm Shaffer
EBLSHADE versus GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
EBLSHADE versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
EBLSHADE versus MABC 1.515454429E-12 1.432187702E-12 1.298960939E-12
STLBO versus MABC 1.616484724E-12 1.509903313E-12 1.385558335E-12
ADELI versus MABC 7.031708549E-12 6.490807891E-12 6.027178756E-12
TLBO versus WW 7.799538793E-12 7.113865053E-12 6.685318965E-12
TLBO versus ISCA 9.092726572E-12 8.193445922E-12 7.793765633E-12
TLBO versus NNA 1.513433823E-11 1.347122414E-11 1.297228991E-11
TLBO versus CWOA 3.439071250E-11 3.023359341E-11 2.947775357E-11
EBLSHADE versus WW 2.181668401E-09 1.893975865E-09 1.870001487E-09
NDE versus PSO 2.533920629E-09 2.144086686E-09 1.992242371E-09
STLBO versus WW 2.324282766E-09 1.992242371E-09 1.992242371E-09
TLBO versus GOTLBO 2.806399335E-09 2.343806038E-09 2.066250060E-09
ADELI versus WW 6.971454081E-09 5.745703913E-09 5.132828829E-09
ADELI versus PSO 1.487180090E-08 1.209355238E-08 1.094956770E-08
TLBO versus MABC 2.293141188E-08 1.839552821E-08 1.688356699E-08
TLBO versus PSO 2.550566380E-08 2.018030543E-08 1.877889533E-08
NDE versus GOTLBO 4.909969298E-08 3.830855166E-08 3.615032340E-08
EBLSHADE versus ISCA 5.898346656E-08 4.537189735E-08 4.342738746E-08
STLBO versus ISCA 6.205527248E-08 4.705289891E-08 4.568904677E-08
EBLSHADE versus NNA 7.976555993E-08 5.960503380E-08 5.872848918E-08
STLBO versus NNA 8.382713945E-08 6.171888289E-08 6.171888289E-08
ADELI versus DE 1.117093995E-07 8.102000404E-08 8.102000404E-08
EBLSHADE versus CWOA 1.300233228E-07 9.287380198E-08 8.287200792E-08
STLBO versus CWOA 1.364025777E-07 9.593148320E-08 8.693790665E-08
ADELI versus ISCA 1.500379496E-07 1.038724267E-07 9.562858327E-08
ADELI versus NNA 1.988704983E-07 1.354941856E-07 1.267526253E-07
ADELI versus CWOA 3.139038753E-07 2.104190813E-07 2.000706019E-07
STLBO versus DE 4.141165930E-07 2.730439075E-07 2.639424439E-07
EBLSHADE versus DE 4.448184874E-07 2.883987995E-07 2.835106843E-07
IJAYA versus PSO 6.812724980E-07 4.342176361E-07 4.342176361E-07
NDE versus CWOA 4.086178879E-06 2.514571618E-06 2.514571618E-06
NDE versus NNA 7.803158102E-06 4.630445455E-06 4.414255607E-06
IJAYA versus GOTLBO 8.903449547E-06 5.087685455E-06 4.989845350E-06
DE versus PSO 1.157209666E-05 6.485460766E-06 6.485460766E-06
NDE versus ISCA 1.157209666E-05 6.485460766E-06 6.485460766E-06
DE versus GOTLBO 1.250499363E-04 6.733458110E-05 6.596040598E-05
ADELI versus NDE 2.399655954E-04 1.265752591E-04 1.265752591E-04
NDE versus WW 4.039868548E-04 2.086525514E-04 2.086525514E-04
IJAYA versus CWOA 4.039868548E-04 2.086525514E-04 2.086525514E-04
STLBO versus NDE 6.725893217E-04 3.325991151E-04 3.325991151E-04
EBLSHADE versus NDE 7.112951817E-04 3.439229450E-04 3.361065144E-04
IJAYA versus NNA 7.112951817E-04 3.439229450E-04 3.361065144E-04
IJAYA versus ISCA 9.921972528E-04 4.579371936E-04 4.579371936E-04
TLBO versus DE 1.709030264E-03 7.700026466E-04 7.512220942E-04
DE versus CWOA 3.964937601E-03 1.742829715E-03 1.742829715E-03
DE versus NNA 6.591153928E-03 2.824780255E-03 2.824780255E-03
DE versus ISCA 8.882975781E-03 3.709374502E-03 3.709374502E-03
IJAYA versus WW 1.922072498E-02 7.603803289E-03 7.603803289E-03
NDE versus MABC 5.249598206E-02 2.019076233E-02 2.019076233E-02
MABC versus PSO 1.137902323E-01 4.251503185E-02 4.251503185E-02
DE versus WW 1.236722562E-01 4.484818084E-02 4.348914505E-02
TLBO versus NDE 3.478439356E-01 1.223187466E-01 1.223187466E-01
MABC versus GOTLBO 5.055414513E-01 1.722174175E-01 1.722174175E-01
IJAYA versus MABC 9.585932659E-01 3.160197580E-01 3.160197580E-01
DE versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus NNA 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus CWOA 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus WW 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus PSO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus NNA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus CWOA 1.000000000E+00 1.000000000E+00 1.000000000E+00
