Method versus Method Nemenyi Holm Shaffer
ADELI versus WW 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus NDE 1.171951425E-12 1.159072838E-12 1.004529793E-12
STLBO versus CWOA 1.171951425E-12 1.159072838E-12 1.004529793E-12
TLBO versus PSO 1.212363543E-12 1.172395514E-12 1.039168751E-12
STLBO versus GOTLBO 1.212363543E-12 1.172395514E-12 1.039168751E-12
ADELI versus DE 1.737721078E-12 1.642241898E-12 1.489475210E-12
STLBO versus DE 1.838751373E-12 1.717515019E-12 1.576072606E-12
ADELI versus CWOA 3.839151219E-12 3.501643420E-12 3.290701045E-12
EBLSHADE versus GOTLBO 4.202860282E-12 3.787192782E-12 3.602451670E-12
STLBO versus NDE 5.011102644E-12 4.460432024E-12 4.295230838E-12
ADELI versus GOTLBO 5.415223825E-12 4.760636330E-12 4.641620421E-12
EBLSHADE versus CWOA 5.980993478E-12 5.192291042E-12 5.126565839E-12
EBLSHADE versus ISCA 1.171951425E-11 1.004529793E-11 1.004529793E-11
EBLSHADE versus DE 1.452815646E-11 1.229305546E-11 1.069655475E-11
EBLSHADE versus NDE 4.170530588E-11 3.437250484E-11 3.070610433E-11
STLBO versus ISCA 8.171330279E-11 6.644818029E-11 6.016254162E-11
TLBO versus WW 8.821965380E-11 7.076961239E-11 6.495293192E-11
TLBO versus MABC 1.079003553E-10 8.537170970E-11 7.944311875E-11
EBLSHADE versus MABC 3.099609458E-10 2.384314968E-10 2.282130040E-10
ADELI versus NNA 3.245699265E-10 2.461024717E-10 2.389690668E-10
ADELI versus ISCA 3.834099704E-10 2.865041537E-10 2.822908574E-10
STLBO versus MABC 1.583508435E-09 1.165879837E-09 1.165879837E-09
STLBO versus NNA 1.834083774E-09 1.330214605E-09 1.330214605E-09
TLBO versus ISCA 3.493263900E-09 2.495188500E-09 2.226475893E-09
ADELI versus MABC 5.836116035E-09 4.104521167E-09 3.719722308E-09
EBLSHADE versus NNA 1.235202451E-08 8.551401587E-09 7.872718921E-09
EBLSHADE versus PSO 1.471496147E-08 1.002557815E-08 9.378766652E-09
STLBO versus PSO 5.325860508E-08 3.570082319E-08 3.394504500E-08
ADELI versus PSO 1.500379496E-07 9.892612063E-08 9.562858327E-08
TLBO versus GOTLBO 2.162527202E-07 1.402078076E-07 1.378314041E-07
EBLSHADE versus WW 2.391694625E-07 1.524376794E-07 1.524376794E-07
TLBO versus CWOA 2.890336517E-07 1.810430565E-07 1.778668626E-07
TLBO versus DE 5.913453716E-07 3.639048440E-07 3.639048440E-07
STLBO versus WW 6.862958657E-07 4.147942045E-07 4.147942045E-07
TLBO versus NDE 1.371578761E-06 8.139038803E-07 7.686869981E-07
TLBO versus NNA 1.177582006E-04 6.729040034E-05 6.599635418E-05
NNA versus WW 2.212812670E-02 1.240147760E-02 1.240147760E-02
IJAYA versus WW 2.361932626E-01 1.297765179E-01 1.245854572E-01
NNA versus PSO 2.361932626E-01 1.297765179E-01 1.245854572E-01
NDE versus WW 4.045957497E-01 2.134131427E-01 2.134131427E-01
DE versus WW 6.286854945E-01 3.247056949E-01 3.247056949E-01
CWOA versus WW 8.946826427E-01 4.522571600E-01 4.522571600E-01
GOTLBO versus WW 1.000000000E+00 5.076263597E-01 5.076263597E-01
IJAYA versus PSO 1.000000000E+00 8.158759740E-01 7.973333382E-01
NNA versus MABC 1.000000000E+00 9.647929963E-01 9.647929963E-01
DE versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus PSO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus NNA 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus CWOA 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
