Method versus Method Nemenyi Holm Shaffer
EBLSHADE versus GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
EBLSHADE versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
TLBO versus WW 1.434630192E-12 1.340039191E-12 1.229683022E-12
ADELI versus MABC 1.333599897E-11 1.231015290E-11 1.143085626E-11
STLBO versus MABC 2.695488277E-11 2.458522275E-11 2.310418523E-11
EBLSHADE versus MABC 3.503730639E-11 3.157207829E-11 3.003197691E-11
TLBO versus CWOA 4.113549501E-10 3.661511094E-10 3.525899572E-10
TLBO versus NNA 8.181433309E-10 7.192468843E-10 7.012657122E-10
TLBO versus ISCA 1.068880318E-09 9.279290669E-10 9.161831294E-10
EBLSHADE versus WW 2.636163288E-09 2.259568532E-09 2.259568532E-09
STLBO versus WW 3.178231234E-09 2.689272582E-09 2.340016403E-09
TLBO versus PSO 4.319590685E-09 3.607570243E-09 3.180357977E-09
ADELI versus WW 5.177923867E-09 4.267519671E-09 3.812317573E-09
TLBO versus GOTLBO 1.108874170E-08 9.017218527E-09 8.164238396E-09
NDE versus GOTLBO 8.941696383E-08 7.173009187E-08 6.583446788E-08
ADELI versus DE 1.614522918E-07 1.277424726E-07 1.188714676E-07
EBLSHADE versus CWOA 2.620283952E-07 2.044397369E-07 1.929220053E-07
NDE versus PSO 2.890336517E-07 2.223335782E-07 2.128049963E-07
STLBO versus DE 2.890336517E-07 2.223335782E-07 2.128049963E-07
STLBO versus CWOA 3.001154627E-07 2.223335782E-07 2.209641319E-07
TLBO versus MABC 3.106702189E-07 2.253212577E-07 2.253212577E-07
EBLSHADE versus DE 3.587794311E-07 2.562710222E-07 2.286726044E-07
EBLSHADE versus NNA 4.096528523E-07 2.881075005E-07 2.610974223E-07
ADELI versus CWOA 4.280065815E-07 2.963122487E-07 2.727954036E-07
STLBO versus NNA 4.670036895E-07 3.181783379E-07 2.976507032E-07
EBLSHADE versus ISCA 4.877040494E-07 3.269224946E-07 3.108443392E-07
STLBO versus ISCA 5.549739601E-07 3.598182818E-07 3.537196669E-07
ADELI versus NNA 6.579472700E-07 4.121208175E-07 4.048906277E-07
ADELI versus ISCA 7.782061764E-07 4.788961085E-07 4.788961085E-07
NDE versus ISCA 1.371578761E-06 8.289761744E-07 8.289761744E-07
NDE versus NNA 1.807785790E-06 1.072752007E-06 1.013154673E-06
NDE versus CWOA 3.571688223E-06 2.080214020E-06 2.001715377E-06
IJAYA versus GOTLBO 6.814979871E-05 3.894274212E-05 3.819384323E-05
DE versus GOTLBO 1.108763607E-04 6.213949886E-05 6.213949886E-05
IJAYA versus PSO 1.788052470E-04 9.824464122E-05 9.431485557E-05
ADELI versus NDE 1.788052471E-04 9.824464122E-05 9.431485559E-05
DE versus PSO 2.858201008E-04 1.507622510E-04 1.507622510E-04
STLBO versus NDE 2.858201008E-04 1.507622510E-04 1.507622510E-04
EBLSHADE versus NDE 3.400155426E-04 1.718759886E-04 1.718759886E-04
TLBO versus DE 5.369751305E-04 2.655371525E-04 2.655371525E-04
IJAYA versus ISCA 6.359023928E-04 3.074692888E-04 3.004813505E-04
NDE versus WW 7.112951816E-04 3.361065144E-04 3.361065144E-04
IJAYA versus NNA 7.951899356E-04 3.670107395E-04 3.670107395E-04
DE versus ISCA 9.921972528E-04 4.361306606E-04 4.361306606E-04
DE versus NNA 1.235300347E-03 5.294144344E-04 5.294144344E-04
IJAYA versus CWOA 1.377218420E-03 5.751021973E-04 5.751021973E-04
DE versus CWOA 2.116146987E-03 8.604114123E-04 8.604114123E-04
MABC versus GOTLBO 4.804282882E-02 1.900595426E-02 1.900595426E-02
IJAYA versus WW 8.835040400E-02 3.398092461E-02 3.398092461E-02
MABC versus PSO 9.617745323E-02 3.593443308E-02 3.593443308E-02
TLBO versus NDE 1.003271303E-01 3.638236593E-02 3.593443308E-02
DE versus WW 1.236722562E-01 4.348914505E-02 4.348914505E-02
MABC versus ISCA 2.361932626E-01 8.046144109E-02 8.046144109E-02
MABC versus NNA 2.761882552E-01 9.105107314E-02 9.105107314E-02
MABC versus CWOA 4.045957497E-01 1.289371070E-01 1.289371070E-01
NDE versus MABC 7.251207993E-01 2.231140921E-01 2.231140921E-01
DE versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC versus WW 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus PSO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus NNA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus CWOA 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO versus WW 1.000000000E+00 1.000000000E+00 1.000000000E+00
