T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.476370000E-04 3.046120000E-04 5.932910000E-04 1.142950000E-03 2.190026000E-03 4.149416000E-03 7.689928000E-03 1.373437100E-02 2.325026500E-02
295 1.184870000E-04 2.709580000E-04 5.294680000E-04 1.010660000E-03 1.928157000E-03 3.656425000E-03 6.818748000E-03 1.230687400E-02 2.105540700E-02
300 7.244400000E-05 2.420120000E-04 4.872690000E-04 9.195470000E-04 1.729265000E-03 3.255621000E-03 6.070667000E-03 1.101064900E-02 1.897114100E-02
305 -1.710800000E-05 2.042830000E-04 4.612270000E-04 8.680060000E-04 1.601636000E-03 2.964631000E-03 5.485680000E-03 9.926261000E-03 1.715138300E-02
310 1.502500000E-04 1.304170000E-04 4.381420000E-04 8.511310000E-04 1.543140000E-03 2.796173000E-03 5.089964000E-03 9.122090000E-03 1.572200000E-02
315 1.573040000E-04 -2.471100000E-05 3.916280000E-04 8.561370000E-04 1.551003000E-03 2.753319000E-03 4.900012000E-03 8.649654000E-03 1.478462800E-02
320 1.912480000E-04 2.068150000E-04 2.713900000E-04 8.562240000E-04 1.613093000E-03 2.829012000E-03 4.926813000E-03 8.534708000E-03 1.441000400E-02
325 2.673430000E-04 2.164650000E-04 7.029000000E-06 8.028540000E-04 1.702963000E-03 3.011658000E-03 5.163639000E-03 8.793687000E-03 1.464153500E-02
330 4.131790000E-04 2.586680000E-04 2.866980000E-04 6.077240000E-04 1.771156000E-03 3.277238000E-03 5.602318000E-03 9.430469000E-03 1.550835100E-02
335 6.708770000E-04 3.496800000E-04 2.969750000E-04 1.548890000E-04 1.722395000E-03 3.566543000E-03 6.217058000E-03 1.043667700E-02 1.702393600E-02
340 1.105756000E-03 5.173250000E-04 3.456150000E-04 3.687820000E-04 1.406376000E-03 3.793190000E-03 6.951811000E-03 1.177560300E-02 1.918150800E-02
