fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L1116S10 1467438945 0 555 3.061865321E+17 6.897298457E-06 4.499112733E-04 6.504012021E-01 6.110295302E+02 1.557440015E-03 
L1116S20 1467439150 0 555 7.245425156E+16 9.999997358E+01 3.402386801E-04 6.471827289E-01 5.475169555E+02 1.642064561E-03 
L1116S30 1467439209 0 555 7.771506955E+17 1.163710733E-04 3.998302374E-04 6.503429442E-01 6.098168449E+02 1.671122779E-03 
L1116S80 1467439289 0 555 4.634422427E+17 9.999977292E+01 3.738067391E-04 6.490799830E-01 5.841109385E+02 1.603539221E-03 
L1123S15 1468489874 0 555 4.901859514E+16 9.999999806E+01 3.397422465E-04 6.462993889E-01 5.312703414E+02 1.709722530E-03 
L1123S25 1468489964 0 555 1.619852561E+18 1.756716006E-06 6.042657614E-04 6.508238044E-01 6.198988240E+02 1.443958664E-03 
L1123S35 1468490030 0 555 4.532093828E+18 5.838992149E-07 8.000000000E-04 6.529964318E-01 6.675699441E+02 1.436129029E-03 
L1124S05 1468490091 0 555 1.702589706E+18 8.629241869E-07 7.043583337E-04 6.494477905E-01 5.914832605E+02 1.461914573E-03 
L1124S10 1468490146 0 555 1.361576635E+17 9.999999776E+01 3.565407561E-04 6.475814051E-01 5.550113290E+02 1.324576873E-03 
L1124S40 1468490205 0 555 4.408837780E+18 1.458257703E-06 6.530659869E-04 6.522066201E-01 6.498302135E+02 1.370918658E-03 
