T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 -2.217331000E-03 -2.166249000E-03 -2.091849000E-03 -1.983893000E-03 -1.828095000E-03 -1.604954000E-03 -1.288913000E-03 -8.483430000E-04 -2.478040000E-04 5.456560000E-04 1.541693000E-03 2.725353000E-03 4.072064000E-03 5.458090000E-03 6.750209000E-03 7.826673000E-03 8.592000000E-03 8.993498000E-03 9.011061000E-03
295 -1.508709700E-02 -1.497993700E-02 -1.482392100E-02 -1.459765400E-02 -1.427128600E-02 -1.380429400E-02 -1.314377000E-02 -1.222488300E-02 -1.097626800E-02 -9.334388000E-03 -7.270058000E-03 -4.824274000E-03 -2.151771000E-03 5.485500000E-04 2.995150000E-03 4.980428000E-03 6.399454000E-03 7.252906000E-03 7.578014000E-03
300 -4.323959200E-02 -4.301873800E-02 -4.269715100E-02 -4.223065100E-02 -4.155759600E-02 -4.059417100E-02 -3.923079500E-02 -3.733295000E-02 -3.475230800E-02 -3.135694900E-02 -2.708780600E-02 -2.203612700E-02 -1.650678800E-02 -1.100129200E-02 -6.074785000E-03 -2.126717000E-03 7.199010000E-04 2.576420000E-03 3.602087000E-03
305 -9.793293100E-02 -9.751468200E-02 -9.690529700E-02 -9.602046500E-02 -9.474211300E-02 -9.290869800E-02 -9.030710200E-02 -8.667189500E-02 -8.170373500E-02 -7.512427300E-02 -6.678592800E-02 -5.683268300E-02 -4.584766700E-02 -3.484447500E-02 -2.497826700E-02 -1.707808500E-02 -1.135257700E-02 -7.501378000E-03 -5.060954000E-03
310 -1.697527320E-01 -1.697764670E-01 -1.698110740E-01 -1.698613840E-01 -1.699342000E-01 -1.700388780E-01 -1.701879640E-01 -1.703973100E-01 -1.626510130E-01 -1.515648280E-01 -1.372406390E-01 -1.197405270E-01 -9.992828500E-02 -7.959053800E-02 -6.099110300E-02 -4.590827000E-02 -3.487769700E-02 -2.731848700E-02 -2.225577300E-02
315 -1.467856170E-01 -1.468558500E-01 -1.469584380E-01 -1.471079540E-01 -1.473251900E-01 -1.476392940E-01 -1.480903630E-01 -1.487316570E-01 -1.496303400E-01 -1.508639440E-01 -1.525083340E-01 -1.546118800E-01 -1.571535030E-01 -1.517535000E-01 -1.209303850E-01 -9.502126300E-02 -7.564050000E-02 -6.212005000E-02 -5.277568800E-02
320 -9.139861200E-02 -9.155900500E-02 -9.179347500E-02 -9.213563600E-02 -9.263357800E-02 -9.335534800E-02 -9.439552600E-02 -9.588205500E-02 -9.798083400E-02 -1.008928530E-01 -1.048343580E-01 -1.099868230E-01 -1.164059410E-01 -1.238987550E-01 -1.319230100E-01 -1.396139730E-01 -1.355071200E-01 -1.146811580E-01 -9.983270100E-02
325 9.722557000E-03 9.682213000E-03 9.623361000E-03 9.537764000E-03 9.413788000E-03 9.235337000E-03 8.980778000E-03 6.602477000E-03 2.764774000E-03 -2.616991000E-03 -1.001049600E-02 -1.987423200E-02 -3.250060400E-02 -4.776401500E-02 -6.484682100E-02 -8.213501700E-02 -9.758792000E-02 -1.095243620E-01 -1.173087850E-01
330 1.821638100E-02 1.815880900E-02 1.807477000E-02 1.795241000E-02 1.777492500E-02 1.751888800E-02 1.715248500E-02 1.663421800E-02 1.591342600E-02 1.493508500E-02 1.365265300E-02 1.205266900E-02 1.019006100E-02 8.219672000E-03 6.389997000E-03 4.963256000E-03 -8.329187000E-03 -3.177821500E-02 -4.857086000E-02
335 2.912596500E-02 2.904996400E-02 2.893895200E-02 2.877715800E-02 2.854213400E-02 2.820237500E-02 2.771464700E-02 2.702162800E-02 2.605138600E-02 2.472169200E-02 2.295416700E-02 2.070428100E-02 1.800953200E-02 1.504434800E-02 1.214248400E-02 9.726512000E-03 8.120611000E-03 7.354116000E-03 7.160368000E-03
340 4.240791500E-02 4.231492600E-02 4.217902000E-02 4.198077700E-02 4.169244600E-02 4.127485700E-02 4.067378000E-02 3.981630500E-02 3.860877100E-02 3.693953900E-02 3.469228000E-02 3.177765800E-02 2.818922400E-02 2.407898900E-02 1.981805500E-02 1.597457700E-02 1.313268000E-02 1.157860100E-02 1.110062800E-02
