T d154 d184 d214 d244
d 150 180 210 240
290 2.883698900E-02 2.662757400E-02 2.501416600E-02 2.376676000E-02
295 2.607083300E-02 2.397031200E-02 2.249452400E-02 2.141609500E-02
300 2.353078500E-02 2.165057600E-02 2.037280800E-02 1.937841700E-02
305 2.140817200E-02 1.976585800E-02 1.869719900E-02 1.789648000E-02
310 1.985398600E-02 1.852548400E-02 1.767659600E-02 1.709552900E-02
315 1.898840500E-02 1.800257300E-02 1.741097600E-02 1.704487200E-02
320 1.889434400E-02 1.826618200E-02 1.792854500E-02 1.780147500E-02
325 1.962126000E-02 1.936631100E-02 1.931874100E-02 1.942552400E-02
330 2.120013400E-02 2.132011600E-02 2.155071800E-02 2.188961700E-02
335 2.364512600E-02 2.414279200E-02 2.464407400E-02 2.520891800E-02
340 2.693464600E-02 2.777078100E-02 2.852634600E-02 2.927305800E-02
