N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.778e+15 340 1.007856322E+00 1.008731636E+00
1.468000E+10 1.778e+15 340 1.008119458E+00 1.008709887E+00
2.154000E+10 1.778e+15 340 1.008346967E+00 1.008110888E+00
3.162000E+10 1.778e+15 340 1.008484710E+00 1.008701057E+00
4.642000E+10 1.778e+15 340 1.008657830E+00 1.008904565E+00
6.813000E+10 1.778e+15 340 1.008756026E+00 1.008906985E+00
1.000000E+11 1.778e+15 340 1.007752203E+00 1.009018794E+00
1.468000E+11 1.778e+15 340 1.009122778E+00 1.009261559E+00
2.154000E+11 1.778e+15 340 1.009161986E+00 1.009211593E+00
3.162000E+11 1.778e+15 340 1.009371868E+00 1.009333438E+00
4.642000E+11 1.778e+15 340 1.009500663E+00 1.009619810E+00
6.813000E+11 1.778e+15 340 1.009739779E+00 1.009753849E+00
1.000000E+12 1.778e+15 340 1.011238263E+00 1.011253801E+00
1.468000E+12 1.778e+15 340 1.015914967E+00 1.015756202E+00
2.154000E+12 1.778e+15 340 1.030759694E+00 1.033839320E+00
3.162000E+12 1.778e+15 340 1.041625208E+00 1.041673316E+00
4.642000E+12 1.778e+15 340 1.049837863E+00 1.049883201E+00
6.813000E+12 1.778e+15 340 1.056613652E+00 1.056655191E+00
1.000000E+13 1.778e+15 340 1.061662777E+00 1.061684034E+00
