N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.778e+15 295 1.134831466E+00 1.136243095E+00
1.468000E+10 1.778e+15 295 1.135286781E+00 1.136251959E+00
2.154000E+10 1.778e+15 295 1.135605551E+00 1.136264802E+00
3.162000E+10 1.778e+15 295 1.135833668E+00 1.136283687E+00
4.642000E+10 1.778e+15 295 1.136003417E+00 1.136310484E+00
6.813000E+10 1.778e+15 295 1.136140946E+00 1.136350444E+00
1.000000E+11 1.778e+15 295 1.136264299E+00 1.136407246E+00
1.468000E+11 1.778e+15 295 1.136391461E+00 1.136489025E+00
2.154000E+11 1.778e+15 295 1.136538004E+00 1.136604592E+00
3.162000E+11 1.778e+15 295 1.136720334E+00 1.136765850E+00
4.642000E+11 1.778e+15 295 1.136954312E+00 1.136985429E+00
6.813000E+11 1.778e+15 295 1.137254922E+00 1.137276240E+00
1.000000E+12 1.778e+15 295 1.137631412E+00 1.137646018E+00
1.468000E+12 1.778e+15 295 1.138083543E+00 1.138093589E+00
2.154000E+12 1.778e+15 295 1.138538561E+00 1.138545464E+00
3.162000E+12 1.778e+15 295 1.139024668E+00 1.139029447E+00
4.642000E+12 1.778e+15 295 1.139412965E+00 1.139416233E+00
6.813000E+12 1.778e+15 295 1.139788365E+00 1.139790629E+00
1.000000E+13 1.778e+15 295 1.145612253E+00 1.145657370E+00
