N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.778e+15 325 1.020744767E+00 1.022042904E+00
1.468000E+10 1.778e+15 325 1.021660603E+00 1.022557956E+00
2.154000E+10 1.778e+15 325 1.022666568E+00 1.023302882E+00
3.162000E+10 1.778e+15 325 1.023915664E+00 1.024362530E+00
4.642000E+10 1.778e+15 325 1.025576663E+00 1.025893749E+00
6.813000E+10 1.778e+15 325 1.027862336E+00 1.028090680E+00
1.000000E+11 1.778e+15 325 1.032364426E+00 1.032531004E+00
1.468000E+11 1.778e+15 325 1.036647356E+00 1.036772511E+00
2.154000E+11 1.778e+15 325 1.042472786E+00 1.042569465E+00
3.162000E+11 1.778e+15 325 1.050168760E+00 1.050245892E+00
4.642000E+11 1.778e+15 325 1.059909397E+00 1.059972670E+00
6.813000E+11 1.778e+15 325 1.071535682E+00 1.071588855E+00
1.000000E+12 1.778e+15 325 1.082578873E+00 1.082623900E+00
1.468000E+12 1.778e+15 325 1.092391941E+00 1.092418554E+00
2.154000E+12 1.778e+15 325 1.096209839E+00 1.096218370E+00
3.162000E+12 1.778e+15 325 1.098323091E+00 1.098336362E+00
4.642000E+12 1.778e+15 325 1.106695865E+00 1.106721177E+00
6.813000E+12 1.778e+15 325 1.111898889E+00 1.111919705E+00
1.000000E+13 1.778e+15 325 1.118829025E+00 1.118840017E+00
