N_Fe N_B T n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 290 1.158238888E+00 1.200510170E+00 1.127818286E+00 1.136445664E+00
1.468000E+10 1.000e+17 290 1.165510568E+00 1.200513313E+00 1.130851482E+00 1.136867400E+00
2.154000E+10 1.000e+17 290 1.173569633E+00 1.200517431E+00 1.133271745E+00 1.137442987E+00
3.162000E+10 1.000e+17 290 1.175492530E+00 1.200523107E+00 1.135324147E+00 1.138205976E+00
4.642000E+10 1.000e+17 290 1.186679695E+00 1.200531131E+00 1.137192942E+00 1.139179747E+00
6.813000E+10 1.000e+17 290 1.187698577E+00 1.200542576E+00 1.138996938E+00 1.140365062E+00
1.000000E+11 1.000e+17 290 1.188407018E+00 1.200558916E+00 1.140996390E+00 1.141937133E+00
1.468000E+11 1.000e+17 290 1.188903621E+00 1.200582065E+00 1.143427835E+00 1.144058255E+00
2.154000E+11 1.000e+17 290 1.199457641E+00 1.200614473E+00 1.144590976E+00 1.145025124E+00
3.162000E+11 1.000e+17 290 1.200140660E+00 1.200658986E+00 1.146224877E+00 1.146522924E+00
4.642000E+11 1.000e+17 290 1.200367028E+00 1.200718539E+00 1.147551257E+00 1.148656299E+00
6.813000E+11 1.000e+17 290 1.200557542E+00 1.201413439E+00 1.155603660E+00 1.156789717E+00
1.000000E+12 1.000e+17 290 1.200729749E+00 1.212006417E+00 1.160320348E+00 1.160427004E+00
1.468000E+12 1.000e+17 290 1.212009473E+00 1.216130811E+00 1.161197519E+00 1.161270558E+00
2.154000E+12 1.000e+17 290 1.220551456E+00 1.224842740E+00 1.161862311E+00 1.161912244E+00
3.162000E+12 1.000e+17 290 1.224995511E+00 1.225056135E+00 1.162513106E+00 1.162502628E+00
4.642000E+12 1.000e+17 290 1.225180290E+00 1.225220686E+00 1.16548E+00 1.16548E+00
6.813000E+12 1.000e+17 290 1.237373260E+00 1.237403452E+00 1.172642427E+00 1.172649454E+00
1.000000E+13 1.000e+17 290 1.237513468E+00 1.237533822E+00 1.174324080E+00 1.174454839E+00
1.000000E+10 1.000e+17 295 1.163557279E+00 1.209611822E+00 1.130088626E+00 1.141064027E+00
1.468000E+10 1.000e+17 295 1.168082094E+00 1.209615867E+00 1.133827488E+00 1.141522470E+00
2.154000E+10 1.000e+17 295 1.175249997E+00 1.209621485E+00 1.136794530E+00 1.142152824E+00
3.162000E+10 1.000e+17 295 1.180940593E+00 1.209629482E+00 1.139281608E+00 1.142996697E+00
4.642000E+10 1.000e+17 295 1.184874670E+00 1.209640955E+00 1.141518958E+00 1.144088486E+00
6.813000E+10 1.000e+17 295 1.193147239E+00 1.209657449E+00 1.143664888E+00 1.145439815E+00
1.000000E+11 1.000e+17 295 1.197001336E+00 1.209681050E+00 1.145799779E+00 1.147025110E+00
1.468000E+11 1.000e+17 295 1.197662823E+00 1.209714532E+00 1.148767887E+00 1.149611684E+00
2.154000E+11 1.000e+17 295 1.198137671E+00 1.209761365E+00 1.150678032E+00 1.151263575E+00
3.162000E+11 1.000e+17 295 1.198491544E+00 1.209825601E+00 1.152277394E+00 1.152681168E+00
4.642000E+11 1.000e+17 295 1.202130597E+00 1.209911357E+00 1.154169881E+00 1.154447525E+00
6.813000E+11 1.000e+17 295 1.209705805E+00 1.210021787E+00 1.155881834E+00 1.156074749E+00
1.000000E+12 1.000e+17 295 1.209944186E+00 1.210157642E+00 1.158555622E+00 1.159556032E+00
1.468000E+12 1.000e+17 295 1.210171910E+00 1.210315852E+00 1.168298994E+00 1.168722756E+00
2.154000E+12 1.000e+17 295 1.210399426E+00 1.210496765E+00 1.169660999E+00 1.169729196E+00
3.162000E+12 1.000e+17 295 1.219693258E+00 1.221897774E+00 1.170453636E+00 1.170473548E+00
4.642000E+12 1.000e+17 295 1.233097121E+00 1.234817623E+00 1.170548319E+00 1.170470414E+00
6.813000E+12 1.000e+17 295 1.234969852E+00 1.235006473E+00 1.172835E+00 1.172835E+00
1.000000E+13 1.000e+17 295 1.235153582E+00 1.235629262E+00 1.177345973E+00 1.177983137E+00
1.000000E+10 1.000e+17 300 1.168025405E+00 1.207913109E+00 1.131527829E+00 1.145269400E+00
1.468000E+10 1.000e+17 300 1.173785836E+00 1.207918144E+00 1.136066300E+00 1.145760011E+00
2.154000E+10 1.000e+17 300 1.177955049E+00 1.207925319E+00 1.139657936E+00 1.146440359E+00
3.162000E+10 1.000e+17 300 1.184725048E+00 1.207935651E+00 1.142638707E+00 1.147359602E+00
4.642000E+10 1.000e+17 300 1.187155711E+00 1.207950566E+00 1.145287919E+00 1.148564177E+00
6.813000E+10 1.000e+17 300 1.194240561E+00 1.207972039E+00 1.147807055E+00 1.150077662E+00
1.000000E+11 1.000e+17 300 1.195369940E+00 1.208002789E+00 1.150314184E+00 1.151887025E+00
1.468000E+11 1.000e+17 300 1.206265217E+00 1.208046405E+00 1.153479827E+00 1.154818895E+00
2.154000E+11 1.000e+17 300 1.206894041E+00 1.208107337E+00 1.156660248E+00 1.157416952E+00
3.162000E+11 1.000e+17 300 1.207366049E+00 1.208190780E+00 1.158407697E+00 1.158931273E+00
4.642000E+11 1.000e+17 300 1.207742487E+00 1.208301942E+00 1.160317876E+00 1.160679859E+00
6.813000E+11 1.000e+17 300 1.208065842E+00 1.208444553E+00 1.162430778E+00 1.162680289E+00
1.000000E+12 1.000e+17 300 1.208363561E+00 1.216208001E+00 1.164148754E+00 1.164320448E+00
1.468000E+12 1.000e+17 300 1.217972589E+00 1.219591982E+00 1.165547184E+00 1.165665131E+00
2.154000E+12 1.000e+17 300 1.219714083E+00 1.219840795E+00 1.1682718E+00 1.1682718E+00
3.162000E+12 1.000e+17 300 1.220064202E+00 1.220149982E+00 1.17262774E+00 1.17262774E+00
4.642000E+12 1.000e+17 300 1.220389952E+00 1.220447891E+00 1.1743964E+00 1.1743964E+00
6.813000E+12 1.000e+17 300 1.232005687E+00 1.235478865E+00 1.17570185E+00 1.17570185E+00
1.000000E+13 1.000e+17 300 1.244848432E+00 1.244880720E+00 1.177845415E+00 1.177870299E+00
1.000000E+10 1.000e+17 305 1.171513262E+00 1.216783220E+00 1.132097165E+00 1.149034689E+00
1.468000E+10 1.000e+17 305 1.178720905E+00 1.216790168E+00 1.137524235E+00 1.149528054E+00
2.154000E+10 1.000e+17 305 1.184008539E+00 1.216800216E+00 1.141816695E+00 1.149898405E+00
3.162000E+10 1.000e+17 305 1.187807994E+00 1.216814772E+00 1.145351944E+00 1.150431400E+00
4.642000E+10 1.000e+17 305 1.191843682E+00 1.216835834E+00 1.148455745E+00 1.151192135E+00
6.813000E+10 1.000e+17 305 1.196660347E+00 1.216866225E+00 1.150494794E+00 1.152265442E+00
1.000000E+11 1.000e+17 305 1.199575313E+00 1.216909714E+00 1.152288432E+00 1.153756713E+00
1.468000E+11 1.000e+17 305 1.204601340E+00 1.216971331E+00 1.154557917E+00 1.155816084E+00
2.154000E+11 1.000e+17 305 1.205555167E+00 1.217057402E+00 1.157496098E+00 1.158614437E+00
3.162000E+11 1.000e+17 305 1.216100163E+00 1.217174983E+00 1.161203907E+00 1.162224719E+00
4.642000E+11 1.000e+17 305 1.216601899E+00 1.217331276E+00 1.165748656E+00 1.166699400E+00
6.813000E+11 1.000e+17 305 1.217037443E+00 1.217531320E+00 1.168869335E+00 1.169190019E+00
1.000000E+12 1.000e+17 305 1.217441906E+00 1.217775620E+00 1.171012042E+00 1.171234661E+00
1.468000E+12 1.000e+17 305 1.217832471E+00 1.218057575E+00 1.172771974E+00 1.172925266E+00
2.154000E+12 1.000e+17 305 1.218214411E+00 1.218365355E+00 1.174230481E+00 1.174334166E+00
3.162000E+12 1.000e+17 305 1.228105788E+00 1.229564660E+00 1.175574155E+00 1.176266782E+00
4.642000E+12 1.000e+17 305 1.229870897E+00 1.229946321E+00 1.1835233E+00 1.1835233E+00
6.813000E+12 1.000e+17 305 1.230204407E+00 1.230255224E+00 1.185257622E+00 1.185212125E+00
1.000000E+13 1.000e+17 305 1.231931500E+00 1.234796277E+00 1.186674784E+00 1.186688299E+00
1.000000E+10 1.000e+17 310 1.173935869E+00 1.215336774E+00 1.131820900E+00 1.151941664E+00
1.468000E+10 1.000e+17 310 1.182793921E+00 1.215345664E+00 1.138209342E+00 1.152150573E+00
2.154000E+10 1.000e+17 310 1.189393792E+00 1.215358487E+00 1.143275159E+00 1.152453480E+00
3.162000E+10 1.000e+17 310 1.194191057E+00 1.215377154E+00 1.147422675E+00 1.152890366E+00
4.642000E+10 1.000e+17 310 1.197619687E+00 1.215404197E+00 1.151023848E+00 1.153515725E+00
6.813000E+10 1.000e+17 310 1.200046593E+00 1.215443092E+00 1.152742325E+00 1.154401585E+00
1.000000E+11 1.000e+17 310 1.206124168E+00 1.215596531E+00 1.154273200E+00 1.155639026E+00
1.468000E+11 1.000e+17 310 1.207389810E+00 1.217089256E+00 1.156180795E+00 1.157595159E+00
2.154000E+11 1.000e+17 310 1.208313040E+00 1.219245339E+00 1.160958816E+00 1.162127462E+00
3.162000E+11 1.000e+17 310 1.214565679E+00 1.222337547E+00 1.164678882E+00 1.165493556E+00
4.642000E+11 1.000e+17 310 1.215173777E+00 1.226269417E+00 1.167281309E+00 1.167848969E+00
6.813000E+11 1.000e+17 310 1.219635184E+00 1.226546579E+00 1.170645244E+00 1.171462391E+00
1.000000E+12 1.000e+17 310 1.226452745E+00 1.226883815E+00 1.175990739E+00 1.176497121E+00
1.468000E+12 1.000e+17 310 1.226980677E+00 1.227271578E+00 1.179790321E+00 1.179987524E+00
2.154000E+12 1.000e+17 310 1.227509746E+00 1.227704678E+00 1.181605464E+00 1.181741538E+00
3.162000E+12 1.000e+17 310 1.228081783E+00 1.228213680E+00 1.182859431E+00 1.182954084E+00
4.642000E+12 1.000e+17 310 1.228538048E+00 1.228627326E+00 1.184334238E+00 1.184259361E+00
6.813000E+12 1.000e+17 310 1.239814016E+00 1.239879754E+00 1.185367014E+00 1.185273786E+00
1.000000E+13 1.000e+17 310 1.240199477E+00 1.240243654E+00 1.191856391E+00 1.191864587E+00
1.000000E+10 1.000e+17 315 1.175090805E+00 1.218392723E+00 1.130604363E+00 1.154860947E+00
1.468000E+10 1.000e+17 315 1.185776391E+00 1.218404209E+00 1.138000473E+00 1.155032427E+00
2.154000E+10 1.000e+17 315 1.193878545E+00 1.218420958E+00 1.143892551E+00 1.155281419E+00
3.162000E+10 1.000e+17 315 1.199845836E+00 1.218445165E+00 1.148700680E+00 1.155641152E+00
4.642000E+10 1.000e+17 315 1.204152835E+00 1.218480396E+00 1.152835042E+00 1.156157430E+00
6.813000E+10 1.000e+17 315 1.207224307E+00 1.218531212E+00 1.155329384E+00 1.156891321E+00
1.000000E+11 1.000e+17 315 1.209407559E+00 1.218603669E+00 1.156644568E+00 1.158706769E+00
1.468000E+11 1.000e+17 315 1.210972487E+00 1.218706520E+00 1.159439663E+00 1.161503366E+00
2.154000E+11 1.000e+17 315 1.216597761E+00 1.218849584E+00 1.164600848E+00 1.166046839E+00
3.162000E+11 1.000e+17 315 1.217511361E+00 1.220138398E+00 1.168881813E+00 1.169388046E+00
4.642000E+11 1.000e+17 315 1.218261023E+00 1.223046344E+00 1.170884195E+00 1.171357304E+00
6.813000E+11 1.000e+17 315 1.218924909E+00 1.225166924E+00 1.173410817E+00 1.173863194E+00
1.000000E+12 1.000e+17 315 1.225082722E+00 1.225589823E+00 1.176517311E+00 1.176955565E+00
1.468000E+12 1.000e+17 315 1.225731809E+00 1.232302470E+00 1.180974959E+00 1.181210541E+00
2.154000E+12 1.000e+17 315 1.236689543E+00 1.236937982E+00 1.184994587E+00 1.185421146E+00
3.162000E+12 1.000e+17 315 1.237413058E+00 1.237581464E+00 1.190496709E+00 1.190617527E+00
4.642000E+12 1.000e+17 315 1.238071249E+00 1.238185078E+00 1.191840611E+00 1.191848765E+00
6.813000E+12 1.000e+17 315 1.238578498E+00 1.238655620E+00 1.195210E+00 1.195210E+00
1.000000E+13 1.000e+17 315 1.244292148E+00 1.247699400E+00 1.19830432E+00 1.19830432E+00
1.000000E+10 1.000e+17 320 1.174922711E+00 1.226679164E+00 1.128586473E+00 1.157529763E+00
1.468000E+10 1.000e+17 320 1.187567231E+00 1.226739363E+00 1.137033299E+00 1.158108218E+00
2.154000E+10 1.000e+17 320 1.197342419E+00 1.226762122E+00 1.143815272E+00 1.158336615E+00
