N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.066636339E+00 1.026459221E+00 1.011782684E+00 1.007502702E+00 1.124701602E+00 1.226770754E+00 1.276514712E+00 1.307013375E+00 1.333782706E+00
1.016672606E+01 1.066357382E+00 1.026324877E+00 1.011739992E+00 1.007500237E+00 1.126183780E+00 1.227443482E+00 1.276869015E+00 1.307256795E+00 1.333977661E+00
1.033324570E+01 1.065952221E+00 1.026130764E+00 1.011678800E+00 1.007497163E+00 1.128315325E+00 1.228409282E+00 1.277378585E+00 1.307607806E+00 1.334259235E+00
1.049996187E+01 1.065366624E+00 1.025852331E+00 1.011592064E+00 1.007493785E+00 1.131352239E+00 1.229781938E+00 1.278104889E+00 1.308109933E+00 1.334662943E+00
1.066670514E+01 1.064526218E+00 1.025457180E+00 1.011471119E+00 1.007491148E+00 1.135620916E+00 1.231705257E+00 1.279126888E+00 1.308820209E+00 1.335235950E+00
1.083333839E+01 1.063332477E+00 1.024905006E+00 1.011306501E+00 1.007491915E+00 1.141505793E+00 1.234346526E+00 1.280539396E+00 1.309809355E+00 1.336037601E+00
1.100000000E+01 1.061661840E+00 1.024150565E+00 1.011090337E+00 1.007502011E+00 1.149399343E+00 1.237874318E+00 1.282444746E+00 1.311157856E+00 1.337137511E+00
1.116672606E+01 1.059373056E+00 1.023152708E+00 1.010821380E+00 1.007533358E+00 1.159591548E+00 1.242413650E+00 1.284933559E+00 1.312945446E+00 1.338608129E+00
1.133324570E+01 1.056331026E+00 1.021893173E+00 1.010513501E+00 1.007607818E+00 1.172093608E+00 1.247980080E+00 1.288055480E+00 1.315232497E+00 1.340510730E+00
1.149996187E+01 1.052457264E+00 1.020406580E+00 1.010206613E+00 1.025944534E+00 1.186448436E+00 1.254417852E+00 1.291787737E+00 1.318036539E+00 1.342876290E+00
1.166670514E+01 1.047811972E+00 1.018814151E+00 1.009974966E+00 1.059845179E+00 1.201672448E+00 1.261390957E+00 1.296020029E+00 1.321314060E+00 1.345688429E+00
1.183333839E+01 1.042692043E+00 1.017338355E+00 1.009923635E+00 1.093958197E+00 1.216488841E+00 1.268466998E+00 1.300572320E+00 1.324960203E+00 1.348879789E+00
1.200000000E+01 1.037688939E+00 1.016264343E+00 1.010166877E+00 1.124840425E+00 1.229812442E+00 1.275262148E+00 1.305242085E+00 1.328832711E+00 1.352348589E+00
1.216672606E+01 1.033609774E+00 1.015842325E+00 1.010795651E+00 1.150390878E+00 1.241148163E+00 1.281548949E+00 1.309855192E+00 1.332791161E+00 1.355989940E+00
1.233324570E+01 1.031193204E+00 1.016188204E+00 1.011856469E+00 1.170511298E+00 1.250591306E+00 1.287261180E+00 1.314297306E+00 1.336732905E+00 1.359726072E+00
1.249996187E+01 1.030733668E+00 1.017268736E+00 1.020926884E+00 1.186347980E+00 1.258521980E+00 1.292432569E+00 1.318520905E+00 1.340610388E+00 1.363521005E+00
1.266670514E+01 1.031973399E+00 1.018980081E+00 1.046417013E+00 1.199194639E+00 1.265321151E+00 1.297139269E+00 1.322535602E+00 1.344427321E+00 1.367377434E+00
1.283333839E+01 1.034440851E+00 1.021240262E+00 1.067711087E+00 1.209956788E+00 1.271267346E+00 1.301472001E+00 1.326389528E+00 1.348221545E+00 1.371322677E+00
1.300000000E+01 1.037821030E+00 1.024032775E+00 1.085893671E+00 1.219140142E+00 1.276555202E+00 1.305524726E+00 1.330149125E+00 1.352045648E+00 1.375393076E+00
