N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.121677507E+00 1.122505793E+00 1.123698458E+00 1.125400759E+00 1.127799847E+00 1.131119953E+00 1.135597773E+00 1.141424116E+00 1.148645148E+00 1.157044955E+00 1.166084789E+00 1.175003181E+00 1.183096529E+00 1.190010156E+00 1.195805424E+00 1.200780304E+00 1.205244361E+00 1.209410494E+00 1.213390631E+00
1.600000000E+01 1.244322046E+00 1.244408248E+00 1.244533621E+00 1.244715277E+00 1.244977016E+00 1.245351213E+00 1.245880444E+00 1.246618224E+00 1.247627770E+00 1.248977739E+00 1.250734618E+00 1.252952642E+00 1.255663514E+00 1.258869114E+00 1.262541005E+00 1.266629385E+00 1.271078933E+00 1.275842445E+00 1.280884076E+00
1.700000000E+01 1.308212824E+00 1.308377106E+00 1.308615897E+00 1.308961613E+00 1.309459186E+00 1.310169309E+00 1.311170892E+00 1.312561022E+00 1.314449782E+00 1.316947162E+00 1.320141507E+00 1.324073980E+00 1.328720069E+00 1.333990755E+00 1.339756656E+00 1.345882344E+00 1.352250955E+00 1.358769993E+00 1.365364918E+00
1.549996187E+01 1.216722058E+00 1.216855890E+00 1.217049221E+00 1.217326561E+00 1.217720459E+00 1.218272129E+00 1.219030168E+00 1.220045905E+00 1.221364653E+00 1.223014672E+00 1.224999742E+00 1.227302294E+00 1.229897116E+00 1.232764629E+00 1.235893055E+00 1.239272379E+00 1.242891392E+00 1.246740739E+00 1.250815034E+00
1.649996187E+01 1.272398289E+00 1.272512363E+00 1.272678347E+00 1.272919029E+00 1.273266222E+00 1.273763358E+00 1.274467873E+00 1.275452362E+00 1.276802860E+00 1.278612326E+00 1.280968033E+00 1.283933907E+00 1.287532652E+00 1.291736093E+00 1.296471593E+00 1.301644113E+00 1.307161857E+00 1.312950340E+00 1.318950830E+00
1.674996808E+01 1.288734416E+00 1.288873161E+00 1.289074949E+00 1.289367330E+00 1.289788657E+00 1.290391020E+00 1.291242764E+00 1.292429235E+00 1.294049549E+00 1.296207085E+00 1.298992445E+00 1.302461290E+00 1.306614883E+00 1.311394547E+00 1.316696984E+00 1.322404164E+00 1.328410100E+00 1.334630815E+00 1.340999300E+00
1.624993176E+01 1.258243980E+00 1.258339813E+00 1.258479284E+00 1.258681555E+00 1.258973417E+00 1.259391488E+00 1.259984327E+00 1.260813568E+00 1.261952877E+00 1.263483185E+00 1.265483230E+00 1.268016072E+00 1.271114593E+00 1.274771641E+00 1.278941081E+00 1.283552215E+00 1.288531040E+00 1.293815553E+00 1.299357457E+00
1.574996808E+01 1.231973076E+00 1.232064096E+00 1.232196156E+00 1.232386834E+00 1.232660200E+00 1.233048283E+00 1.233591870E+00 1.234339935E+00 1.235346785E+00 1.236666645E+00 1.238346772E+00 1.240421411E+00 1.242908059E+00 1.245904721E+00 1.249194395E+00 1.252843054E+00 1.256813883E+00 1.261076077E+00 1.265607861E+00
1.524993176E+01 1.189951162E+00 1.190250180E+00 1.190680647E+00 1.191294939E+00 1.192160671E+00 1.193359278E+00 1.194978304E+00 1.197093298E+00 1.199738288E+00 1.202872951E+00 1.206368802E+00 1.210040363E+00 1.213718894E+00 1.217287469E+00 1.220821346E+00 1.224345677E+00 1.227919013E+00 1.231581846E+00 1.235358443E+00
