Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
1.000000E+10 1.312146009E+00 1.042323723E+00 2.698222860E-01 1.258805170E+00 1.024962140E+00 2.338430300E-01 5.334083900E-02 1.736158300E-02
1.468000E+10 1.312268745E+00 1.043409220E+00 2.688595250E-01 1.269156872E+00 1.029334641E+00 2.398222310E-01 4.311187300E-02 1.407457900E-02
2.154000E+10 1.312447499E+00 1.044923569E+00 2.675239300E-01 1.277375509E+00 1.033789889E+00 2.435856200E-01 3.507199000E-02 1.113368000E-02
3.162000E+10 1.312707012E+00 1.046993457E+00 2.657135550E-01 1.284109728E+00 1.038345341E+00 2.457643870E-01 2.859728400E-02 8.648116000E-03
4.642000E+10 1.313082012E+00 1.049745633E+00 2.633363790E-01 1.289853139E+00 1.043107350E+00 2.467457890E-01 2.322887300E-02 6.638283000E-03
6.813000E+10 1.313620198E+00 1.053278484E+00 2.603417140E-01 1.294935338E+00 1.048217583E+00 2.467177550E-01 1.868486000E-02 5.060901000E-03
1.000000E+11 1.314385225E+00 1.057622745E+00 2.567624800E-01 1.299558538E+00 1.053779668E+00 2.457788700E-01 1.482668700E-02 3.843077000E-03
1.468000E+11 1.315458420E+00 1.062710978E+00 2.527474420E-01 1.303859446E+00 1.059802357E+00 2.440570890E-01 1.159897400E-02 2.908621000E-03
2.154000E+11 1.316937411E+00 1.068373805E+00 2.485636060E-01 1.307968195E+00 1.066181717E+00 2.417864780E-01 8.969216000E-03 2.192088000E-03
3.162000E+11 1.318929034E+00 1.074376994E+00 2.445520400E-01 1.312039231E+00 1.072734052E+00 2.393051790E-01 6.889803000E-03 1.642942000E-03
4.642000E+11 1.321534471E+00 1.080478189E+00 2.410562820E-01 1.316246047E+00 1.079255043E+00 2.369910040E-01 5.288424000E-03 1.223146000E-03
6.813000E+11 1.324827287E+00 1.086472723E+00 2.383545640E-01 1.320749878E+00 1.085568882E+00 2.351809960E-01 4.077409000E-03 9.038410000E-04
1.000000E+12 1.328830505E+00 1.092209423E+00 2.366210820E-01 1.325662002E+00 1.091546938E+00 2.341150640E-01 3.168503000E-03 6.624850000E-04
1.468000E+12 1.333503995E+00 1.097585206E+00 2.359187890E-01 1.331019670E+00 1.097103641E+00 2.339160290E-01 2.484325000E-03 4.815650000E-04
2.154000E+12 1.338752296E+00 1.102512627E+00 2.362396690E-01 1.336788610E+00 1.102080803E+00 2.347078070E-01 1.963686000E-03 4.318240000E-04
3.162000E+12 1.344451764E+00 1.107155745E+00 2.372960190E-01 1.342890055E+00 1.106609111E+00 2.362809440E-01 1.561709000E-03 5.466340000E-04
4.642000E+12 1.350481638E+00 1.111608300E+00 2.388733380E-01 1.349234767E+00 1.111484979E+00 2.377497880E-01 1.246871000E-03 1.233210000E-04
6.813000E+12 1.356741693E+00 1.115284935E+00 2.414567580E-01 1.355744370E+00 1.115218433E+00 2.405259370E-01 9.973230000E-04 6.650200000E-05
1.000000E+13 1.363152568E+00 1.119627298E+00 2.435252700E-01 1.362354807E+00 1.119534751E+00 2.428200560E-01 7.977610000E-04 9.254700000E-05
