N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.153529260E+00 1.153986367E+00 1.154477682E+00 1.155072952E+00 1.155853128E+00 1.156917949E+00 1.158391825E+00 1.160425119E+00 1.163184927E+00 1.166826986E+00 1.171441276E+00 1.176976445E+00 1.183177755E+00 1.189603886E+00 1.195767692E+00 1.201340382E+00 1.206263364E+00 1.210681718E+00 1.214787132E+00
1.600000000E+01 1.241317443E+00 1.244274590E+00 1.246647005E+00 1.248521723E+00 1.249990654E+00 1.251152607E+00 1.252108787E+00 1.252959023E+00 1.253801340E+00 1.254734169E+00 1.255858954E+00 1.257280675E+00 1.259103859E+00 1.261422713E+00 1.264306032E+00 1.267780916E+00 1.271823486E+00 1.276364719E+00 1.281311950E+00
1.700000000E+01 1.264284990E+00 1.272378978E+00 1.279221803E+00 1.285318099E+00 1.290983313E+00 1.296355991E+00 1.301450518E+00 1.306236983E+00 1.310718707E+00 1.314977066E+00 1.319172184E+00 1.323508467E+00 1.328182751E+00 1.333332546E+00 1.339001270E+00 1.345134960E+00 1.351613045E+00 1.358296028E+00 1.365062894E+00
1.549996187E+01 1.222242122E+00 1.223526265E+00 1.224486592E+00 1.225217111E+00 1.225798862E+00 1.226302323E+00 1.226791062E+00 1.227325645E+00 1.227966886E+00 1.228777144E+00 1.229818733E+00 1.231149345E+00 1.232816548E+00 1.234854803E+00 1.237286854E+00 1.240125270E+00 1.243368743E+00 1.246995486E+00 1.250963516E+00
1.649996187E+01 1.253857911E+00 1.259031178E+00 1.263523665E+00 1.267453218E+00 1.270860406E+00 1.273771482E+00 1.276241745E+00 1.278370440E+00 1.280295012E+00 1.282177778E+00 1.284192976E+00 1.286514600E+00 1.289301443E+00 1.292676659E+00 1.296704675E+00 1.301375397E+00 1.306608120E+00 1.312278867E+00 1.318258218E+00
1.674996808E+01 1.259520710E+00 1.265985865E+00 1.271599214E+00 1.276638991E+00 1.281225743E+00 1.285380380E+00 1.289098215E+00 1.292410180E+00 1.295411772E+00 1.298260323E+00 1.301153339E+00 1.304299412E+00 1.307886381E+00 1.312048607E+00 1.316839708E+00 1.322222979E+00 1.328089301E+00 1.334297335E+00 1.340714337E+00
1.624993176E+01 1.247633190E+00 1.251662219E+00 1.255054613E+00 1.257879286E+00 1.260194430E+00 1.262075997E+00 1.263623722E+00 1.264954884E+00 1.266196374E+00 1.267480094E+00 1.268941108E+00 1.270715232E+00 1.272932124E+00 1.275701471E+00 1.279093715E+00 1.283122160E+00 1.287737643E+00 1.292843089E+00 1.298324358E+00
1.574996808E+01 1.233309044E+00 1.235325581E+00 1.236870520E+00 1.238046587E+00 1.238950659E+00 1.239672061E+00 1.240292190E+00 1.240886454E+00 1.241527776E+00 1.242290239E+00 1.243251435E+00 1.244492315E+00 1.246093684E+00 1.248129361E+00 1.250656415E+00 1.253703913E+00 1.257263911E+00 1.261291318E+00 1.265716684E+00
1.524993176E+01 1.202327674E+00 1.203099506E+00 1.203705382E+00 1.204220614E+00 1.204712231E+00 1.205244300E+00 1.205882721E+00 1.206698312E+00 1.207766426E+00 1.209160580E+00 1.210938260E+00 1.213120880E+00 1.215678094E+00 1.218533082E+00 1.221597225E+00 1.224814532E+00 1.228178707E+00 1.231710490E+00 1.235423575E+00
