fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 rmsre
d73c0Vn1Nt 4.1771045E+13 2.8235352E-1 7.1483070E-3 7.8397566E+13 2.9529479E-1 1.4248325E-2 3.4398916E+13 3.2009601E-1 3.8558926E-2 2.5091779E-1
d73b0Vn1Nt 3.3566401E+13 2.8230910E-1 6.8385763E-3 8.0714373E+13 2.9493106E-1 1.3103790E-2 5.8831944E+13 3.1292172E-1 2.4137079E-2 4.7865958E-1
d53a0Vn1Nt 9.5728626E+13 3.0291787E-1 2.4041731E-2 3.3797115E+14 3.6557163E-1 2.4340658E-2 7.7949022E+12 4.1111425E-1 6.9329124E-3 1.3754813E-1
d51d0Vn1Nt 3.0465520E+13 2.9023071E-1 1.3687250E-2 3.3179072E+14 3.3866053E-1 2.3053527E-2 8.3861347E+13 4.0732662E-1 3.0071782E-2 7.0210601E-2
d51c0Vn1Nt 3.1863945E+13 2.8986485E-1 1.3039570E-2 3.4484906E+14 3.3597226E-1 2.2832194E-2 3.2036803E+13 4.0264526E-1 2.6719942E-2 6.3758363E-2
d51b0Vn1Nt 3.8531523E+13 2.9291748E-1 1.5573259E-2 3.2627598E+14 3.4609698E-1 2.4797094E-2 6.1176137E+13 4.1431249E-1 2.1965923E-2 8.2326157E-2
d43s0Vn1Nt 3.1638264E+13 2.8998089E-1 1.2295226E-2 2.9979568E+14 3.3702545E-1 2.3177172E-2 3.6987235E+13 3.9004528E-1 3.6884671E-2 5.8828067E-2
d43b0Vn1Nt 2.3828280E+13 2.8741398E-1 9.9332323E-3 1.0415630E+14 3.1899602E-1 2.5910509E-2 4.6124463E+14 3.9262048E-1 2.6891767E-2 5.7197774E-2
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 rmsre
d82b0Vn1Nt 2.0108159E+13 2.8482873E-1 6.6646584E-3 4.9029147E+13 2.9807831E-1 1.2769431E-2 1.5324101E+14 3.2197116E-1 2.2243951E-2 5.8461422E+13 3.8070309E-1 4.1405540E-2 2.3154587E-2
d82a0Vn1Nt 1.9884866E+13 2.8314365E-1 5.6504408E-3 4.4127658E+13 2.9285585E-1 1.0108647E-2 6.9367563E+13 3.0694231E-1 1.8098346E-2 1.2309778E+14 4.5612041E-1 1.4790388E-1 5.5038235E-2
d73c0Vn1Nt 1.7328017E+13 2.7977574E-1 4.9114236E-3 4.0719514E+13 2.8737365E-1 8.5801307E-3 4.8947978E+13 2.9577108E-1 6.4205777E-2 6.1849174E+13 2.9885273E-1 1.5788716E-2 1.9880242E-1
d73b0Vn1Nt 2.3328599E+13 2.8092817E-1 5.8139455E-3 5.6257249E+13 2.9086526E-1 1.0472555E-2 7.5360774E+13 3.0511910E-1 1.8171081E-2 2.3914126E+13 3.3100097E-1 5.1415240E-2 2.0000831E-1
d73a0Vn1Nt 3.2416993E+13 2.8198118E-1 6.4356732E-3 8.9731749E+13 2.9424228E-1 1.2079569E-2 1.2144402E+14 3.1116101E-1 1.9444220E-2 4.8360412E+13 4.1437455E-1 7.5161321E-2 7.9839345E-2
d53c0Vn1Nt 1.2671563E+12 2.8021329E-1 2.7591302E-3 2.1720521E+13 2.8595543E-1 9.9587359E-3 9.3840047E+13 3.1526614E-1 2.4191777E-2 3.0382916E+14 3.8053229E-1 2.5032674E-2 4.5523694E-2
d53b0Vn1Nt 1.1265906E+13 2.8427859E-1 8.2455570E-3 5.3794534E+13 3.0717389E-1 1.9832257E-2 2.1062530E+14 3.6318917E-1 2.4536999E-2 4.5525371E+12 4.0507559E-1 9.0324785E-3 3.6775788E-2
d53a0Vn1Nt 9.3147696E+13 3.0231043E-1 2.3622920E-2 3.4059983E+14 3.6541779E-1 2.4572851E-2 3.3385406E+16 3.6957974E-1 2.6056586E-4 7.1225621E+12 4.1102461E-1 6.6235301E-3 1.3579585E-1
d51d0Vn1Nt 2.4982967E+13 2.8890485E-1 1.2570008E-2 3.5315666E+14 3.3944448E-1 2.4227318E-2 9.8344749E+12 3.8538817E-1 8.9316365E-3 4.1748301E+13 4.1140931E-1 1.4964561E-2 6.2002050E-2
d51c0Vn1Nt 3.1184205E+13 2.8976769E-1 1.2984612E-2 3.4955405E+14 3.3621860E-1 2.3049975E-2 2.2741611E+12 3.7588529E-1 6.6862426E-3 1.9499212E+13 4.0248957E-1 1.6127799E-2 6.3529473E-2
d51b0Vn1Nt 8.9986934E+13 2.8341658E-1 3.7045224E-4 4.3127212E+13 2.9476272E-1 1.6468906E-2 3.1019999E+14 3.4572799E-1 2.3868668E-2 9.7685739E+13 4.2061063E-1 3.1763249E-2 7.4177261E-2
d51a0Vn1Nt 5.0989484E+13 2.9457369E-1 1.6978955E-2 4.9291128E+16 3.1871882E-1 2.5760551E-4 5.0696355E+14 3.6428509E-1 3.0991305E-2 5.0050211E+13 4.1695369E-1 1.2218774E-2 9.6122424E-2
d43s0Vn1Nt 1.3728318E+13 2.8720870E-1 8.7453271E-3 3.1955008E+14 3.3638054E-1 2.7443233E-2 2.1599042E+13 3.4075983E-1 1.2056468E-2 8.0294984E+12 4.0948582E-1 1.2255984E-2 4.7498905E-2
d43b0Vn1Nt 3.7170816E+15 2.8182161E-1 3.0097469E-4 2.6750136E+13 2.8875154E-1 1.0986501E-2 1.1031005E+14 3.2310004E-1 2.7104571E-2 4.4084100E+14 3.9252745E-1 2.5722916E-2 4.8701102E-2
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 A5 X05 Sig5 rmsre
d82b0Vn1Nt 7.0039321E+12 2.8225227E-1 4.5032870E-3 2.4568270E+13 2.8918216E-1 8.5391341E-3 1.0079255E+14 3.0473755E-1 1.6411155E-2 9.6171193E+13 3.3214112E-1 1.9346978E-2 4.9442421E+13 3.8512506E-1 3.5299825E-2 1.6938840E-2
d82a0Vn1Nt 7.4061136E+12 2.8152715E-1 3.9419170E-3 2.4006892E+13 2.8761360E-1 7.2671875E-3 5.3374952E+13 2.9712755E-1 1.3450171E-2 5.6034476E+13 3.0871935E-1 2.1869479E-2 4.1542147E+15 1.0885017E+0 2.8515834E-1 2.4630142E-2
d73c0Vn1Nt 7.6080676E+14 4.9676877E-2 1.3833369E-1 3.9629171E+12 2.7765273E-1 2.6720330E-3 1.7911105E+13 2.8220180E-1 5.1512744E-3 3.4835622E+13 2.8926196E-1 8.8881018E-3 5.3756352E+13 2.9953202E-1 1.5959184E-2 1.8853244E-1
d73b0Vn1Nt 9.9639788E+12 2.7952584E-1 4.2710188E-3 3.0802886E+13 2.8604968E-1 7.8233630E-3 7.3113846E+13 2.9601162E-1 1.4287695E-2 5.6068961E+13 3.0997402E-1 2.4195357E-2 8.7558781E+15 1.0985289E+0 2.1920586E-1 5.9162316E-2
d73a0Vn1Nt 9.3150359E+12 2.7948035E-1 3.9810316E-3 2.9926448E+13 2.8582835E-1 7.3279760E-3 9.9131458E+13 2.9648933E-1 1.3950500E-2 1.0821246E+14 3.1199264E-1 2.1220948E-2 7.2632401E+15 1.0785707E+0 2.4495612E-1 5.8235813E-2
d53c0Vn1Nt 2.1253517E+13 2.8631062E-1 9.7118450E-3 1.0506641E+14 3.1688616E-1 2.6605573E-2 2.8132120E+14 3.8040022E-1 2.3926974E-2 4.4682118E+16 4.6915934E-1 1.3058403E-2 3.9495683E+15 6.6166332E-1 8.7948915E-2 5.9535010E-2
d53b0Vn1Nt 1.1402481E+13 2.8415588E-1 8.2271010E-3 5.2193676E+13 3.0686545E-1 1.9397911E-2 2.0551795E+14 3.6261796E-1 2.4434416E-2 3.1296012E+16 3.7227092E-1 2.5568774E-4 6.9771075E+15 7.2876723E-1 1.0588334E-1 3.5531774E-2
d53a0Vn1Nt 1.6137379E+13 2.8543584E-1 9.1648703E-3 8.3178819E+13 3.1233422E-1 2.1487256E-2 3.2592643E+14 3.6612986E-1 2.3455310E-2 1.1117560E+15 4.0939653E-1 1.3773007E-4 1.0939317E+13 4.1132770E-1 8.6641349E-3 4.4926888E-2
d51d0Vn1Nt 4.8920339E+13 2.8314583E-1 3.8113542E-4 2.7653285E+13 2.9012826E-1 1.3500196E-2 3.4483616E+14 3.3932440E-1 2.3712111E-2 1.2698891E+13 3.8886586E-1 1.1206818E-2 3.1349770E+16 6.2329795E-1 6.6738804E-2 5.9476442E-2
d51c0Vn1Nt 1.2560843E+16 2.8051170E-1 2.7806389E-4 3.2890018E+13 2.9086548E-1 1.3271848E-2 3.4010255E+14 3.3594573E-1 2.2567983E-2 6.1114925E+12 3.8268277E-1 2.1212986E-2 3.3758520E+13 4.1038170E-1 3.1870725E-2 4.8613770E-2
d51b0Vn1Nt 7.3274963E+13 2.8072764E-1 3.7983660E-4 3.7436483E+13 2.9357227E-1 1.5414940E-2 3.2850198E+14 3.4630571E-1 2.4914379E-2 1.7239518E+13 3.9768584E-1 1.3941003E-2 3.6025470E+14 4.6487920E-1 2.8472148E-2 6.2150022E-2
d51a0Vn1Nt 2.3141500E+13 2.9047867E-1 1.2539225E-2 4.3143693E+14 3.5982681E-1 3.7410256E-2 7.5408117E+13 3.6468423E-1 1.8191502E-2 1.2983015E+12 4.0941262E-1 4.7832545E-3 3.3696405E+16 7.0397304E-1 9.8159418E-2 8.4621756E-2
d43s0Vn1Nt 6.4515424E+12 2.8288541E-1 5.7077208E-3 2.6402758E+13 2.9534360E-1 1.1963491E-2 2.9056273E+14 3.3765809E-1 2.2518671E-2 4.9063774E+12 3.7844911E-1 1.1244989E-2 2.0298811E+15 8.4858289E-1 2.0438886E-1 1.7197972E-2
d43b0Vn1Nt 2.5270097E+13 2.8780810E-1 1.0336729E-2 1.1206524E+14 3.2188578E-1 2.7271318E-2 4.4194805E+14 3.9243947E-1 2.5789483E-2 2.8480264E+16 4.1145618E-1 6.7524985E-4 2.2455493E+16 8.3378319E-1 4.1327658E-2 6.1376479E-2
