N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.205548514E+00 1.204599779E+00 1.203823702E+00 1.203156150E+00
1.600000000E+01 1.241146832E+00 1.241245429E+00 1.241348200E+00 1.241020245E+00
1.700000000E+01 1.285689288E+00 1.285393468E+00 1.285522736E+00 1.285667441E+00
1.549996187E+01 1.220337996E+00 1.219991938E+00 1.219723908E+00 1.219365403E+00
1.649996187E+01 1.253895719E+00 1.253890345E+00 1.254015183E+00 1.254046697E+00
1.674996808E+01 1.266276827E+00 1.266038694E+00 1.266122938E+00 1.266169476E+00
1.624993176E+01 1.247656231E+00 1.247843166E+00 1.247919322E+00 1.247976259E+00
1.574996808E+01 1.230843800E+00 1.230773496E+00 1.230575109E+00 1.230349963E+00
1.524993176E+01 1.213379086E+00 1.212663289E+00 1.212108456E+00 1.211739608E+00
