X GeCrN200 GeCrN300 GeCrN400 OrCrN200 OrCrN300 OrCrN400 OrCrN500 OrCrN600 OrCrN700 OrCrN750 OsCrN200 OsCrN300 OsCrN400 OsCrN500 OsCrN600 OsCrN700
4.64000E+2 1.00301E-5 1.46415E-4 2.26551E-4 0.00000E+0 0.00000E+0 5.17420E-5 1.38608E-4 2.04115E-4 2.44756E-4 2.60902E-4 1.93882E-5 5.01325E-5 6.62540E-5 1.42925E-4 2.02089E-4 2.38995E-4
4.65000E+2 2.28727E-5 1.48005E-4 2.21530E-4 0.00000E+0 0.00000E+0 6.05156E-5 1.44312E-4 2.07503E-4 2.50905E-4 2.68147E-4 2.35983E-5 5.85651E-5 7.69008E-5 1.47900E-4 2.02688E-4 2.40181E-4
4.66000E+2 3.20794E-5 1.54327E-4 2.26157E-4 0.00000E+0 0.00000E+0 6.57357E-5 1.47825E-4 2.09729E-4 2.53478E-4 2.70858E-4 1.60319E-5 5.15776E-5 7.02170E-5 1.46764E-4 2.05833E-4 2.51941E-4
4.67000E+2 5.31395E-5 1.64354E-4 2.29701E-4 0.00000E+0 0.00000E+0 6.95187E-5 1.52213E-4 2.14573E-4 2.55793E-4 2.72168E-4 2.37912E-5 5.94715E-5 7.81814E-5 1.52494E-4 2.09839E-4 2.50847E-4
4.68000E+2 5.15489E-5 1.74221E-4 2.46299E-4 0.00000E+0 0.00000E+0 7.41694E-5 1.56528E-4 2.18635E-4 2.57491E-4 2.72928E-4 2.95160E-5 6.66940E-5 8.61892E-5 1.58803E-4 2.14837E-4 2.55822E-4
4.69000E+2 6.17664E-5 1.83993E-4 2.55810E-4 0.00000E+0 0.00000E+0 8.00822E-5 1.60729E-4 2.21546E-4 2.62074E-4 2.78175E-4 3.63481E-5 7.34334E-5 9.28800E-5 1.65654E-4 2.21812E-4 2.60784E-4
4.70000E+2 6.99344E-5 1.96137E-4 2.70290E-4 0.00000E+0 0.00000E+0 8.50697E-5 1.65478E-4 2.26116E-4 2.67475E-4 2.83906E-4 4.06348E-5 8.08728E-5 1.01973E-4 1.72052E-4 2.26131E-4 2.65948E-4
4.71000E+2 7.88291E-5 2.04295E-4 2.78015E-4 0.00000E+0 0.00000E+0 9.05496E-5 1.71701E-4 2.32898E-4 2.71982E-4 2.87509E-4 4.82455E-5 8.82469E-5 1.09223E-4 1.78759E-4 2.32418E-4 2.70676E-4
4.72000E+2 8.94638E-5 2.11874E-4 2.83800E-4 0.00000E+0 0.00000E+0 9.62018E-5 1.75936E-4 2.36065E-4 2.73481E-4 2.88345E-4 5.36440E-5 9.45882E-5 1.16058E-4 1.85116E-4 2.38405E-4 2.76195E-4
4.73000E+2 9.70753E-5 2.20153E-4 2.92470E-4 0.00000E+0 0.00000E+0 1.00174E-4 1.79022E-4 2.38483E-4 2.76158E-4 2.91125E-4 6.10262E-5 1.02005E-4 1.23493E-4 1.91289E-4 2.43605E-4 2.81350E-4
4.74000E+2 1.08304E-4 2.26418E-4 2.95819E-4 0.00000E+0 0.00000E+0 1.04082E-4 1.83386E-4 2.43189E-4 2.80178E-4 2.94872E-4 6.35797E-5 1.06238E-4 1.28607E-4 1.96243E-4 2.48436E-4 2.87190E-4
4.75000E+2 1.22994E-4 2.33866E-4 2.99011E-4 0.00000E+0 0.00000E+0 1.07803E-4 1.86492E-4 2.45831E-4 2.82590E-4 2.97193E-4 6.95520E-5 1.12481E-4 1.34992E-4 2.02554E-4 2.54691E-4 2.92390E-4
4.76000E+2 1.28691E-4 2.43734E-4 3.11330E-4 0.00000E+0 6.77974E-6 1.13812E-4 1.90836E-4 2.48920E-4 2.83512E-4 2.97255E-4 7.63426E-5 1.19092E-4 1.41509E-4 2.11185E-4 2.64952E-4 2.96766E-4
4.77000E+2 1.37196E-4 2.52190E-4 3.19757E-4 0.00000E+0 1.28329E-5 1.17869E-4 1.93454E-4 2.50453E-4 2.86496E-4 3.00815E-4 8.43741E-5 1.25740E-4 1.47431E-4 2.16640E-4 2.70047E-4 3.03915E-4
4.78000E+2 1.45926E-4 2.59157E-4 3.25688E-4 0.00000E+0 1.13376E-5 1.17917E-4 1.94613E-4 2.52450E-4 2.88864E-4 3.03330E-4 8.99543E-5 1.32037E-4 1.54103E-4 2.21939E-4 2.74286E-4 3.09524E-4
4.79000E+2 1.54275E-4 2.67770E-4 3.34457E-4 0.00000E+0 2.41332E-5 1.26166E-4 1.99588E-4 2.54956E-4 2.90083E-4 3.04038E-4 9.46599E-5 1.38982E-4 1.62224E-4 2.28123E-4 2.78975E-4 3.14747E-4
4.80000E+2 1.62958E-4 2.74223E-4 3.39600E-4 0.00000E+0 2.95457E-5 1.29795E-4 2.01932E-4 2.56331E-4 2.92284E-4 3.06567E-4 9.76722E-5 1.43146E-4 1.66991E-4 2.32789E-4 2.83563E-4 3.19785E-4
