T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 1.249157489E+00 1.254896424E+00 1.260208006E+00 1.265222984E+00 1.269960145E+00 1.274401710E+00 1.278564550E+00 1.282539381E+00 1.286488848E+00 1.290614089E+00 1.295106111E+00 1.300097647E+00 1.305630824E+00 1.311654437E+00 1.318053505E+00 1.324694781E+00 1.331462191E+00 1.338267889E+00 1.345045375E+00
295 1.251860567E+00 1.257974693E+00 1.263314996E+00 1.268124558E+00 1.272520513E+00 1.276559008E+00 1.280301687E+00 1.283857349E+00 1.287388029E+00 1.291085934E+00 1.295134882E+00 1.299669555E+00 1.304745738E+00 1.310334189E+00 1.316342974E+00 1.322656706E+00 1.329169935E+00 1.335799666E+00 1.342480635E+00
300 1.253992669E+00 1.260849006E+00 1.266528514E+00 1.271386277E+00 1.275641752E+00 1.279432267E+00 1.282873382E+00 1.286101028E+00 1.289283671E+00 1.292608318E+00 1.296251649E+00 1.300347498E+00 1.304961628E+00 1.310084623E+00 1.315648449E+00 1.321559071E+00 1.327726410E+00 1.334077047E+00 1.340551156E+00
305 1.255222591E+00 1.263198329E+00 1.269542023E+00 1.274718131E+00 1.279052077E+00 1.282769373E+00 1.286048284E+00 1.289060863E+00 1.291989492E+00 1.295020594E+00 1.298324595E+00 1.302031869E+00 1.306213640E+00 1.310876341E+00 1.315974434E+00 1.321436833E+00 1.327192394E+00 1.333181564E+00 1.339354189E+00
310 1.255172399E+00 1.264637079E+00 1.271975569E+00 1.277751737E+00 1.282397625E+00 1.286232731E+00 1.289506398E+00 1.292435928E+00 1.295225843E+00 1.298067694E+00 1.301127679E+00 1.304530772E+00 1.308348736E+00 1.312598333E+00 1.317252752E+00 1.322263046E+00 1.327578746E+00 1.333157324E+00 1.338961980E+00
315 1.253291509E+00 1.264584512E+00 1.273239293E+00 1.279897650E+00 1.285093551E+00 1.289244246E+00 1.292677914E+00 1.295666234E+00 1.298444518E+00 1.301215949E+00 1.304145519E+00 1.307351658E+00 1.310902074E+00 1.314817653E+00 1.319085043E+00 1.323674677E+00 1.328556668E+00 1.333707271E+00 1.339105817E+00
320 1.249886794E+00 1.263306476E+00 1.273585195E+00 1.281407471E+00 1.287396729E+00 1.292068473E+00 1.295836370E+00 1.299035652E+00 1.301941517E+00 1.304775972E+00 1.307706582E+00 1.310844875E+00 1.314250310E+00 1.317941496E+00 1.321912257E+00 1.326148126E+00 1.330638057E+00 1.335377361E+00 1.340363062E+00
325 1.244488323E+00 1.260236998E+00 1.272394747E+00 1.281636293E+00 1.288650200E+00 1.294044106E+00 1.298320654E+00 1.301886310E+00 1.305064652E+00 1.308103524E+00 1.311177012E+00 1.314389782E+00 1.317789431E+00 1.321386284E+00 1.325174956E+00 1.329151064E+00 1.333319525E+00 1.337693772E+00 1.342288917E+00
330 1.237151630E+00 1.255323340E+00 1.269552405E+00 1.280436778E+00 1.288693805E+00 1.295008818E+00 1.299972743E+00 1.304068762E+00 1.307676419E+00 1.311075642E+00 1.314450543E+00 1.317898904E+00 1.321453060E+00 1.325109537E+00 1.328857611E+00 1.332697807E+00 1.336647595E+00 1.340736716E+00 1.344997766E+00
335 1.227832554E+00 1.248372968E+00 1.264765801E+00 1.277457410E+00 1.287144465E+00 1.294566295E+00 1.300394846E+00 1.305192193E+00 1.309398529E+00 1.313330338E+00 1.317183376E+00 1.321047216E+00 1.324935202E+00 1.328824912E+00 1.332694854E+00 1.336545834E+00 1.340404544E+00 1.344315079E+00 1.348326442E+00
340 1.216485834E+00 1.239132677E+00 1.257619733E+00 1.272170711E+00 1.283404153E+00 1.292078751E+00 1.298932165E+00 1.304600731E+00 1.309585552E+00 1.314239416E+00 1.318767542E+00 1.323247045E+00 1.327667408E+00 1.331982446E+00 1.336155601E+00 1.340184361E+00 1.344102023E+00 1.347965287E+00 1.351838428E+00
