T nFsrh nFBsrh dnsrh nF nFB dn
290 1.180486816E+00 1.199637605E+0 -1.915078900E-02 1.180486816E+00 1.199637605E+0 -1.915078900E-02
295 1.182738168E+00 1.202376946E+0 -1.963877800E-02 1.182738168E+00 1.202376946E+0 -1.963877800E-02
300 1.186326840E+00 1.204867901E+0 -1.854106100E-02 1.186326840E+00 1.204867901E+0 -1.854106100E-02
305 1.188297913E+00 1.207042327E+0 -1.874441400E-02 1.188297913E+00 1.207042327E+0 -1.874441400E-02
310 1.191321088E+00 1.208819230E+0 -1.749814200E-02 1.191321088E+00 1.208819230E+0 -1.749814200E-02
315 1.197883888E+00 1.210104628E+0 -1.222074000E-02 1.197883888E+00 1.210104628E+0 -1.222074000E-02
320 1.203667404E+00 1.210792538E+0 -7.125134000E-03 1.203667404E+00 1.210792538E+0 -7.125134000E-03
325 1.208731773E+00 1.210767528E+0 -2.035755000E-03 1.208731773E+00 1.210767528E+0 -2.035755000E-03
330 1.212700154E+00 1.209909284E+0 2.790870000E-03 1.212700154E+00 1.209909284E+0 2.790870000E-03
335 1.215631050E+00 1.208099470E+0 7.531580000E-03 1.215631050E+00 1.208099470E+0 7.531580000E-03
340 1.217078852E+00 1.205230915E+0 1.184793700E-02 1.217078852E+00 1.205230915E+0 1.184793700E-02
