N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.198090245E+00 1.195414930E+00 1.192992252E+00 1.190809982E+00
1.600000000E+01 1.223205082E+00 1.221315790E+00 1.219994476E+00 1.218515536E+00
1.700000000E+01 1.254217737E+00 1.253720473E+00 1.253827112E+00 1.253571307E+00
1.549996187E+01 1.208942489E+00 1.206572404E+00 1.204573740E+00 1.202704720E+00
1.649996187E+01 1.228410830E+00 1.227310115E+00 1.226814196E+00 1.226490134E+00
1.674996808E+01 1.237407817E+00 1.236665397E+00 1.236507486E+00 1.236446873E+00
1.624993176E+01 1.225945496E+00 1.224479225E+00 1.223480020E+00 1.222841166E+00
1.574996808E+01 1.216386844E+00 1.214219276E+00 1.212379357E+00 1.210712889E+00
1.524993176E+01 1.204475076E+00 1.201872134E+00 1.199710287E+00 1.197832241E+00
