N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.197091227E+00 1.194211129E+00 1.191540140E+00 1.189068436E+00
1.600000000E+01 1.219854733E+00 1.217433893E+00 1.215452597E+00 1.213245172E+00
1.700000000E+01 1.240882587E+00 1.239215097E+00 1.238446461E+00 1.236258453E+00
1.549996187E+01 1.207189182E+00 1.204614229E+00 1.202320630E+00 1.200071328E+00
1.649996187E+01 1.221458536E+00 1.219106545E+00 1.217408038E+00 1.216042514E+00
1.674996808E+01 1.227396344E+00 1.225265509E+00 1.223895702E+00 1.222989957E+00
1.624993176E+01 1.221203499E+00 1.218863134E+00 1.216920036E+00 1.215314297E+00
1.574996808E+01 1.213966575E+00 1.211450774E+00 1.209195832E+00 1.207003521E+00
1.524993176E+01 1.203204023E+00 1.200447332E+00 1.198026967E+00 1.195873628E+00
