X GeCr200 GeCr300 GeCr400 OrCr200 OrCr300 OrCr400 OrCr500 OrCr600 OrCr700 OrCr750 OsCr200 OsCr300 OsCr400 OsCr500 OsCr600 OsCr700
4.64000E+2 1.50451E-3 3.29434E-2 6.79654E-2 0.00000E+0 0.00000E+0 1.65574E-2 5.54434E-2 9.79753E-2 1.37064E-1 1.56541E-1 3.10212E-3 1.20318E-2 2.12013E-2 5.71698E-2 9.70029E-2 1.33837E-1
4.65000E+2 3.43090E-3 3.33011E-2 6.64589E-2 0.00000E+0 0.00000E+0 1.93650E-2 5.77246E-2 9.96014E-2 1.40507E-1 1.60888E-1 3.77573E-3 1.40556E-2 2.46083E-2 5.91599E-2 9.72902E-2 1.34501E-1
4.66000E+2 4.81191E-3 3.47237E-2 6.78471E-2 0.00000E+0 0.00000E+0 2.10354E-2 5.91299E-2 1.00670E-1 1.41947E-1 1.62515E-1 2.56510E-3 1.23786E-2 2.24694E-2 5.87055E-2 9.87999E-2 1.41087E-1
4.67000E+2 7.97092E-3 3.69796E-2 6.89102E-2 0.00000E+0 0.00000E+0 2.22460E-2 6.08851E-2 1.02995E-1 1.43244E-1 1.63301E-1 3.80660E-3 1.42732E-2 2.50181E-2 6.09976E-2 1.00723E-1 1.40474E-1
4.68000E+2 7.73234E-3 3.91997E-2 7.38898E-2 0.00000E+0 0.00000E+0 2.37342E-2 6.26111E-2 1.04945E-1 1.44195E-1 1.63757E-1 4.72255E-3 1.60066E-2 2.75806E-2 6.35212E-2 1.03122E-1 1.43261E-1
4.69000E+2 9.26496E-3 4.13985E-2 7.67431E-2 0.00000E+0 0.00000E+0 2.56263E-2 6.42916E-2 1.06342E-1 1.46762E-1 1.66905E-1 5.81569E-3 1.76240E-2 2.97216E-2 6.62617E-2 1.06470E-1 1.46039E-1
4.70000E+2 1.04902E-2 4.41308E-2 8.10870E-2 0.00000E+0 0.00000E+0 2.72223E-2 6.61914E-2 1.08535E-1 1.49786E-1 1.70344E-1 6.50157E-3 1.94095E-2 3.26313E-2 6.88210E-2 1.08543E-1 1.48931E-1
4.71000E+2 1.18244E-2 4.59663E-2 8.34044E-2 0.00000E+0 0.00000E+0 2.89759E-2 6.86803E-2 1.11791E-1 1.52310E-1 1.72505E-1 7.71929E-3 2.11793E-2 3.49512E-2 7.15036E-2 1.11561E-1 1.51579E-1
4.72000E+2 1.34196E-2 4.76717E-2 8.51399E-2 0.00000E+0 0.00000E+0 3.07846E-2 7.03744E-2 1.13311E-1 1.53149E-1 1.73007E-1 8.58304E-3 2.27012E-2 3.71387E-2 7.40463E-2 1.14435E-1 1.54669E-1
4.73000E+2 1.45613E-2 4.95343E-2 8.77409E-2 0.00000E+0 0.00000E+0 3.20556E-2 7.16090E-2 1.14472E-1 1.54648E-1 1.74675E-1 9.76419E-3 2.44812E-2 3.95178E-2 7.65155E-2 1.16930E-1 1.57556E-1
4.74000E+2 1.62457E-2 5.09441E-2 8.87457E-2 0.00000E+0 0.00000E+0 3.33061E-2 7.33542E-2 1.16731E-1 1.56900E-1 1.76923E-1 1.01728E-2 2.54971E-2 4.11541E-2 7.84972E-2 1.19249E-1 1.60826E-1
4.75000E+2 1.84492E-2 5.26198E-2 8.97033E-2 0.00000E+0 0.00000E+0 3.44971E-2 7.45966E-2 1.17999E-1 1.58250E-1 1.78316E-1 1.11283E-2 2.69954E-2 4.31973E-2 8.10217E-2 1.22252E-1 1.63738E-1
4.76000E+2 1.93037E-2 5.48402E-2 9.33991E-2 0.00000E+0 1.62714E-3 3.64200E-2 7.63344E-2 1.19482E-1 1.58767E-1 1.78353E-1 1.22148E-2 2.85821E-2 4.52829E-2 8.44740E-2 1.27177E-1 1.66189E-1
4.77000E+2 2.05794E-2 5.67427E-2 9.59270E-2 0.00000E+0 3.07989E-3 3.77180E-2 7.73816E-2 1.20218E-1 1.60438E-1 1.80489E-1 1.34999E-2 3.01775E-2 4.71778E-2 8.66560E-2 1.29623E-1 1.70193E-1
4.78000E+2 2.18890E-2 5.83103E-2 9.77063E-2 0.00000E+0 2.72102E-3 3.77334E-2 7.78452E-2 1.21176E-1 1.61764E-1 1.81998E-1 1.43927E-2 3.16888E-2 4.93131E-2 8.87756E-2 1.31657E-1 1.73333E-1
4.79000E+2 2.31412E-2 6.02483E-2 1.00337E-1 0.00000E+0 5.79198E-3 4.03733E-2 7.98352E-2 1.22379E-1 1.62446E-1 1.82423E-1 1.51456E-2 3.33557E-2 5.19116E-2 9.12491E-2 1.33908E-1 1.76258E-1
4.80000E+2 2.44438E-2 6.17003E-2 1.01880E-1 0.00000E+0 7.09097E-3 4.15345E-2 8.07727E-2 1.23039E-1 1.63679E-1 1.83940E-1 1.56276E-2 3.43550E-2 5.34372E-2 9.31155E-2 1.36110E-1 1.79079E-1
4.81000E+2 2.56132E-2 6.29434E-2 1.03137E-1 0.00000E+0 8.68270E-3 4.28969E-2 8.17914E-2 1.23642E-1 1.64804E-1 1.85325E-1 1.58367E-2 3.48544E-2 5.42328E-2 9.42150E-2 1.37527E-1 1.80789E-1
4.82000E+2 2.65021E-2 6.44247E-2 1.05228E-1 0.00000E+0 9.82120E-3 4.40466E-2 8.28969E-2 1.24668E-1 1.66425E-1 1.87242E-1 1.63043E-2 3.58761E-2 5.58192E-2 9.58258E-2 1.39115E-1 1.81997E-1
4.83000E+2 2.74277E-2 6.55330E-2 1.06486E-1 0.00000E+0 1.02702E-2 4.48655E-2 8.41184E-2 1.26313E-1 1.68218E-1 1.89109E-1 1.68533E-2 3.68787E-2 5.72810E-2 9.69263E-2 1.39763E-1 1.83868E-1
4.84000E+2 2.81843E-2 6.66765E-2 1.08018E-1 0.00000E+0 1.07746E-2 4.57049E-2 8.53177E-2 1.27888E-1 1.69775E-1 1.90658E-1 1.75462E-2 3.77746E-2 5.83753E-2 9.81850E-2 1.41172E-1 1.84790E-1
4.85000E+2 2.94741E-2 6.79640E-2 1.09227E-1 0.00000E+0 1.09746E-2 4.66104E-2 8.70240E-2 1.30456E-1 1.72480E-1 1.93432E-1 1.79290E-2 3.87666E-2 5.99900E-2 9.97674E-2 1.42667E-1 1.87013E-1
4.86000E+2 3.03286E-2 6.88494E-2 1.10097E-1 0.00000E+0 1.12483E-2 4.74443E-2 8.84881E-2 1.32594E-1 1.75036E-1 1.96198E-1 1.83284E-2 3.95092E-2 6.10807E-2 1.01081E-1 1.44197E-1 1.88875E-1
4.87000E+2 3.11216E-2 7.02409E-2 1.12111E-1 0.00000E+0 1.17109E-2 4.84784E-2 9.01560E-2 1.34935E-1 1.78033E-1 1.99522E-1 1.85862E-2 4.02242E-2 6.22634E-2 1.02691E-1 1.46252E-1 1.92240E-1
4.88000E+2 3.22198E-2 7.16246E-2 1.13749E-1 0.00000E+0 1.23247E-2 4.94920E-2 9.15983E-2 1.36825E-1 1.81602E-1 2.03926E-1 1.95332E-2 4.16453E-2 6.41587E-2 1.04474E-1 1.47848E-1 1.93613E-1
4.89000E+2 3.33877E-2 7.31984E-2 1.15708E-1 0.00000E+0 1.19241E-2 5.01544E-2 9.35028E-2 1.40084E-1 1.85885E-1 2.08720E-1 2.01381E-2 4.27944E-2 6.58598E-2 1.06508E-1 1.50203E-1 1.96055E-1
4.90000E+2 3.41357E-2 7.47081E-2 1.18025E-1 0.00000E+0 1.21052E-2 5.13838E-2 9.59283E-2 1.43799E-1 1.88848E-1 2.11311E-1 2.06833E-2 4.39213E-2 6.75785E-2 1.08649E-1 1.52766E-1 1.99507E-1
4.91000E+2 3.52032E-2 7.61218E-2 1.19763E-1 0.00000E+0 1.26974E-2 5.29465E-2 9.85767E-2 1.47606E-1 1.92716E-1 2.15211E-1 2.12160E-2 4.54977E-2 7.02238E-2 1.11616E-1 1.56012E-1 2.03024E-1
4.92000E+2 3.64308E-2 7.82745E-2 1.22877E-1 0.00000E+0 1.31042E-2 5.41109E-2 1.00592E-1 1.50531E-1 1.97834E-1 2.21421E-1 2.19681E-2 4.68200E-2 7.21227E-2 1.14197E-1 1.59300E-1 2.06301E-1
