T d154 d184 d214 d244
d 150 180 210 240
290 1.322626954E+00 1.322787857E+00 1.323142607E+00 1.323244144E+00
295 1.320147946E+00 1.320214260E+00 1.320634409E+00 1.320723019E+00
300 1.318495445E+00 1.318411620E+00 1.318889425E+00 1.318950830E+00
305 1.317742946E+00 1.317394577E+00 1.317779954E+00 1.317987880E+00
310 1.316778769E+00 1.317319268E+00 1.317622249E+00 1.317832754E+00
315 1.317563615E+00 1.318079141E+00 1.318323276E+00 1.318582500E+00
320 1.319130004E+00 1.319925008E+00 1.319818338E+00 1.320163186E+00
325 1.321235462E+00 1.322116425E+00 1.321958325E+00 1.322173558E+00
330 1.323849591E+00 1.324751715E+00 1.324704492E+00 1.324725769E+00
335 1.326704741E+00 1.327619797E+00 1.327575900E+00 1.327445192E+00
340 1.329448751E+00 1.330388964E+00 1.330339872E+00 1.330149125E+00
