N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.012614239E+00 1.115174594E+00 1.196492232E+00 1.229378353E+00 1.247325616E+00 1.263159588E+00 1.278020069E+00 1.294663520E+00 1.313489146E+00
1.016672606E+01 1.012613464E+00 1.116214915E+00 1.196885072E+00 1.229553694E+00 1.247439265E+00 1.263261005E+00 1.278126954E+00 1.294784016E+00 1.313625656E+00
1.033324570E+01 1.012613006E+00 1.117712779E+00 1.197450115E+00 1.229806579E+00 1.247603815E+00 1.263408190E+00 1.278282202E+00 1.294959075E+00 1.313824022E+00
1.049996187E+01 1.012613756E+00 1.119850398E+00 1.198255459E+00 1.230168442E+00 1.247840625E+00 1.263620739E+00 1.278506692E+00 1.295212292E+00 1.314111042E+00
1.066670514E+01 1.012617784E+00 1.122862311E+00 1.199388312E+00 1.230680533E+00 1.248178550E+00 1.263925564E+00 1.278829207E+00 1.295576260E+00 1.314523781E+00
1.083333839E+01 1.012629600E+00 1.127028925E+00 1.200952535E+00 1.231394007E+00 1.248655050E+00 1.264358421E+00 1.279288356E+00 1.296094800E+00 1.315112133E+00
1.100000000E+01 1.012658499E+00 1.132644770E+00 1.203057214E+00 1.232367082E+00 1.249316199E+00 1.264964913E+00 1.279933955E+00 1.296824614E+00 1.315940796E+00
1.116672606E+01 1.012722576E+00 1.139943811E+00 1.205791356E+00 1.233657320E+00 1.250214258E+00 1.265799706E+00 1.280826799E+00 1.297835239E+00 1.317089218E+00
1.133324570E+01 1.012854780E+00 1.148973272E+00 1.209183619E+00 1.235308168E+00 1.251402053E+00 1.266923043E+00 1.282035644E+00 1.299205757E+00 1.318647706E+00
1.149996187E+01 1.017912044E+00 1.159444884E+00 1.213159331E+00 1.237333289E+00 1.252924284E+00 1.268393848E+00 1.283630335E+00 1.301016974E+00 1.320707955E+00
1.166670514E+01 1.046923225E+00 1.170660870E+00 1.217525095E+00 1.239707344E+00 1.254808692E+00 1.270260431E+00 1.285671560E+00 1.303339129E+00 1.323347721E+00
1.183333839E+01 1.076335449E+00 1.181647707E+00 1.222014540E+00 1.242373450E+00 1.257061340E+00 1.272551807E+00 1.288199613E+00 1.306217527E+00 1.326612717E+00
1.200000000E+01 1.103017745E+00 1.191516508E+00 1.226388530E+00 1.245266329E+00 1.259668543E+00 1.275272889E+00 1.291225985E+00 1.309661047E+00 1.330502659E+00
1.216672606E+01 1.124867569E+00 1.199825852E+00 1.230523638E+00 1.248335682E+00 1.262603463E+00 1.278405552E+00 1.294731481E+00 1.313639277E+00 1.334969687E+00
1.233324570E+01 1.141609155E+00 1.206654139E+00 1.234422547E+00 1.251554142E+00 1.265833930E+00 1.281915316E+00 1.298672829E+00 1.318091955E+00 1.339932681E+00
1.249996187E+01 1.154290725E+00 1.212369010E+00 1.238157120E+00 1.254912059E+00 1.269329884E+00 1.285762169E+00 1.302996608E+00 1.322947637E+00 1.345300660E+00
1.266670514E+01 1.164227831E+00 1.217352636E+00 1.241808965E+00 1.258411415E+00 1.273070297E+00 1.289911938E+00 1.307654108E+00 1.328141334E+00 1.350991559E+00
1.283333839E+01 1.172375908E+00 1.221875870E+00 1.245444803E+00 1.262063656E+00 1.277046855E+00 1.294342475E+00 1.312608691E+00 1.333621315E+00 1.356937677E+00
1.300000000E+01 1.179254448E+00 1.226096828E+00 1.249116153E+00 1.265886859E+00 1.281261115E+00 1.299041138E+00 1.317832754E+00 1.339344897E+00 1.363081170E+00
