N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.013688577E+00 1.013690890E+00 1.013694679E+00 1.013701070E+00 1.013712176E+00 1.013732004E+00 1.013768154E+00 1.013834819E+00 1.013957649E+00 1.021058192E+00 1.046283839E+00 1.073569016E+00 1.100149909E+00 1.123343913E+00 1.141796109E+00 1.155780332E+00 1.166450286E+00 1.174941001E+00 1.181982726E+00
1.600000000E+01 1.250288835E+00 1.250371550E+00 1.250491731E+00 1.250665571E+00 1.250915441E+00 1.251271358E+00 1.251772050E+00 1.252464712E+00 1.253402401E+00 1.254638367E+00 1.256218020E+00 1.258171276E+00 1.260508779E+00 1.263222930E+00 1.266291908E+00 1.269685170E+00 1.273370896E+00 1.277324168E+00 1.281531080E+00
1.700000000E+01 1.315125664E+00 1.315237695E+00 1.315400835E+00 1.315637618E+00 1.315979623E+00 1.316470168E+00 1.317166944E+00 1.318143511E+00 1.319488089E+00 1.321297437E+00 1.323664230E+00 1.326658665E+00 1.330309138E+00 1.334590915E+00 1.339431134E+00 1.344730301E+00 1.350388433E+00 1.356320838E+00 1.362458970E+00
1.549996187E+01 1.202021215E+00 1.202295648E+00 1.202692261E+00 1.203261382E+00 1.204069781E+00 1.205201465E+00 1.206753627E+00 1.208823152E+00 1.211479902E+00 1.214728441E+00 1.218474139E+00 1.222524384E+00 1.226647287E+00 1.230664487E+00 1.234510233E+00 1.238215653E+00 1.241850659E+00 1.245480374E+00 1.249153527E+00
1.649996187E+01 1.280165244E+00 1.280247924E+00 1.280368340E+00 1.280543137E+00 1.280795659E+00 1.281157970E+00 1.281672842E+00 1.282395057E+00 1.283390841E+00 1.284734116E+00 1.286498679E+00 1.288746730E+00 1.291516498E+00 1.294813083E+00 1.298607092E+00 1.302843774E+00 1.307460045E+00 1.312400364E+00 1.317622249E+00
1.674996808E+01 1.296473038E+00 1.296568933E+00 1.296708588E+00 1.296911320E+00 1.297204217E+00 1.297624471E+00 1.298221736E+00 1.299059573E+00 1.300214741E+00 1.301772618E+00 1.303817462E+00 1.306417912E+00 1.309611016E+00 1.313390957E+00 1.317709351E+00 1.322489814E+00 1.327650325E+00 1.333120269E+00 1.338843842E+00
1.624993176E+01 1.265468552E+00 1.265544759E+00 1.265655677E+00 1.265816549E+00 1.266048677E+00 1.266381142E+00 1.266852471E+00 1.267511451E+00 1.268416200E+00 1.269630303E+00 1.271215662E+00 1.273223069E+00 1.275683182E+00 1.278600997E+00 1.281955825E+00 1.285708045E+00 1.289811371E+00 1.294225615E+00 1.298922378E+00
1.574996808E+01 1.232219468E+00 1.232343451E+00 1.232523038E+00 1.232781623E+00 1.233150780E+00 1.233671493E+00 1.234393786E+00 1.235373332E+00 1.236663207E+00 1.238301187E+00 1.240296754E+00 1.242626592E+00 1.245245487E+00 1.248107088E+00 1.251179061E+00 1.254443931E+00 1.257893122E+00 1.261524395E+00 1.265342325E+00
1.524993176E+01 1.127210049E+00 1.127944240E+00 1.129005834E+00 1.130530262E+00 1.132697485E+00 1.135734332E+00 1.139902796E+00 1.145460310E+00 1.152577331E+00 1.161212395E+00 1.170988848E+00 1.181178822E+00 1.190897425E+00 1.199456225E+00 1.206623953E+00 1.212587597E+00 1.217704250E+00 1.222289000E+00 1.226542258E+00
