T(K) Nd(cm-3) Mu(cm2/Vs)
265 9.24112E+13 1.83472E+3
478 8.52256E+17 2.10202E+2
239 6.79377E+15 1.59940E+3
401 8.54553E+17 2.41542E+2
270 5.24102E+18 2.10293E+2
291 3.75162E+18 2.09683E+2
320 2.97297E+17 3.93157E+2
216 3.93931E+16 1.03285E+3
311 3.12219E+16 8.04360E+2
358 1.46709E+15 9.02606E+2
467 4.99834E+15 4.92964E+2
414 1.31769E+14 6.81921E+2
427 2.87079E+17 3.16484E+2
333 5.46459E+14 1.07896E+3
496 3.58930E+13 4.54030E+2
267 7.60905E+16 7.08376E+2
389 4.83391E+14 7.73453E+2
345 5.56433E+17 3.05305E+2
471 3.37322E+18 1.49059E+2
403 1.03292E+17 4.40727E+2
403 8.70688E+17 2.39182E+2
435 5.06326E+16 4.57520E+2
364 1.85010E+14 9.06978E+2
231 2.99375E+17 4.72695E+2
475 2.20610E+14 4.98673E+2
330 4.89151E+14 1.10879E+3
481 1.52177E+15 4.77064E+2
498 9.80569E+16 3.33143E+2
245 7.98157E+17 3.38496E+2
419 5.18340E+15 6.15156E+2
259 8.25398E+17 3.23912E+2
449 7.33599E+14 5.60931E+2
493 8.30783E+15 4.31616E+2
363 9.71287E+16 5.02636E+2
223 4.94580E+17 4.13039E+2
421 4.75423E+17 2.76889E+2
310 1.91841E+16 8.99702E+2
410 1.08939E+15 6.79495E+2
225 3.48940E+17 4.56860E+2
244 6.99821E+17 3.51982E+2
443 4.19385E+15 5.55595E+2
338 5.24472E+13 1.07645E+3
242 2.46113E+18 2.62036E+2
369 1.17206E+16 7.39160E+2
500 2.22259E+14 4.45550E+2
212 1.24598E+16 1.56033E+3
446 1.10209E+14 5.77914E+2
305 4.42870E+15 1.15195E+3
234 3.56775E+18 2.51624E+2
267 1.52743E+18 2.70727E+2
240 1.04806E+15 2.06090E+3
391 4.60482E+18 1.61266E+2
389 6.44830E+16 5.13584E+2
494 3.91073E+16 3.82636E+2
472 1.96898E+17 3.12078E+2
266 1.15173E+18 2.90785E+2
416 6.63594E+15 6.17769E+2
267 1.04534E+18 2.97373E+2
403 7.48611E+17 2.50164E+2
376 3.79348E+15 7.81879E+2
259 9.17234E+14 1.79639E+3
368 4.30916E+14 8.76259E+2
258 1.92942E+17 5.18434E+2
487 3.69640E+17 2.58085E+2
209 4.81808E+15 2.05579E+3
242 2.14582E+15 1.89921E+3
334 8.22122E+14 1.06218E+3
327 4.82663E+14 1.12687E+3
329 6.29381E+17 3.02843E+2
370 7.21398E+18 1.55503E+2
289 1.71712E+15 1.39036E+3
237 2.84235E+17 4.73759E+2
339 4.47427E+14 1.04710E+3
458 6.58805E+18 1.32867E+2
384 7.93480E+14 7.86829E+2
349 5.21551E+15 8.84963E+2
284 1.37363E+17 5.52170E+2
345 3.58231E+16 6.83819E+2
214 5.23368E+18 2.55066E+2
375 8.76413E+17 2.51235E+2
