T d154 d184 d214 d244
d 150 180 210 240
290 2.325026500E-02 2.145065000E-02 2.015312600E-02 1.916252900E-02
295 2.105540700E-02 1.932401900E-02 1.812090300E-02 1.725899600E-02
300 1.897114100E-02 1.739857900E-02 1.633956000E-02 1.551800500E-02
305 1.715138300E-02 1.574526500E-02 1.483753000E-02 1.415242100E-02
310 1.572200000E-02 1.454797700E-02 1.379449500E-02 1.326802000E-02
315 1.478462800E-02 1.386522300E-02 1.329603300E-02 1.292276100E-02
320 1.441000400E-02 1.375639600E-02 1.337045800E-02 1.316650500E-02
325 1.464153500E-02 1.426628000E-02 1.409032700E-02 1.405352000E-02
330 1.550835100E-02 1.541232100E-02 1.543880300E-02 1.556501600E-02
335 1.702393600E-02 1.721135900E-02 1.743635200E-02 1.772506500E-02
340 1.918150800E-02 1.962666800E-02 2.004096100E-02 2.046275600E-02
