T file kT1 TDD TDD
300 001_300 38.647 1.000000E+9 0.000000E+0
300 002_300 38.647 2.154000E+9 0.000000E+0
300 003_300 38.647 4.642000E+9 0.000000E+0
300 004_300 38.647 1.000000E+10 0.000000E+0
300 005_300 38.647 2.154000E+10 0.000000E+0
300 006_300 38.647 4.642000E+10 0.000000E+0
300 007_300 38.647 1.000000E+11 0.000000E+0
300 008_300 38.647 2.154000E+11 0.000000E+0
300 009_300 38.647 4.642000E+11 0.000000E+0
300 010_300 38.647 1.000000E+12 0.000000E+0
300 011_300 38.647 2.154000E+12 0.000000E+0
300 012_300 38.647 4.642000E+12 0.000000E+0
300 013_300 38.647 1.000000E+13 0.000000E+0
