X Y Yfit Y1 Y2
5.470E-2 6.400E-10 1.612E-13 1.612E-13 0.000E+0
1.006E-1 8.400E-10 2.356E-12 2.356E-12 0.000E+0
1.508E-1 8.570E-9 1.400E-11 1.400E-11 0.000E+0
1.999E-1 1.157E-8 4.840E-11 4.840E-11 0.000E+0
2.509E-1 1.416E-8 1.316E-10 1.316E-10 0.000E+0
3.000E-1 2.109E-8 2.890E-10 2.890E-10 0.000E+0
3.535E-1 3.094E-8 5.952E-10 5.952E-10 0.000E+0
3.993E-1 4.139E-8 1.018E-9 1.018E-9 0.000E+0
4.480E-1 5.655E-8 1.689E-9 1.689E-9 0.000E+0
4.978E-1 7.451E-8 2.686E-9 2.686E-9 0.000E+0
5.451E-1 9.941E-8 4.005E-9 4.005E-9 0.000E+0
6.040E-1 1.300E-7 6.292E-9 6.292E-9 0.000E+0
6.503E-1 1.789E-7 8.710E-9 8.710E-9 0.000E+0
6.967E-1 2.165E-7 1.180E-8 1.180E-8 0.000E+0
7.548E-1 2.742E-7 1.678E-8 1.678E-8 0.000E+0
8.005E-1 3.203E-7 2.174E-8 2.174E-8 0.000E+0
9.026E-1 4.316E-7 3.688E-8 3.688E-8 0.000E+0
1.000E+0 5.400E-7 5.790E-8 5.790E-8 0.000E+0
1.181E+0 7.385E-7 1.204E-7 1.204E-7 0.000E+0
1.358E+0 9.396E-7 2.227E-7 2.227E-7 0.000E+0
1.599E+0 1.221E-6 4.571E-7 4.571E-7 0.000E+0
1.798E+0 1.496E-6 7.661E-7 7.661E-7 0.000E+0
1.993E+0 1.808E-6 1.205E-6 1.205E-6 0.000E+0
2.191E+0 2.280E-6 1.829E-6 1.829E-6 0.000E+0
2.384E+0 2.948E-6 2.652E-6 2.652E-6 0.000E+0
2.575E+0 3.874E-6 3.723E-6 3.723E-6 0.000E+0
2.761E+0 5.092E-6 5.061E-6 5.061E-6 0.000E+0
3.002E+0 7.493E-6 7.315E-6 7.315E-6 0.000E+0
3.182E+0 9.451E-6 9.453E-6 9.453E-6 0.000E+0
3.361E+0 1.184E-5 1.203E-5 1.203E-5 0.000E+0
3.599E+0 1.557E-5 1.626E-5 1.626E-5 0.000E+0
3.796E+0 1.985E-5 2.055E-5 2.055E-5 0.000E+0
3.991E+0 2.504E-5 2.562E-5 2.562E-5 0.000E+0
4.185E+0 3.115E-5 3.158E-5 3.158E-5 0.000E+0
4.378E+0 3.825E-5 3.851E-5 3.851E-5 0.000E+0
4.570E+0 4.680E-5 4.652E-5 4.652E-5 0.000E+0
4.760E+0 5.686E-5 5.566E-5 5.566E-5 0.000E+0
4.992E+0 7.292E-5 6.863E-5 6.863E-5 0.000E+0
5.191E+0 8.727E-5 8.151E-5 8.151E-5 0.000E+0
