fname time Tem kT_1 Io Et Ud Iph dev 
01RV 1rv.dat 291.3 39.8 1.342E+000 4.000E-002 9.218E-001 1.295E-009 3.047E-002 
03RV 3rv.dat 295.5 39.24 2.813E+000 4.000E-002 9.014E-001 3.926E-009 9.018E-003 
05RV 5rv.dat 300.1 38.63 3.017E+000 4.000E-002 9.217E-001 3.467E-009 4.959E-003 
07RV 7rv.dat 304 38.14 3.456E+000 4.000E-002 9.556E-001 2.948E-009 7.097E-003 
09RV 9rv.dat 309.2 37.5 4.780E+000 4.000E-002 9.541E-001 3.637E-009 5.297E-003 
11RV 11rv.dat 316.4 36.64 4.056E+000 4.000E-002 1.002E+000 7.295E-010 6.654E-003 
13RV 13rv.dat 320.5 36.18 4.535E+000 4.000E-002 1.013E+000 1.000E-015 7.407E-003 
15RV 15rv.dat 327.8 35.37 6.082E+000 4.000E-002 1.025E+000 1.000E-015 1.277E-002 
17RV 17rv.dat 332.7 34.85 8.359E+000 4.000E-002 1.022E+000 1.000E-015 1.339E-002 
19RV 19rv.dat 337.9 34.31 1.343E+001 4.000E-002 9.879E-001 1.000E-015 2.670E-002 
21RV 21rv.dat 342.9 33.81 1.164E+001 4.000E-002 1.045E+000 1.000E-015 1.049E-002 
